desired_outcomes,doc,evidence,granularity,job_map_stage,job_statement,job_type,notes,parent_job,persona,prerequisites,related_jobs,section
Minimize time to evaluate architecture options; Reduce risk of choosing incompatible architecture; Ensure architecture supports my use cases,argocd-agent-architecture-overview.adoc,argocd-agent-architecture-overview-combined.adoc -> Lines 3-12: Introduction section,main_job,Architecture,"When managing multiple OpenShift clusters with GitOps, I want to understand the Argo CD Agent architecture and its capabilities, so I can determine if it fits my multi-cluster deployment needs.",core,This is an architectural overview job - understanding before implementing,,Platform architect,,Install Argo CD Agent; Choose deployment architecture,Introduction to the Argo CD Agent architecture
Ensure clear understanding of control plane vs workload cluster roles; Minimize confusion about agent terminology; Enable effective team communication,argocd-agent-architecture-overview.adoc,argocd-agent-architecture-overview-combined.adoc -> Lines 14-26: Architecture and Terminology section,user_story,Architecture,"When evaluating Argo CD Agent, I want to understand the hub-and-spoke model and key terminology, so I can communicate effectively with my team about the architecture.",core,Defines control plane cluster (hub) and workload cluster (spoke) concepts,Understand the Argo CD Agent architecture and its capabilities,Platform architect,,Compare architectures,Architecture and Terminology
Minimize risk of choosing wrong architecture; Ensure architecture meets security requirements; Ensure architecture scales to my cluster count; Reduce likelihood of needing to migrate later,argocd-agent-architecture-overview.adoc,argocd-agent-architecture-overview-combined.adoc -> Lines 28-69: Comparison table covering 8 capabilities,main_job,Plan,"When choosing between traditional Argo CD and Argo CD Agent, I want to compare their capabilities and tradeoffs, so I can select the best approach for my multi-cluster requirements.",core,"Covers single pane of glass, network connectivity, scalability, security, local reconciliation, single point of failure, complexity, and maturity",,Platform architect,Understand the Argo CD Agent architecture and its capabilities,Evaluate security requirements; Assess scalability needs,Comparing Argo CD Agent with traditional Argo CD architecture
Minimize time to diagnose sync issues; Ensure consistent application state across clusters; Reduce risk of drift between control plane and workload clusters,argocd-agent-architecture-overview.adoc,argocd-agent-architecture-overview-combined.adoc -> Lines 71-86: Synchronization mechanism section,user_story,Operate,"When operating Argo CD Agent, I want to understand how resources synchronize between control plane and workload clusters, so I can troubleshoot sync issues and ensure proper operation.",core,Covers resource synchronization and unified observability capabilities,Understand the Argo CD Agent architecture and its capabilities,Platform engineer,Understand the Argo CD Agent architecture and its capabilities,Monitor synchronization status; Troubleshoot sync failures,Synchronization mechanism between the control plane and workload clusters
Ensure mode aligns with security requirements; Minimize operational complexity; Reduce risk of control plane compromise; Ensure mode supports required deployment patterns,argocd-agent-architecture-overview.adoc,argocd-agent-architecture-overview-combined.adoc -> Lines 88-100: Agent modes overview,main_job,Configure,"When configuring Argo CD Agent, I want to choose between Managed and Autonomous modes, so I can align the architecture with my operational model and security requirements.",core,Two modes: Managed (control plane defines specs) and Autonomous (workload clusters define specs). Can also use mixed mode.,,Platform architect,Understand the Argo CD Agent architecture and its capabilities; Compare traditional Argo CD with Argo CD Agent,Configure security policies; Determine application management strategy,Argo CD Agent modes
Enable centralized application management; Eliminate need for workload cluster credentials; Reduce attack surface compared to traditional Argo CD; Ensure changes propagate reliably to workload clusters,argocd-agent-architecture-overview.adoc,argocd-agent-architecture-overview-combined.adoc -> Lines 102-124: Managed mode section with advantages and limitations,user_story,Configure,"When using centralized application management, I want to deploy Argo CD Agent in Managed mode, so I can define and manage all applications from the control plane while improving security over traditional Argo CD.",core,"Advantages: familiar centralized experience, eliminates cluster credentials. Limitations: limited app-of-apps support, control plane is single point of failure",Choose between Managed and Autonomous modes,Platform engineer,Understand the Argo CD Agent architecture and its capabilities,Configure sourceNamespaces; Secure control plane,Argo CD Agent Managed mode
Ensure Git is single source of truth for applications; Remove control plane as single point of failure; Enable app-of-apps deployment patterns; Maintain centralized visibility across clusters,argocd-agent-architecture-overview.adoc,argocd-agent-architecture-overview-combined.adoc -> Lines 126-146: Autonomous mode section with advantages and limitations,user_story,Configure,"When prioritizing GitOps principles and resilience, I want to deploy Argo CD Agent in Autonomous mode, so I can maintain application definitions in Git while gaining centralized observability without control plane as single point of failure.",core,"Advantages: Git as single source of truth, no single point of failure, supports app-of-apps. Limitations: cannot modify apps from control plane UI",Choose between Managed and Autonomous modes,Platform engineer,Understand the Argo CD Agent architecture and its capabilities; Have Git repository for application definitions,Manage application definitions in Git; Configure pull-based sync,Argo CD Agent Autonomous mode
Ensure secure communication between clusters; Enable certificate rotation and expiration policies; Reduce risk of credential exposure; Prevent Man-in-the-Middle attacks,argocd-agent-architecture-overview.adoc,argocd-agent-architecture-overview-combined.adoc -> Lines 148-164: Security and Authentication section,main_job,Secure,"When securing multi-cluster Argo CD deployments, I want to implement mTLS certificate-based authentication between control plane and agents, so I can ensure secure communication and prevent MITM attacks.",core,Uses mutual TLS (mTLS) certificates. Root CA signs both principal and agent certificates. User is responsible for generating and managing certificates.,,Security engineer,Choose between Managed and Autonomous modes,Generate and manage certificates; Configure certificate rotation,Security and Authentication
Ensure strict isolation between workload cluster applications; Enable control plane to discover applications from all clusters; Minimize risk of cross-cluster interference; Reduce complexity of multi-cluster application management,argocd-agent-architecture-overview.adoc,argocd-agent-architecture-overview-combined.adoc -> Lines 166-231: Application Management Across Namespaces section with example configuration,main_job,Configure,"When managing applications from multiple workload clusters on the control plane, I want to configure namespace isolation using sourceNamespaces, so I can maintain strict separation between workload cluster applications while enabling centralized monitoring.",core,"Uses 'Applications in any namespace' feature. Each workload cluster gets dedicated namespace on control plane (e.g., argocd-w1, argocd-w2). Configure via sourceNamespaces field in ArgoCD CR.",,Platform engineer,Choose between Managed and Autonomous modes; Configure Argo CD Agent,Configure Argo CD custom resource; Manage namespace organization,Application Management Across Namespaces
Minimize risk of hitting unsupported use cases; Ensure requirements can be met with current feature set; Plan for future feature availability; Reduce likelihood of deployment failures,argocd-agent-architecture-overview.adoc,argocd-agent-architecture-overview-combined.adoc -> Lines 233-242: Known Limitations section,user_story,Plan,"When planning to deploy Argo CD Agent, I want to understand current limitations and unsupported features, so I can avoid deployment failures and plan for workarounds or future feature availability.",related,"Active development. Limitations: limited namespace support on workload clusters, partial ApplicationSet support, limited app-of-apps in managed mode, no pod logs/terminal from control plane, no principal agent HA, RBAC/multi-tenancy under development",Understand the Argo CD Agent architecture and its capabilities,Platform architect,,Compare traditional Argo CD with Argo CD Agent; Plan migration timeline,Known Limitations
