job_name,job_statement,parent_job,job_coverage,module_file,module_status,module_note,job_notes
Manage Multiple Telco Clusters with RHACM,"When managing multiple telco clusters, I want to use RHACM for centralized lifecycle management, so I can efficiently operate clusters at scale.",,full,modules/about-ztp.adoc,full,GitOps ZTP with RHACM concept,Covered as GitOps ZTP / hub-cluster fleet management under edge_computing/ (framing differs from JTBD phrasing).
Manage Multiple Telco Clusters with RHACM,,,,modules/ztp-ztp-building-blocks.adoc,full,RHACM building blocks for fleet mgmt,
Manage Multiple Telco Clusters with RHACM,,,,edge_computing/ztp-preparing-the-hub-cluster.adoc,full,assembly: prepare hub cluster,
Manage Multiple Telco Clusters with RHACM,,,,edge_computing/ztp-deploying-far-edge-sites.adoc,full,assembly: install managed clusters via RHACM,
Orchestrate Cluster Upgrades with TALM,"When performing cluster upgrades across many sites, I want to use TALM for orchestrated updates, so I can minimize service disruption during maintenance.",,full,modules/telco-ran-topology-aware-lifecycle-manager-talm.adoc,full,TALM overview,Extensively covered in edge_computing/ and post_installation_configuration/day_2_core_cnf_clusters/updating/.
Orchestrate Cluster Upgrades with TALM,,,,modules/cnf-topology-aware-lifecycle-manager-platform-update.adoc,full,platform updates via TALM,
Orchestrate Cluster Upgrades with TALM,,,,modules/cnf-topology-aware-lifecycle-manager-precache-concept.adoc,full,image pre-caching,
Orchestrate Cluster Upgrades with TALM,,,,edge_computing/cnf-talm-for-cluster-upgrades.adoc,full,assembly: updating managed clusters with TALM,
Mount persistant storage volumes to pods and containers,"Because files in containers are ephemeral, I want to mount volumes to my pods and containers so that my data persists even if the pod or container fails.",,full,modules/nodes-containers-volumes-about.adoc,full,volume concepts,
Mount persistant storage volumes to pods and containers,,,,modules/nodes-containers-volumes-adding.adoc,full,add volume to pod,
Mount persistant storage volumes to pods and containers,,,,modules/nodes-containers-volumes-cli.adoc,full,CLI add/update,
Mount persistant storage volumes to pods and containers,,,,modules/nodes-containers-volumes-subpath.adoc,full,subpath mounts,
Mount persistant storage volumes to pods and containers,,,,modules/storage-persistent-storage-pvc.adoc,full,PVC mount,
Mount persistant storage volumes to pods and containers,,,,modules/storage-persistent-storage-pv.adoc,full,PV lifecycle,
Allocate resources for nodes,"When I am running workloads on nodes, I want to control how resources are allocated so nodes are neither underserved or have a surplus of resources they don't need.",,full,modules/nodes-nodes-resources-configuring-about.adoc,full,allocation concepts,Assembly title matches job exactly.
Allocate resources for nodes,,,,modules/nodes-nodes-resources-configuring-setting.adoc,full,set allocatable resources,
Allocate resources for nodes,,,,modules/nodes-nodes-resources-cpus-reserve.adoc,full,reserve CPUs,
Delete nodes from a cluster,"When I need to recreate a node or reduce my overall spend, I need to delete nodes from my cluster so I can take the next steps to create a new node or migrate workloads to a new node.",,full,modules/nodes-nodes-working-deleting.adoc,full,delete node,
Delete nodes from a cluster,,,,modules/nodes-nodes-working-deleting-bare-metal.adoc,full,bare-metal delete,
Manage Bare Metal Host Lifecycle,"When operating bare metal infrastructure, I want to manage host lifecycle and monitor hardware events, so I can maintain infrastructure health.",,full,modules/about-bare-metal-hosts-and-nodes.adoc,full,concept,Host add/remove/power/maintain + BareMetalHost/firmware CRs well covered.
Manage Bare Metal Host Lifecycle,,,,modules/maintaining-bare-metal-hosts.adoc,full,maintenance procedures,
Manage Bare Metal Host Lifecycle,,,,modules/bmo-about-the-baremetalhost-resource.adoc,full,BareMetalHost CR reference,
Manage Bare Metal Host Lifecycle,,,,modules/bmo-about-the-hostfirmwarecomponents-resource.adoc,full,firmware lifecycle,
Manage Bare Metal Host Lifecycle,,,,scalability_and_performance/managing-bare-metal-hosts.adoc,full,assembly: managing bare metal hosts,
Manage Hosts and Monitor Hardware Events,Manage Bare Metal Host Lifecycle > Manage Hosts and Monitor Hardware Events,Manage Bare Metal Host Lifecycle,partial,modules/maintaining-bare-metal-hosts.adoc,full,host management,Host management fully covered; NO dedicated hardware-event / Redfish HardwareEvent monitoring module exists -- hardware event monitoring is effectively a gap.
Manage Hosts and Monitor Hardware Events,,,,modules/bmo-about-the-hostfirmwarecomponents-resource.adoc,partial,"firmware status, not event monitoring",
Manage Hosts and Monitor Hardware Events,,,,(hardware event monitoring),gap,no HardwareEvent/Redfish event module found,
Network Observability Deployment and Management,"When I need to deploy or maintain network observability in my cluster, I want to install, configure, secure, and upgrade the observability system, so I can ensure continuous visibility without disrupting operations.",,full,modules/network-observability-operator-install.adoc,full,operator install,PARENT job. Full lifecycle covered across observability/network_observability/ but not organized under one umbrella assembly.
Network Observability Deployment and Management,,,,modules/network-observability-flowcollector-view.adoc,full,deploy/view FlowCollector CR,
Network Observability Deployment and Management,,,,modules/network-observability-updating-migrating.adoc,full,upgrade/migration,
Network Observability Deployment and Management,,,,modules/network-observability-operator-uninstall.adoc,full,uninstall,
Network Observability Deployment and Management,,,,modules/network-observability-grant-permissions-custom-namespace-and-secret-access.adoc,full,securing access/RBAC,
Run background tasks on a node with daemonsets,"When I need to save time by automating certain tasks across nodes, I want to create shared storage, run a logging pod on each node, or deploy a monitoring agent on each node using DaemonSets...",,full,modules/nodes-pods-daemonsets-about.adoc,full,DaemonSet concepts,
Run background tasks on a node with daemonsets,,,,modules/nodes-pods-daemonsets-creating.adoc,full,create DaemonSet,
Gap: Using catalog sources in disconnected environments,Understand how to work with catalog sources in a disconnected environment (generated from oc-mirror) and how catalogsources are used during platform upgrades.,,partial,modules/mirroring-operator-catalog.adoc,partial,mirroring an operator catalog,NOT a true doc gap: disconnected catalog sources are documented in disconnected/using-olm.adoc and extensions/catalogs/disconnected-catalogs.adoc. Genuine partial gaps: explicit oc-mirror->catalogsource linkage and upgrade-time catalog behavior as a workflow.
Gap: Using catalog sources in disconnected environments,,,,modules/olm-creating-catalog-from-index.adoc,partial,catalog source from index image,
Gap: Using catalog sources in disconnected environments,,,,modules/olmv1-about-disconnected.adoc,partial,OLM v1 disconnected support,
Gap: Using catalog sources in disconnected environments,,,,modules/olm-restricted-networks-configuring-operatorhub.adoc,partial,catalog sources in restricted networks,
Allow containers to consume API objects,"When I need containers to consume information about pods, I need to use the Downward API to allow containers to access that information without needing a volume plugin.",,full,modules/nodes-containers-downward-api-about.adoc,full,Downward API overview,~10 downward-api modules fully cover the job.
Allow containers to consume API objects,,,,modules/nodes-containers-downward-api-container-envars.adoc,full,env vars,
Allow containers to consume API objects,,,,modules/nodes-containers-downward-api-container-values-plugin.adoc,full,volume plugin values,
Allow containers to consume API objects,,,,modules/nodes-containers-downward-api-container-resources.adoc,full,resource info,
Allow containers to consume API objects,,,,modules/nodes-containers-downward-api-container-secrets.adoc,full,secrets/configmaps,
Perform lightweight tasks with init containers,"When I want to quickly run lightweight tasks, I want to use init containers before the rest of the pod is deployed so that application containers have everything ready to go right away.",,full,modules/nodes-containers-init-about.adoc,full,init container concepts,Serverless variants also exist.
Perform lightweight tasks with init containers,,,,modules/nodes-containers-init-creating.adoc,full,create init container,
Understanding how I can use software and drivers that are not available as RHCOS extensions with my nodes.,"As a cluster admin, I want to add software or drivers that are not available as extensions in the base RHCOS image by using Image mode for OpenShift to extend the functionality of the base RHCOS image.",,full,modules/coreos-layering-configuring-on-extensions.adoc,full,applying extensions via image mode,Image mode assembly + example Containerfiles cover installing RPMs/drivers/software.
Understanding how I can use software and drivers that are not available as RHCOS extensions with my nodes.,,,,modules/coreos-layering-configuring.adoc,full,out-of-cluster build to install custom RPMs,
