evidence,job,notes,parent_job,persona,record_type,section,user_story,workflow_stage
"With GitOps, you can configure Argo CD to recursively sync the content of a Git directory with an application that contains custom configurations for your cluster.",Configure cluster using GitOps declarative approach,Core job for declarative cluster configuration management,,Cluster Administrator,main_job,Configuring an OpenShift cluster by deploying an application with cluster configurations,"When managing OpenShift cluster configurations, I want to use GitOps to deploy and sync cluster-wide resources from Git repositories, so I can maintain consistency and version control for cluster settings.",EXECUTE
Update the existing Subscription object for the GitOps Operator and add the namespace of the Argo CD instance to the ARGOCD_CLUSTER_CONFIG_NAMESPACES environment variable,Set up cluster-scoped Argo CD instance,Requires cluster-admin privileges; includes security warning about privilege escalation,Configure cluster using GitOps declarative approach,Cluster Administrator,user_story,Using an Argo CD instance to manage cluster-scoped resources,"When setting up GitOps for cluster management, I want to configure Argo CD with cluster-scoped permissions, so it can manage cluster-wide resources like operators and RBAC.",DEFINE
"Create cluster-configs application with repository URL, path cluster, namespace spring-petclinic, directory recurse checked",Create and sync cluster configuration applications,"Supports multiple creation methods: dashboard, oc CLI, argocd CLI (default and core mode)",Configure cluster using GitOps declarative approach,Cluster Administrator,user_story,Creating an application by using the Argo CD dashboard / oc tool / GitOps CLI,"When deploying cluster configurations, I want to create Argo CD applications that sync Git repository contents to the cluster, so configuration changes are automatically applied.",EXECUTE
"Click SYNC on the cluster-configs tile, review the changes, and then click SYNCHRONIZE. You can modify the synchronization policy for Argo CD to automatically apply changes",Synchronize cluster configurations from Git,Supports manual sync policy (default) and automatic sync policy,Configure cluster using GitOps declarative approach,Cluster Administrator,user_story,Synchronizing your application with your Git repository,"When cluster configurations change in Git, I want to synchronize them to the cluster either manually or automatically, so the cluster state matches the desired state in Git.",EXECUTE
Add the runOnInfra toggle in the GitOpsService custom resource with optional tolerations for tainted infrastructure nodes,Run Argo CD on infrastructure nodes,Includes node labeling and optional taints for workload isolation,Configure cluster using GitOps declarative approach,Cluster Administrator,user_story,Running the Argo CD instance at the cluster-level,"When managing Argo CD deployment, I want to run Argo CD instances on infrastructure nodes with appropriate tolerations, so workloads are properly isolated and scheduled.",OPTIMIZE
Argo CD instance has admin privileges in its namespace and cluster-wide read privileges. You can extend permissions by creating cluster roles and bindings.,Manage RBAC permissions for cluster-scoped Argo CD instances,"Covers default permissions, in-built permissions, and extension mechanisms",,Cluster Administrator,main_job,Default permissions / Adding permissions / Customizing permissions,"When operating Argo CD at cluster scope, I want to control and customize permissions for cluster resources, so I can grant appropriate access while maintaining security boundaries.",DEFINE
Argo CD instance has admin privileges in the namespace where deployed and cluster-wide get/list/watch permissions on all resources,Understand default Argo CD permissions,"Includes reference permissions for config.openshift.io, operators.coreos.com, user.openshift.io, storage.k8s.io, console.openshift.io",Manage RBAC permissions for cluster-scoped Argo CD instances,Cluster Administrator,user_story,Default permissions of an Argo CD instance,"When deploying Argo CD, I want to understand its default permission model, so I can assess security implications and plan necessary customizations.",DEFINE
"Create ClusterRole with additional rules (e.g., secrets permissions), then create ClusterRoleBinding for openshift-gitops-argocd-application-controller service account",Add additional permissions for cluster configuration,Requires cluster-admin access; permissions added via cluster role bindings to service accounts,Manage RBAC permissions for cluster-scoped Argo CD instances,Cluster Administrator,user_story,Adding permissions for cluster configuration,"When Argo CD needs access to additional cluster resources, I want to create custom cluster roles and bindings, so Argo CD can manage those resources declaratively.",EXECUTE
"Set spec.defaultClusterScopedRoleDisabled to true in Argo CD CR, then create custom ClusterRole and ClusterRoleBinding resources",Create user-defined cluster roles for cluster-scoped instances,Allows full customization; operator will not reconcile back custom roles,Manage RBAC permissions for cluster-scoped Argo CD instances,Cluster Administrator,user_story,Customizing permissions by creating user-defined cluster roles,"When default operator-managed permissions don't fit my requirements, I want to disable default cluster roles and create custom ones, so I can precisely control Argo CD's cluster access.",EXECUTE
Set spec.aggregatedClusterRoles to true in Argo CD CR; operator creates aggregated role with view and admin child roles,Create aggregated cluster roles,Technology available in GitOps 1.14+; only works for Application Controller; includes aggregation rule with label selectors,Manage RBAC permissions for cluster-scoped Argo CD instances,Cluster Administrator,user_story,Customizing permissions by creating aggregated cluster roles,"When I want to extend Argo CD permissions without creating roles from scratch, I want to use aggregated cluster roles, so I can compose permissions from multiple role definitions.",EXECUTE
Set spec.controller.respectRBAC to normal or strict in Argo CD resource; controller stops watching resources it cannot list or access,Configure respectRBAC feature,Prevents errors during sync when controller lacks permissions; strict mode is more accurate but increases API calls,Manage RBAC permissions for cluster-scoped Argo CD instances,Cluster Administrator,user_story,Configuring respectRBAC using GitOps,"When I want to restrict Argo CD's resource discovery, I want to enable respectRBAC, so the controller only watches resources it has permissions to access.",OPTIMIZE
GitOps manages specific cluster-scoped resources and takes care of installing cluster Operators or namespace-scoped OLM Operators,Install OLM Operators declaratively using GitOps,Covers both cluster-scoped and namespace-scoped operators,,Cluster Administrator,main_job,Installing OLM Operators using GitOps,"When managing operator lifecycle, I want to use GitOps to install and configure OLM operators from Git, so operator deployments are version-controlled and repeatable.",EXECUTE
"Create Subscription resource for operators (e.g., Grafana) in Git repo; OLM uses default global-operators OperatorGroup",Install cluster-scoped operators,No need to manage OperatorGroup for cluster-scoped operators,Install OLM Operators declaratively using GitOps,Cluster Administrator,user_story,Installing cluster-scoped Operators,"When deploying cluster-scoped operators, I want to place Subscription resources in Git, so Argo CD automatically installs operators in the openshift-operators namespace.",EXECUTE
"Create Namespace, OperatorGroup, and Subscription resources (e.g., Ansible Automation Platform) in Git repository",Install namespace-scoped operators,Important: only one OperatorGroup per namespace to avoid TooManyOperatorGroups error,Install OLM Operators declaratively using GitOps,Cluster Administrator,user_story,Installing namespace-scoped Operators,"When deploying namespace-scoped operators, I want to place Subscription and OperatorGroup resources in Git, so operators are installed in specific namespaces with proper scope.",EXECUTE
You can shard clusters across multiple Argo CD Application Controller replicas if the controller is managing too many clusters and uses too much memory,Scale Argo CD Application Controller with cluster sharding,Technology Preview feature; includes round-robin algorithm and dynamic scaling options,,Cluster Administrator / Platform Engineer,main_job,Sharding clusters across Argo CD Application Controller replicas,"When Argo CD manages many clusters with high memory usage, I want to distribute clusters across multiple controller replicas using sharding, so resource usage is balanced and performance is optimized.",OPTIMIZE
Set ARGOCD_CONTROLLER_SHARDING_ALGORITHM environment variable to round-robin; ensures balanced workload distribution and prevents shard overload,Enable round-robin sharding algorithm,Technology Preview; provides better distribution than legacy algorithm; requires sharding.enabled=true and replicas configuration,Scale Argo CD Application Controller with cluster sharding,Platform Engineer,user_story,Enabling the round-robin sharding algorithm,"When enabling sharding, I want to use the round-robin algorithm instead of legacy hash-based, so clusters are distributed evenly across shards.",OPTIMIZE
"Set spec.controller.sharding.dynamicScalingEnabled to true with minShards, maxShards, and clustersPerShard parameters",Enable dynamic scaling of shards,Technology Preview; automatic adjustment prevents manual shard count modifications; ensures well-balanced shards as clusters are added/removed,Scale Argo CD Application Controller with cluster sharding,Platform Engineer,user_story,Enabling dynamic scaling of shards,"When cluster count fluctuates, I want shards to scale dynamically based on configured thresholds, so shard distribution remains optimal without manual intervention.",OPTIMIZE
Set log level to debug and search for 'processed by shard' messages to observe cluster-to-shard assignments,Verify sharding configuration and distribution,"Verification includes checking StatefulSet pod count, log messages for 'Using filter function: round-robin', and shard assignment distribution",Scale Argo CD Application Controller with cluster sharding,Platform Engineer,user_story,Enabling the round-robin sharding algorithm / Verification steps,"When sharding is enabled, I want to verify which clusters are assigned to which shards, so I can confirm even distribution and troubleshoot issues.",MONITOR
