job_category,job_number,job_name,job_statement,parent_job,job_coverage,module_file,module_status,module_note,job_notes
,27,Job 27,,,gap,,gap,No existing module covers this job,
Administer,29,Connect gRPC applications,"When I am deploying Remote Procedure Call (gRPC) applications, I want to route traffic directly to native gRPC methods, so I can ensure seamless communication for my gRPC-based services.",,partial,modules/con-about-grpc-support.adoc,full,from connect-secure-apis-services assembly,Some aspects of the job may lack dedicated documentation
Administer,29,Connect gRPC applications,"When I am deploying Remote Procedure Call (gRPC) applications, I want to route traffic directly to native gRPC methods, so I can ensure seamless communication for my gRPC-based services.",,partial,modules/proc-create-grpcroute.adoc,full,from connect-secure-apis-services assembly,Some aspects of the job may lack dedicated documentation
Administer,29,Connect gRPC applications,"When I am deploying Remote Procedure Call (gRPC) applications, I want to route traffic directly to native gRPC methods, so I can ensure seamless communication for my gRPC-based services.",,partial,modules/ref-grpcroute-parameters.adoc,full,from connect-secure-apis-services assembly,Some aspects of the job may lack dedicated documentation
Administer,29,Connect gRPC applications,"When I am deploying Remote Procedure Call (gRPC) applications, I want to route traffic directly to native gRPC methods, so I can ensure seamless communication for my gRPC-based services.",,partial,modules/proc-migrate-policies-to-grpc.adoc,partial,Migration guidance for existing deployments,Some aspects of the job may lack dedicated documentation
Administer,31,Automate multicluster traffic routing,"When I operate across multiple clusters, I want to automate DNS hostnames and load balancing, so I can seamlessly route traffic to available gateways and maintain high availability.",,partial,modules/proc-set-dns-policy.adoc,full,from deployment assembly,Some aspects of the job may lack dedicated documentation
Administer,31,Automate multicluster traffic routing,"When I operate across multiple clusters, I want to automate DNS hostnames and load balancing, so I can seamlessly route traffic to available gateways and maintain high availability.",,partial,modules/proc-use-coredns-multicluster.adoc,full,from coredns assembly,Some aspects of the job may lack dedicated documentation
Administer,31,Automate multicluster traffic routing,"When I operate across multiple clusters, I want to automate DNS hostnames and load balancing, so I can seamlessly route traffic to available gateways and maintain high availability.",,partial,modules/con-connectivity-link-platform-eng-work.adoc,partial,Platform workflow context,Some aspects of the job may lack dedicated documentation
Administer,34,Control AI token consumption,"When providing access to generative AI models, I want to track and limit usage based on actual token counts rather than HTTP hits, so I can dynamically control inference costs and prevent budget overruns.",,full,modules/con-about-token-based-rate-limiting.adoc,full,from deployment assembly,
Administer,34,Control AI token consumption,"When providing access to generative AI models, I want to track and limit usage based on actual token counts rather than HTTP hits, so I can dynamically control inference costs and prevent budget overruns.",,full,modules/proc-configure-token-based-rate-limiting.adoc,full,from deployment assembly,
Administer,109,Delete virtual MCP servers,"When I no longer need a virtual MCP server, I want to delete the MCPVirtualServer CR, so I can clean up unused resources.",,full,modules/proc-mcp-gateway-delete-virtual-server.adoc,full,from mcp-gateway-create-virtual-mcp-servers assembly,
Administer,134,Understand policy status conditions,"When a policy is not working as expected, I want to understand what the status conditions on AuthPolicy, RateLimitPolicy, DNSPolicy, and TLSPolicy mean, so I can identify and fix the root cause without opening a support case.",,gap,,gap,No existing module covers this job,NEW job
Administer,139,Uninstall Connectivity Link,"When I need to remove Connectivity Link from my cluster, I want to cleanly uninstall the Operator and all associated resources, so I can avoid leaving orphaned CRDs or finalizers that block future reinstallation.",,gap,,gap,No existing module covers this job,NEW job
Administer,142,Unregister or remove an MCP server,"When I need to decommission an MCP server, I want to delete the MCPServerRegistration CR and associated resources, so I can cleanly remove the server without leaving stale routing configuration.",,partial,modules/proc-mcp-gateway-register-mcp-server.adoc,partial,Mentions delete/re-create for prefix updates; no dedicated unregister procedure,NEW job; Some aspects of the job may lack dedicated documentation
Administer,145,Scale and size Connectivity Link components,"When I am planning or operating a production Connectivity Link deployment, I want to understand resource requirements, scaling strategies, and autoscaling configuration for gateway, Authorino, and Limitador, so I can meet my performance SLOs and avoid operator reconciliation conflicts.",,gap,,gap,No existing module covers this job,NEW job
Configure,11,Configure DNS provider credentials for AWS,"When I want to use AWS Route 53 for DNS policies, I want to configure AWS DNS credentials in my cluster, so I can create DNSPolicy resources that manage DNS records automatically.",Give Connectivity Link access,full,modules/proc-configure-dns-provider-aws.adoc,full,from install-guide assembly,
Configure,12,Configure Google DNS provider credentials,"When I want to use Google Cloud DNS for DNS policies, I want to configure Google DNS credentials in my cluster, so I can create DNSPolicy resources that manage DNS records automatically.",,full,modules/proc-configure-dns-provider-google.adoc,full,from install-guide assembly,
Configure,13,Configure Azure DNS provider credentials,"When I want to use Azure DNS for DNS policies, I want to configure Azure DNS credentials in my cluster, so I can create DNSPolicy resources that manage DNS records automatically.",,full,modules/proc-configure-dns-provider-azure.adoc,full,from install-guide assembly,
Configure,14,Configure coreDNS,"When I want to self-manage my on-premise DNS, I want to integrate CoreDNS with my DNS infrastructure, so I can create access control and zone delegation.",,partial,modules/con-about-using-onprem-dns-coredns.adoc,full,from coredns assembly,Some aspects of the job may lack dedicated documentation
Configure,14,Configure coreDNS,"When I want to self-manage my on-premise DNS, I want to integrate CoreDNS with my DNS infrastructure, so I can create access control and zone delegation.",,partial,modules/con-rhcl-coredns-arch.adoc,full,from coredns assembly,Some aspects of the job may lack dedicated documentation
Configure,14,Configure coreDNS,"When I want to self-manage my on-premise DNS, I want to integrate CoreDNS with my DNS infrastructure, so I can create access control and zone delegation.",,partial,modules/proc-use-coredns-single-cluster.adoc,full,from coredns assembly,Some aspects of the job may lack dedicated documentation
Configure,14,Configure coreDNS,"When I want to self-manage my on-premise DNS, I want to integrate CoreDNS with my DNS infrastructure, so I can create access control and zone delegation.",,partial,modules/ref-coredns-corefile-config.adoc,partial,Corefile reference,Some aspects of the job may lack dedicated documentation
Configure,15,Configure storage for rate limiting,"When I need rate limiting across multiple clusters, I want to configure a shared Redis datastore for Limitador, so I can persist rate limit counters in a multicluster environment.",,full,modules/proc-configure-redis.adoc,full,from install-guide assembly,
Configure,16,Enable the Connectivity Link dynamic plugin for OpenShift web console,"When I want a graphical view of gateways and policies, I want to enable the Connectivity Link dynamic plugin in the OpenShift web console, so I can manage Connectivity Link resources through the UI.",,partial,modules/proc-enable-openshift-dynamic-plugin.adoc,full,from install-guide assembly,Some aspects of the job may lack dedicated documentation
Configure,16,Enable the Connectivity Link dynamic plugin for OpenShift web console,"When I want a graphical view of gateways and policies, I want to enable the Connectivity Link dynamic plugin in the OpenShift web console, so I can manage Connectivity Link resources through the UI.",,partial,modules/proc-rhcl-enable-console-plugin.adoc,full,from rhcl-ocp-web-console assembly,Some aspects of the job may lack dedicated documentation
Configure,16,Enable the Connectivity Link dynamic plugin for OpenShift web console,"When I want a graphical view of gateways and policies, I want to enable the Connectivity Link dynamic plugin in the OpenShift web console, so I can manage Connectivity Link resources through the UI.",,partial,modules/con-about-using-openshift-web-console.adoc,partial,Console overview,Some aspects of the job may lack dedicated documentation
Configure,36,Manage on-premise DNS traffic,"When running services in a private data center, I want to manage on-premise DNS traffic, so I can control internal network routing without relying on external cloud providers.",,full,modules/con-about-using-onprem-dns-coredns.adoc,full,from coredns assembly,
Configure,36,Manage on-premise DNS traffic,"When running services in a private data center, I want to manage on-premise DNS traffic, so I can control internal network routing without relying on external cloud providers.",,full,modules/proc-use-coredns-single-cluster.adoc,full,from coredns assembly,
Configure,36,Manage on-premise DNS traffic,"When running services in a private data center, I want to manage on-premise DNS traffic, so I can control internal network routing without relying on external cloud providers.",,full,modules/proc-use-coredns-multicluster.adoc,full,from coredns assembly,
