desired_outcomes,doc,evidence,granularity,job_map_stage,job_statement,job_type,notes,parent_job,persona,prerequisites,related_jobs,section
"['Minimize time required to enable cluster-scoped management', 'Ensure Argo CD has only necessary permissions', 'Reduce likelihood of permission-related deployment failures']",configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,"modules/gitops-using-argo-cd-instance-to-manage-cluster-scoped-resources.adoc, lines 1-51. Main procedure: Edit Subscription to add namespace to ARGOCD_CLUSTER_CONFIG_NAMESPACES environment variable. Verification via UI or CLI.",main_job,Configure,"When I need to manage cluster-scoped resources with GitOps, I want to configure my Argo CD instance with appropriate permissions, so I can automate cluster configuration through Git without manual intervention.",core,Source module: modules/gitops-using-argo-cd-instance-to-manage-cluster-scoped-resources.adoc (PROCEDURE). This is the foundational configuration step for cluster-level GitOps management.,,Cluster administrator,"['Install GitOps Operator', 'Deploy Argo CD instance']","['Understand default Argo CD permissions', 'Add custom permissions for specific resources']",Using an Argo CD instance to manage cluster-scoped resources
"['Complete configuration without CLI expertise', 'Avoid YAML syntax errors', 'Ensure correct namespace is added to environment variable']",configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,"modules/gitops-using-argo-cd-instance-to-manage-cluster-scoped-resources.adoc, lines 14-32. UI path: Operators → Installed Operators → GitOps → Subscription → Edit Subscription.",user_story,Configure,"As a cluster administrator, when configuring Argo CD for cluster-scoped management, I want to use the web console to edit the Subscription, so I can visually configure permissions without writing YAML.",core,UI-based approach for editing ARGOCD_CLUSTER_CONFIG_NAMESPACES. Alternative to CLI-based editing.,Configure my Argo CD instance with appropriate permissions,Cluster administrator,"['Install GitOps Operator', 'Have cluster admin access']",['Verify cluster role configuration'],Using an Argo CD instance to manage cluster-scoped resources
"['Minimize time to validate configuration', 'Reduce likelihood of discovering permission issues during application deployment', 'Ensure correct cluster role is created']",configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,"modules/gitops-using-argo-cd-instance-to-manage-cluster-scoped-resources.adoc, lines 34-51. Verification via UI (User Management → Roles) or CLI (oc auth can-i create oauth).",user_story,Confirm,"As a cluster administrator, when I've configured Argo CD permissions, I want to verify the cluster role assignment, so I can confirm Argo CD can manage cluster-scoped resources before deploying applications.",core,"Confirmation step with two approaches: UI search for argocd-application-controller role, or CLI verification of specific permission.",Configure my Argo CD instance with appropriate permissions,Cluster administrator,['Edit Subscription with ARGOCD_CLUSTER_CONFIG_NAMESPACES'],[],Using an Argo CD instance to manage cluster-scoped resources
"['Minimize time to understand permission boundaries', 'Reduce likelihood of over-permissioning Argo CD', 'Ensure compliance with security policies']",configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,"modules/gitops-default-permissions-of-an-argocd-instance.adoc, lines 1-47. Default: admin privileges in deployment namespace, cluster-wide read on all resources.",main_job,Plan,"When planning my Argo CD deployment, I want to understand the default permission model, so I can determine what additional permissions I need to configure.",core,Source module: modules/gitops-default-permissions-of-an-argocd-instance.adoc (PROCEDURE). Reference content explaining default permission model and customization options.,,Cluster administrator,[],"['Configure Argo CD for cluster-scoped resources', 'Add custom permissions']",Default permissions of an Argocd instance
"[""Ensure Argo CD workloads don't interfere with application workloads"", 'Minimize resource contention', 'Enable predictable GitOps performance', 'Comply with infrastructure isolation policies']",configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,"modules/go-run-argo-cd-instance-on-infrastructure-nodes.adoc, lines 1-58. Procedure: Label nodes, optionally apply taints, add runOnInfra toggle to GitOpsService CR.",main_job,Configure,"When operating a production cluster with infrastructure nodes, I want to run Argo CD on dedicated infrastructure nodes, so I can isolate GitOps workloads from application workloads and ensure predictable performance.",core,Source module: modules/go-run-argo-cd-instance-on-infrastructure-nodes.adoc (PROCEDURE). Production best practice for workload isolation.,,Platform engineer,"['Install GitOps Operator', 'Have infrastructure nodes available or create them']","['Configure node taints and tolerations', 'Monitor infrastructure node capacity']",Running the Argo CD instance at the cluster-level
"['Minimize time to deploy cluster configurations', 'Ensure Git repository is source of truth', 'Enable automatic drift detection', 'Reduce manual configuration errors']",configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,"modules/gitops-creating-an-application-by-using-the-argo-cd-dashboard.adoc, lines 1-59. Creates cluster-configs application pointing to cluster directory with namespace spring-petclinic.",main_job,Deploy,"When I need to deploy cluster configurations via GitOps, I want to create an Argo CD application pointing to my Git repository, so I can manage cluster state declaratively.",core,Source module: modules/gitops-creating-an-application-by-using-the-argo-cd-dashboard.adoc (PROCEDURE). Main job for deploying cluster configurations via GitOps.,,Cluster administrator,"['Configure Argo CD for cluster-scoped resources', 'Have Git repository with cluster configurations', 'Have namespace labeled for Argo CD management']","['Synchronize application with Git repository', 'Monitor application sync status']",Creating an application by using the Argo CD dashboard
"['Complete application creation in under 5 minutes', 'Avoid YAML syntax errors', 'Ensure correct Git path and directory recursion settings']",configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,"modules/gitops-creating-an-application-by-using-the-argo-cd-dashboard.adoc, lines 25-54. Dashboard workflow: NEW APP → configure parameters → CREATE.",user_story,Deploy,"As a cluster administrator, when creating an Argo CD application, I want to use the web dashboard, so I can configure the application visually without writing YAML manifests.",core,"UI-based approach. Configuration includes Application Name, Project, Sync Policy, Repository URL, Path, Destination, Namespace, and Directory Recurse option.",Create an Argo CD application pointing to my Git repository,Cluster administrator,"['Access to Argo CD dashboard', 'Git repository with cluster configurations']",['Label namespace for Argo CD management'],Creating an application by using the Argo CD dashboard
"['Ensure application can sync successfully', 'Minimize permission-related deployment failures', 'Enable Argo CD to manage namespace resources']",configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,"modules/gitops-creating-an-application-by-using-the-argo-cd-dashboard.adoc, lines 56-59. Label: argocd.argoproj.io/managed-by=openshift-gitops.",user_story,Configure,"As a cluster administrator, after creating an Argo CD application, I want to label the target namespace for management, so I can ensure the Argo CD instance has permission to deploy resources there.",related,"Critical post-creation step. Without this label, Argo CD cannot manage resources in the namespace.",Create an Argo CD application pointing to my Git repository,Cluster administrator,"['Create Argo CD application', 'Namespace exists']",[],Creating an application by using the Argo CD dashboard
"['Enable application creation automation', 'Ensure consistent application configuration', 'Integrate with CI/CD pipelines', 'Avoid manual UI interaction']",configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,"modules/gitops-creating-an-application-by-using-the-oc-tool.adoc, lines 1-68. Workflow: Clone repo → oc create -f → oc get application → label namespace.",user_story,Deploy,"As a platform engineer, when creating an Argo CD application, I want to use the oc CLI tool, so I can automate application creation and manage it as code.",core,"Source module: modules/gitops-creating-an-application-by-using-the-oc-tool.adoc (PROCEDURE). CLI-based approach, alternative to dashboard method.",Create an Argo CD application pointing to my Git repository,Platform engineer,"['Git repository with application YAML', 'oc CLI installed and configured', 'Access to openshift-gitops namespace']","['Verify application creation', 'Label namespace for management']",Creating an application by using the oc tool
"['Minimize time from Git change to cluster deployment', 'Ensure changes are reviewed before application', 'Reduce risk of unexpected cluster changes', 'Enable rollback if issues detected']",configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,"modules/gitops-synchronizing-your-application-application-with-your-git-repository.adoc, lines 1-21. Workflow: Application shows Missing/OutOfSync → SYNC → review → SYNCHRONIZE → verify Healthy/Synced.",main_job,Execute,"When my Argo CD application is created with manual sync policy, I want to trigger synchronization, so I can apply Git repository changes to the cluster in a controlled manner.",core,Source module: modules/gitops-synchronizing-your-application-application-with-your-git-repository.adoc (PROCEDURE). Core execution step for applying cluster configurations.,,Cluster administrator,"['Create Argo CD application', 'Git repository contains valid configurations']","['Monitor application health status', 'Configure automatic sync policy']",Synchronizing your application with your Git repository
