doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
argocd-agent-installation.adoc,Argo CD Agent Terminologies,"When setting up Argo CD Agent across hub and spoke clusters, I want to understand the required namespaces, contexts, and CLI parameters, so I can correctly configure the multi-cluster architecture.",core,Platform administrator,Get Started,main_job,,,Install Principal component; Set up spoke cluster environment,Minimize configuration errors from incorrect parameter usage; Ensure correct namespace mapping between hub and spoke clusters; Reduce time to understand multi-cluster setup requirements,"Lines 17-42: Argo CD Agent Terminologies section defines principal namespace, agent namespace, context, principal context, and agent context with examples",Conceptual foundation for understanding the Principal-Agent architecture. Critical for avoiding namespace and context confusion during setup.
argocd-agent-installation.adoc,Installing the Principal component,"When establishing the control plane for multi-cluster GitOps, I want to install and configure the Principal component with secure PKI, so I can centrally manage Agent communications across workload clusters.",core,Platform administrator,Configure,main_job,,Install GitOps Operator on hub cluster; Install cluster-scoped Argo CD instance; Configure Apps in any namespace feature,Set up spoke cluster environment; Create Agent secrets,Minimize time to establish secure hub-spoke communication; Ensure proper PKI initialization for production security; Reduce likelihood of misconfigured namespace mappings,"Lines 44-120: Full procedure for deploying Principal component, creating namespaces, configuring AppProject, and initializing PKI with CA, server certificates, and JWT keys",Multi-step consumption chain job. Includes WARNING that CLI-generated PKI is for dev/test only - production requires proper CA. Critical that sourceNamespaces match Agent names exactly.
argocd-agent-installation.adoc,Installing the Principal component,"As a Platform administrator using the Argo CD CR, when deploying the Principal component, I want to enable it with proper auth and TLS configuration, so I can secure all Principal-Agent communications.",core,Platform administrator,Configure,user_story,Install and configure the Principal component with secure PKI,Have GitOps Operator installed; Have cluster-scoped Argo CD instance capability,,Ensure all communications are encrypted with mTLS; Prevent use of insecure auto-generated certificates in production; Minimize setup errors from incorrect auth configuration,"Lines 50-64: Argo CD CR configuration showing argoCDAgent.principal section with auth, logLevel, namespace, tls, and jwt settings",CR-based approach for enabling Principal. Note that sourceNamespaces must match Agent names or deployment/monitoring fails.
argocd-agent-installation.adoc,Setting up a spoke cluster environment,"When connecting Agent clusters to the Principal, I want to create Agent secrets and propagate CA certificates, so I can establish secure authenticated connections between hub and spoke.",core,Platform administrator,Configure,main_job,,Complete Principal setup; Have argocd-agentctl CLI installed; Have helm CLI installed (>v3.8.0); Have access to both Principal and Agent clusters,Install Principal component; Install Agent component,Minimize manual certificate management overhead; Ensure proper CA propagation across clusters; Reduce time to establish trust between Principal and Agent,"Lines 122-145: Procedure for creating Agent secret on Principal cluster, copying CA certificate to Agent cluster, generating client certificate for Agent, and verifying secrets",Critical setup step that enables Principal-Agent secure communication. Uses argocd-agentctl for PKI management across clusters.
argocd-agent-installation.adoc,Installing the Argo CD Agent by using a Helm chart,"When deploying Agent components on workload clusters, I want to choose between managed and autonomous modes, so I can align Agent behavior with my organizational control model.",core,Platform administrator,Plan,main_job,,Understand Argo CD Agent architecture; Have Principal component running; Have spoke cluster environment set up,Deploy Argo CD instance on Agent cluster; Install Agent in managed mode; Install Agent in autonomous mode,Minimize time to determine correct deployment mode for each workload cluster; Ensure alignment between control model and technical implementation; Reduce likelihood of deploying wrong mode for organizational needs,Lines 147-155: Overview section explaining Helm-based installation process and the two modes: managed (Principal controls lifecycle) vs autonomous (Agent independent),Conceptual decision point. Managed mode = hub is source of truth; Autonomous mode = spoke is source of truth. This choice affects where applications are created and managed.
argocd-agent-installation.adoc,Deploying an Argo CD instance on the Agent cluster,"When preparing to install the Agent component, I want to deploy a minimal Argo CD instance on the workload cluster, so I can provide the application controller needed for Agent operations.",related,Platform administrator,Configure,user_story,Choose between managed and autonomous modes,Have GitOps Operator installed on Agent cluster; Have Agent namespace created,Install Agent in managed mode; Install Agent in autonomous mode,Minimize resource overhead by disabling unnecessary components; Ensure Argo CD is ready before Agent installation; Reduce deployment failures from missing dependencies,"Lines 157-170: Procedure showing Argo CD CR with server disabled, creating minimal instance for Agent workload handling",Prerequisite step for Helm-based Agent installation. CR disables server component since Agent provides its own interface to Principal.
argocd-agent-installation.adoc,Installing the Argo CD Agent in managed mode by using a Helm chart,"As a Platform administrator using Helm, when deploying managed-mode Agents, I want to configure network policies and Helm values, so I can enable Principal-controlled application deployment to workload clusters.",core,Platform administrator,Deploy,user_story,Choose between managed and autonomous modes,Deploy Argo CD instance on Agent cluster; Have Principal component running; Have spoke cluster environment configured,Install Agent in autonomous mode; Deploy applications in managed mode,Minimize connectivity issues by properly configuring network policies; Ensure Agent can communicate with Redis for state synchronization; Reduce time to enable hub-driven application deployments,"Lines 172-186: Procedure for creating custom NetworkPolicy to allow Agent-Redis communication, adding Helm repo, and installing with managed mode parameters including Redis configuration",Managed mode requires custom NetworkPolicy because default GitOps Operator policy blocks Agent-Redis communication. Hub is source of truth in this mode.
argocd-agent-installation.adoc,Installing the Argo CD Agent in autonomous mode by using a Helm chart,"As a Platform administrator using Helm, when deploying autonomous-mode Agents, I want to configure network policies, Helm values, and AppProject resources, so I can enable spoke-controlled application deployment with hub visibility.",core,Platform administrator,Deploy,user_story,Choose between managed and autonomous modes,Deploy Argo CD instance on Agent cluster; Have Principal component running; Have spoke cluster environment configured,Install Agent in managed mode; Deploy applications in autonomous mode,Enable spoke teams to manage their own applications while maintaining hub visibility; Ensure proper AppProject configuration for autonomous operation; Minimize manual configuration overhead for spoke cluster teams,"Lines 188-202: Procedure for creating NetworkPolicy, installing autonomous Agent via Helm, and creating AppProject with wildcard permissions in agent namespace",Autonomous mode requires AppProject creation in agent namespace. Spoke is source of truth - hub only observes. NetworkPolicy requirement same as managed mode.
argocd-agent-installation.adoc,Installing the Argo CD Agent by using an Argo CD custom resource,"When I prefer operator-managed Agent deployment over Helm, I want to configure the Agent component via Argo CD CR, so I can leverage GitOps Operator lifecycle management for Agent components.",core,Platform administrator,Deploy,user_story,Choose between managed and autonomous modes,Have required secrets created for Agent component; Have cluster-scoped Argo CD instance capability,Install Agent via Helm in managed mode; Install Agent via Helm in autonomous mode,Minimize operational overhead by using operator-managed lifecycle; Ensure consistent configuration across Agent deployments; Reduce manual Helm chart version management,"Lines 204-226: Procedure showing Argo CD CR configurations for both managed and autonomous modes with argoCDAgent.agent section including client, redis, and tls settings",Alternative to Helm-based installation. CR-based approach integrates with GitOps Operator for lifecycle management. Same mode selection (managed vs autonomous) applies.
argocd-agent-installation.adoc,Verifying the Argo CD Agent installation in Managed Mode or Autonomous Mode,"When completing Agent installation, I want to verify pod health, connection status, and Principal-Agent communication, so I can confirm the setup is working correctly before deploying applications.",core,Platform administrator,Confirm,main_job,,Complete Agent installation (Helm or CR-based); Have Principal component running,Troubleshoot Principal-Agent communication issues,Minimize time to identify misconfigured Agents before application deployment; Ensure bidirectional Principal-Agent communication is established; Reduce application deployment failures from unverified Agent state,"Lines 228-253: Verification procedure checking Agent pod status, connection logs showing 'Authentication successful' and 'Connected' messages, optional metrics verification, and Principal-side connection confirmation","Critical verification step. Successful verification shows 'Authentication successful' and 'Connected' in Agent logs, and 'agent connected' in Principal logs. Includes optional metrics check and agent list command."
