job_name,job_statement,parent_job,job_coverage,module_file,source_assembly,module_status,module_note,job_notes
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/node-tuning-operator.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,"ifeval context dispatch: source assembly context 'node-tuning-operator' matches one of the module's ==  branches (cluster-capabilities, node-tuning-operator, operator-reference); the job map must render this module under that context",orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/accessing-an-example-cluster-node-tuning-operator-specification.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/cluster-node-tuning-operator-default-profiles-set.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/cluster-node-tuning-operator-verify-profiles.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/custom-tuning-specification.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/custom-tuning-example.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/defer-applicaton-tuning-example.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/defer-application-tuning-proc.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/node-tuning-operator-supported-tuned-daemon-plug-ins.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/node-tuning-hosted-cluster.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/advanced-node-tuning-hosted-cluster.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles > Apply Node Tuning Operator Profiles,Tune Node Performance with Tuning Profiles,full,modules/post-install-using-node-tuning-operator.adoc,post_installation_configuration/node-tasks.adoc,partial,day-2 pointer only,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Reference Performance Profile Templates,Tune Node Performance with Tuning Profiles > Reference Performance Profile Templates,Tune Node Performance with Tuning Profiles,full,modules/cnf-telco-ran-reference-design-performance-profile-template.adoc,scalability_and_performance/cnf-tuning-low-latency-nodes-with-perf-profile.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Reference Performance Profile Templates,Tune Node Performance with Tuning Profiles > Reference Performance Profile Templates,Tune Node Performance with Tuning Profiles,full,modules/cnf-telco-core-reference-design-performance-profile-template.adoc,scalability_and_performance/cnf-tuning-low-latency-nodes-with-perf-profile.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Tune Node Performance with Tuning Profiles > Reference Performance Profile Templates,Tune Node Performance with Tuning Profiles > Reference Performance Profile Templates,Tune Node Performance with Tuning Profiles,full,modules/installation-openstack-ovs-dpdk-performance-profile.adoc,scalability_and_performance/cnf-tuning-low-latency-nodes-with-perf-profile.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Configure CPU Isolation for Latency-Sensitive Workloads > Enable CPU Manager and Topology Manager,Configure CPU Isolation for Latency-Sensitive Workloads > Enable CPU Manager and Topology Manager,Configure CPU Isolation for Latency-Sensitive Workloads,full,modules/setting-up-cpu-manager.adoc,scalability_and_performance/using-cpu-manager.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Configure CPU Isolation for Latency-Sensitive Workloads > Enable CPU Manager and Topology Manager,Configure CPU Isolation for Latency-Sensitive Workloads > Enable CPU Manager and Topology Manager,Configure CPU Isolation for Latency-Sensitive Workloads,full,modules/topology-manager-policies.adoc,scalability_and_performance/using-cpu-manager.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Configure CPU Isolation for Latency-Sensitive Workloads > Enable CPU Manager and Topology Manager,Configure CPU Isolation for Latency-Sensitive Workloads > Enable CPU Manager and Topology Manager,Configure CPU Isolation for Latency-Sensitive Workloads,full,modules/setting-up-topology-manager.adoc,scalability_and_performance/using-cpu-manager.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Configure CPU Isolation for Latency-Sensitive Workloads > Enable CPU Manager and Topology Manager,Configure CPU Isolation for Latency-Sensitive Workloads > Enable CPU Manager and Topology Manager,Configure CPU Isolation for Latency-Sensitive Workloads,full,modules/pod-interactions-with-topology-manager.adoc,scalability_and_performance/using-cpu-manager.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Configure CPU Isolation for Latency-Sensitive Workloads > Enable CPU Manager and Topology Manager,Configure CPU Isolation for Latency-Sensitive Workloads > Enable CPU Manager and Topology Manager,Configure CPU Isolation for Latency-Sensitive Workloads,full,modules/post-install-topology-manager.adoc,post_installation_configuration/node-tasks.adoc,partial,day-2 pointer only,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
Schedule NUMA-Aware Workloads > Install and Configure NUMA Resources Operator,Schedule NUMA-Aware Workloads > Install and Configure NUMA Resources Operator,Schedule NUMA-Aware Workloads,full,modules/cnf-installing-numa-resources-operator-cli.adoc,scalability_and_performance/cnf-numa-aware-scheduling.adoc,full,,orphan: parent job is owned by the Optimize category (maps/ocp/optimize_coverage_map.csv); create the job map but wire it into nothing here.
