approach,evidence,job,module_path,module_type,notes,parent_job,parent_story,persona,record_type,stage,steps,task,user_story
,Lines 97-268: Deploying a Spring Boot application with Argo CD,Deploy applications to OpenShift using Argo CD,,,Main workflow for deploying applications through Argo CD using either the dashboard or oc tool,,,Application Developer,main_job,EXECUTE,,,
UI-driven,Lines 117-151: Creating an application by using the Argo CD dashboard,,modules/gitops-creating-an-application-by-using-the-argo-cd-dashboard.adoc,PROCEDURE,,Deploy applications to OpenShift using Argo CD,,Application Developer,user_story,EXECUTE,,,"When I want to deploy my application using the Argo CD dashboard, I want to configure it through the UI, so I can visually set up my application deployment"
UI-driven,Lines 123-150,,,PROCEDURE,,,"When I want to deploy my application using the Argo CD dashboard, I want to configure it through the UI, so I can visually set up my application deployment",Application Developer,task,EXECUTE,"Log in to OpenShift cluster as administrator; Install GitOps Operator; Log in to Argo CD instance; Create application with repository URL, path, and namespace settings; Click CREATE to create application; Label namespace for Argo CD management",Create application via Argo CD dashboard,
CLI-driven,Lines 164-207: Creating an application by using the oc tool,,modules/gitops-creating-an-application-by-using-the-oc-tool.adoc,PROCEDURE,,Deploy applications to OpenShift using Argo CD,,Application Developer,user_story,EXECUTE,,,"When I want to deploy my application using command-line tools, I want to use the oc CLI, so I can automate and script my deployments"
CLI-driven,Lines 170-199,,,PROCEDURE,,,"When I want to deploy my application using command-line tools, I want to use the oc CLI, so I can automate and script my deployments",Application Developer,task,EXECUTE,Install GitOps Operator; Log in to Argo CD instance; Access oc CLI tool; Download sample application; Create application using oc; Review created application,Create application using oc CLI,
Testing,Lines 218-267: Verifying Argo CD self-healing behavior,,modules/gitops-verifying-argo-cd-self-healing-behavior.adoc,PROCEDURE,,Deploy applications to OpenShift using Argo CD,,Application Developer,user_story,VERIFY,,,"When my application is deployed, I want to verify Argo CD's self-healing behavior, so I can ensure my application state is automatically corrected"
Testing,Lines 232-266,,,PROCEDURE,,,"When my application is deployed, I want to verify Argo CD's self-healing behavior, so I can ensure my application state is automatically corrected",Application Developer,task,VERIFY,Verify application has Synced status in Argo CD dashboard; Fork the GitOps repository; Modify deployment and commit changes; Scale deployment to test self-healing; Observe Argo CD auto-heal the application; Review events in Argo CD dashboard,Test self-healing by modifying deployment,
,Lines 364-606: Creating an application by using the GitOps CLI,Manage Argo CD applications using the GitOps CLI,,,Workflow for using argocd CLI in default and core modes,,,Platform Engineer,main_job,EXECUTE,,,
CLI-driven,Lines 384-483: Creating an application in the default mode by using the GitOps CLI,,modules/gitops-argocd-cli-creating-an-application-in-default-mode.adoc,PROCEDURE,,Manage Argo CD applications using the GitOps CLI,,Platform Engineer,user_story,EXECUTE,,,"When I want to use the Argo CD CLI in default mode, I want to authenticate and create applications, so I can manage deployments from the command line"
CLI-driven,Lines 400-482,,,PROCEDURE,,,"When I want to use the Argo CD CLI in default mode, I want to authenticate and create applications, so I can manage deployments from the command line",Platform Engineer,task,EXECUTE,Install GitOps Operator; Install oc and argocd CLIs; Get admin password for Argo CD server; Get Argo CD server URL; Log in to Argo CD server; Verify argocd commands work; Create application using argocd app create; Label destination namespace; Confirm application is created successfully,Create application using argocd CLI in default mode,
CLI-driven,Lines 497-597: Creating an application in core mode by using the GitOps CLI,,modules/gitops-argocd-cli-creating-an-application-in-core-mode.adoc,PROCEDURE,,Manage Argo CD applications using the GitOps CLI,,Platform Engineer,user_story,EXECUTE,,,"When I want to use the Argo CD CLI in core mode, I want to leverage my existing Kubernetes authentication, so I can avoid separate Argo CD login"
CLI-driven,Lines 512-596,,,PROCEDURE,,,"When I want to use the Argo CD CLI in core mode, I want to leverage my existing Kubernetes authentication, so I can avoid separate Argo CD login",Platform Engineer,task,EXECUTE,Log in to OpenShift cluster using oc CLI; Check context is set correctly in kubeconfig; Set default namespace to openshift-gitops; Set environment variable to override Argo CD component names; Verify argocd commands work in core mode; Create application using argocd app create --core; Label destination namespace; Confirm application is created successfully,Create application using argocd CLI in core mode,
,Lines 702-1010: Managing the application resources in non-control plane namespaces,Manage applications in non-control plane namespaces,,,Enable multitenancy by allowing applications in namespaces other than openshift-gitops,,,Cluster Administrator,main_job,CONFIGURE,,,
