record_type,parent_job,job,persona,situation,motivation,outcome,workflow_stage,section,doc_identifier,evidence,user_story_count,task_count,tags,notes
main_job,,Establish GitOps-based cluster management,Cluster Administrator,"When setting up declarative, version-controlled cluster configuration","So I can replace manual cluster configuration with automated, auditable GitOps workflows",Cluster configuration managed through Git with full version control and collaboration features,DEFINE,Managing OpenShift cluster configuration,managing_cluster_configuration,"As an administrator, maintaining the stability and consistency of an OpenShift Container Platform environment requires a move away from traditionally manual configurations toward automated, declarative management.",4,,cluster-management; gitops; automation,Main workflow covering GitOps adoption for cluster configuration. Module types: assembly (managing-openshift-cluster-configuration.adoc)
user_story,Establish GitOps-based cluster management,Install GitOps Operator,Cluster Administrator,When I need to enable GitOps capabilities on my OpenShift cluster,So I can manage cluster configuration declaratively through Git,GitOps Operator installed and running in the cluster,SETUP,Installing Red Hat OpenShift GitOps Operator using CLI,managing_cluster_configuration,You can install Red Hat OpenShift GitOps Operator from the OperatorHub by using the CLI.,,7,installation; operator; cli,Covers CLI-based operator installation. Module type: PROCEDURE (installing-gitops-operator-using-cli.adoc)
task,Install GitOps Operator,Create operator namespace,Cluster Administrator,When I need to isolate the GitOps Operator installation,So I can deploy the operator in a dedicated namespace,openshift-gitops-operator namespace created,SETUP,Installing Red Hat OpenShift GitOps Operator using CLI,managing_cluster_configuration,Create a `openshift-gitops-operator` namespace: $ oc create ns openshift-gitops-operator,,,namespace; setup,"Module type: PROCEDURE (installing-gitops-operator-using-cli.adoc), Lines 38-50"
task,Install GitOps Operator,Enable cluster monitoring for operator namespace,Cluster Administrator,When I need to monitor the GitOps Operator,So I can track operator health and performance metrics,Cluster monitoring enabled on the operator namespace,SETUP,Installing Red Hat OpenShift GitOps Operator using CLI,managing_cluster_configuration,"You can enable cluster monitoring on `openshift-gitops-operator`, or any namespace, by applying the `openshift.io/cluster-monitoring=true` label",,,monitoring; observability; optional,"Module type: PROCEDURE (installing-gitops-operator-using-cli.adoc), Lines 54-66"
task,Install GitOps Operator,Create OperatorGroup,Cluster Administrator,When I need to configure operator deployment scope,So I can define which namespaces the operator can manage,OperatorGroup created for the GitOps Operator,SETUP,Installing Red Hat OpenShift GitOps Operator using CLI,managing_cluster_configuration,"Create a `OperatorGroup` object YAML file, for example, `gitops-operator-group.yaml`",,,operatorgroup; configuration,"Module type: PROCEDURE (installing-gitops-operator-using-cli.adoc), Lines 69-97"
task,Install GitOps Operator,Subscribe to GitOps Operator,Cluster Administrator,When I need to install the operator from OperatorHub,So I can deploy the GitOps Operator with automatic updates,Subscription created and operator deployed,SETUP,Installing Red Hat OpenShift GitOps Operator using CLI,managing_cluster_configuration,Create a `Subscription` object YAML file to subscribe a namespace to the Red Hat OpenShift GitOps Operator,,,subscription; deployment,"Module type: PROCEDURE (installing-gitops-operator-using-cli.adoc), Lines 99-140"
task,Install GitOps Operator,Verify GitOps installation,Cluster Administrator,When I need to confirm the operator installed successfully,So I can ensure all components are running before proceeding,All GitOps pods running in both openshift-gitops and operator namespaces,SETUP,Installing Red Hat OpenShift GitOps Operator using CLI,managing_cluster_configuration,"After the installation is complete, verify that all the pods in the `openshift-gitops` namespace are running",,,verification; validation,"Module type: PROCEDURE (installing-gitops-operator-using-cli.adoc), Lines 143-180"
user_story,Establish GitOps-based cluster management,Inspect default Argo CD instance,Cluster Administrator,When I need to understand the default instance configuration,So I can customize it for my cluster configuration needs,Default Argo CD instance details analyzed and understood,DISCOVER,Analyzing the default Argo CD instance details,managing_cluster_configuration,"After installation, you can use the OpenShift Container Platform web console to view the **Operator details** page and analyze the default instance configuration.",,4,analysis; configuration; default-instance,Covers inspection of operator-created default instance. Module type: PROCEDURE (analyzing-the-default-instance-details.adoc)
task,Inspect default Argo CD instance,Open Operator details page,Cluster Administrator,When I need to access operator configuration in the web console,So I can view the installed GitOps Operator details,Operator details page displayed,DISCOVER,Analyzing the default Argo CD instance details,managing_cluster_configuration,"Click **Installed Operators** under the **Operators** menu, and select the **Red Hat OpenShift GitOps** Operator.",,,web-console; navigation,"Module type: PROCEDURE (analyzing-the-default-instance-details.adoc), Lines 198-200"
task,Inspect default Argo CD instance,View Argo CD instance list,Cluster Administrator,When I need to see all Argo CD instances,So I can select the default instance for inspection,Argo CD tab showing all instances,DISCOVER,Analyzing the default Argo CD instance details,managing_cluster_configuration,Select the **Argo CD** tab.,,,web-console; navigation,"Module type: PROCEDURE (analyzing-the-default-instance-details.adoc), Line 201"
task,Inspect default Argo CD instance,Open default instance configuration,Cluster Administrator,When I need to inspect the openshift-gitops instance,So I can view its detailed configuration,Default instance details page displayed,DISCOVER,Analyzing the default Argo CD instance details,managing_cluster_configuration,"Click the name of the default instance, `openshift-gitops`, to view its details on a new page.",,,web-console; configuration,"Module type: PROCEDURE (analyzing-the-default-instance-details.adoc), Line 202"
task,Inspect default Argo CD instance,Review instance YAML configuration,Cluster Administrator,When I need to analyze the instance specification,So I can understand how it's configured and identify customization needs,Instance YAML displayed and analyzed,DISCOVER,Analyzing the default Argo CD instance details,managing_cluster_configuration,Select the **YAML** tab to analyze how it is configured.,,,yaml; configuration; analysis,"Module type: PROCEDURE (analyzing-the-default-instance-details.adoc), Line 203"
user_story,Establish GitOps-based cluster management,Access Argo CD UI,Cluster Administrator,When I need to interact with Argo CD through its web interface,So I can manage applications and verify the instance is accessible,Successfully logged into Argo CD UI with OpenShift credentials,EXECUTE,Access the default Argo CD instance,managing_cluster_configuration,"After analyzing the default Argo CD instance details, you can access it through the Argo CD UI to check whether it is available for use.",,5,access; authentication; ui,Covers accessing the Argo CD web interface. Module type: PROCEDURE (access-the-default-argocd-instance.adoc)
