doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
multitenancy-support-in-gitops.adoc,Overview,"When deploying applications for multiple teams, I want to understand multitenancy architecture and instance scopes, so I can choose the right deployment model for my organization.",core,Cluster administrator,Plan,main_job,,,Deploy Argo CD instances; Configure RBAC for tenants,Minimize risk of tenant interference; Reduce complexity of permission management; Ensure appropriate isolation between teams,"multitenancy-combined.adoc -> Overview, lines 1-17",Main job covering architecture understanding and planning multitenancy strategy.
multitenancy-support-in-gitops.adoc,Namespace-scoped instance (Application delivery instance),"When providing GitOps capabilities to application teams, I want to deploy namespace-scoped Argo CD instances, so I can give teams autonomy without granting cluster-admin privileges.",core,Cluster administrator,Configure,main_job,,Understand multitenancy architecture,Extend instance permissions to multiple namespaces; Configure custom cluster roles,Minimize security risk from privilege escalation; Reduce administrative overhead for tenant requests; Ensure tenants can self-manage their instances,"multitenancy-combined.adoc -> Namespace-scoped instance, lines 25-55",Core job for setting up isolated tenant instances. Multiple approaches via labels and environment variables.
multitenancy-support-in-gitops.adoc,Namespace-scoped instance - Using managed-by label,"As a cluster administrator, when enabling a namespace-scoped instance to deploy to multiple namespaces, I want to use the argocd.argoproj.io/managed-by label, so I can automatically provision required roles and bindings.",core,Cluster administrator,Configure,user_story,Deploy namespace-scoped Argo CD instances,Have namespace-scoped Argo CD instance deployed; Identify target namespaces for management,Define custom cluster roles for controllers,Minimize manual RBAC configuration; Reduce likelihood of permission errors; Ensure consistent role provisioning across namespaces,"multitenancy-combined.adoc -> Namespace-scoped instance, lines 40-55",Label-based approach for namespace management. Only works for same-cluster namespaces.
multitenancy-support-in-gitops.adoc,Namespace-scoped instance - Custom cluster roles,"As a cluster administrator, when default admin permissions are too permissive, I want to define custom cluster roles via CONTROLLER_CLUSTER_ROLE and CONTROLLER_SERVER_ROLE environment variables, so I can enforce least-privilege access for Argo CD controllers.",core,Cluster administrator,Secure,user_story,Deploy namespace-scoped Argo CD instances,Understand required Argo CD permissions; Define custom cluster roles,Configure resource inclusions/exclusions,Minimize excessive permissions granted to controllers; Reduce security risk from overly broad roles; Ensure controllers can still function with restricted permissions,"multitenancy-combined.adoc -> Namespace-scoped instance, lines 49-55",Advanced security configuration for fine-grained permission control.
multitenancy-support-in-gitops.adoc,Cluster-scoped instance,"When managing cluster-level resources or supporting Applications in any namespace, I want to deploy a cluster-scoped Argo CD instance, so I can manage resources across the entire cluster.",core,Cluster administrator,Configure,main_job,,Understand security implications of cluster-scoped instances; Identify use cases requiring cluster-level access,Elevate namespace-scoped instances; Configure ARGOCD_CLUSTER_CONFIG_NAMESPACES,Minimize risk of unauthorized cluster-wide access; Reduce fragmentation of cluster configuration management; Ensure appropriate permissions for cluster-level operations,"multitenancy-combined.adoc -> Cluster-scoped instance, lines 57-73",For cluster configuration use cases. Critical security considerations for elevation.
multitenancy-support-in-gitops.adoc,Cluster-scoped instance - Elevating instances,"As a cluster administrator, when I need to grant cluster-level permissions to an Argo CD instance, I want to use the ARGOCD_CLUSTER_CONFIG_NAMESPACES environment variable in the Subscription resource, so I can prevent non-admins from self-elevating their instances.",core,Cluster administrator,Secure,user_story,Deploy a cluster-scoped Argo CD instance,Verify instance is not self-managed by tenants; Modify GitOps Operator Subscription resource,Create additional cluster roles for extended permissions,Minimize risk of privilege escalation; Reduce likelihood of unauthorized cluster access; Ensure only authorized instances have cluster-admin capabilities,"multitenancy-combined.adoc -> Cluster-scoped instance, lines 65-73",Security control preventing tenant self-elevation to cluster-admin.
multitenancy-support-in-gitops.adoc,Default cluster-scoped instance,"When managing cluster configuration resources, I want to use the default openshift-gitops instance, so I can maintain a centralized control plane for cluster-level operations.",core,Cluster administrator,Administer,main_job,,Install OpenShift GitOps Operator,Create separate instances for tenant application delivery,Minimize complexity by centralizing cluster configuration; Reduce risk by separating cluster management from application delivery; Ensure default instance is not misused for tenant workloads,"multitenancy-combined.adoc -> Default cluster-scoped instance, lines 75-84",Default instance is purpose-built for cluster config only. Explicitly NOT for application delivery.
multitenancy-support-in-gitops.adoc,Argo CD role-based access control (RBAC),"When designing multitenancy solutions, I want to understand the two-level RBAC model (Kubernetes and Argo CD), so I can mitigate privilege escalation risks.",core,Cluster administrator,Secure,main_job,,Understand Kubernetes RBAC; Understand Argo CD permission model,Configure Argo CD projects with restrictions; Use separate Argo CD instances for isolation,Minimize risk of tenants escalating privileges; Reduce likelihood of unauthorized resource access; Ensure proper separation between Kubernetes and Argo CD permissions,"multitenancy-combined.adoc -> Argo CD RBAC, lines 89-101",Critical security concept for multitenancy. Two distinct permission layers must be understood.
multitenancy-support-in-gitops.adoc,Argo CD projects,"When managing multiple tenants with an Argo CD instance, I want to define AppProject custom resources with granular RBAC and restrictions, so I can control what resources tenants can deploy and where.",core,Cluster administrator,Administer,main_job,,Understand Argo CD projects concept; Identify tenant resource and namespace requirements,Configure global RBAC in Argo CD CR; Use global projects for common configuration,Minimize RBAC configuration duplication; Reduce risk of tenants deploying to unauthorized namespaces; Ensure project-level restrictions are enforced,"multitenancy-combined.adoc -> Argo CD projects, lines 103-117",Best practice: define AppProject CRs rather than global RBAC. Never use default project.
multitenancy-support-in-gitops.adoc,Argo CD projects - Global projects,"As a cluster administrator, when managing many tenants with common configuration needs, I want to define global projects for shared configuration, so I can reduce duplication and maintenance overhead.",related,Cluster administrator,Administer,user_story,Define AppProject custom resources for tenant management,Identify common tenant project configurations; Define global projects,Inherit global projects in tenant projects,Minimize configuration duplication across tenants; Reduce maintenance burden for common settings; Ensure consistent policy enforcement,"multitenancy-combined.adoc -> Argo CD projects, lines 113-117",Optimization for large tenant counts with shared configuration patterns.
multitenancy-support-in-gitops.adoc,Enable tenant namespace management with NamespaceManagement CR,"When enabling tenant self-service for namespace management, I want to use the NamespaceManagement CR feature, so I can allow tenants to delegate control without requiring cluster-admin intervention.",core,Cluster administrator,Configure,main_job,,Enable ALLOW_NAMESPACE_MANAGEMENT_IN_NAMESPACE_SCOPED_INSTANCES in Subscription; Configure Argo CD CR with namespace management patterns,Configure glob patterns for namespace matching; Monitor NamespaceManagement CR lifecycle,Minimize cluster-admin toil for namespace delegation; Reduce delay in tenant namespace provisioning; Ensure secure and automated RBAC provisioning,"multitenancy-combined.adoc -> Enable tenant namespace management, lines 119-133",Self-service feature disabled by default for security. Requires explicit cluster-admin enablement.
multitenancy-support-in-gitops.adoc,NamespaceManagement CR Overview,"As a cluster administrator, when configuring namespace management, I want to use glob patterns to match multiple namespaces, so I can enable tenants to self-delegate without individual approvals.",related,Cluster administrator,Configure,user_story,Enable tenant self-service for namespace management,Enable namespace management feature in Subscription; Define namespace naming conventions,Monitor automatic RBAC provisioning; Update cluster secrets,Minimize manual namespace approval overhead; Reduce time to provision tenant namespaces; Ensure consistent RBAC provisioning across namespaces,"multitenancy-combined.adoc -> NamespaceManagement CR Overview, lines 135-143","Pattern-based approach enables scalable tenant self-service. Example patterns: /*, tenant-/*."
multitenancy-support-in-gitops.adoc,Effects of NamespaceManagement CR,"As a cluster administrator, when understanding NamespaceManagement CR lifecycle, I want to know the operator's automated responses to creation/update/deletion, so I can predict RBAC provisioning behavior.",related,Cluster administrator,Administer,user_story,Enable tenant self-service for namespace management,Enable namespace management feature,Monitor Role and RoleBinding creation; Verify cluster secret updates,Minimize unexpected RBAC state; Reduce troubleshooting time for permission issues; Ensure predictable cleanup on CR deletion,"multitenancy-combined.adoc -> Effects of NamespaceManagement CR, lines 145-153",Lifecycle awareness critical for troubleshooting. Automatic cleanup on Subscription-level disable.
multitenancy-support-in-gitops.adoc,Configuring namespace management for Argo CD tenants,"As a tenant user, when I need my Argo CD instance to manage my namespaces, I want to create a NamespaceManagement CR in my namespace, so I can delegate control without waiting for cluster-admin approval.",core,Application delivery team,Configure,user_story,Enable tenant self-service for namespace management,Cluster administrator has enabled namespace management; Cluster administrator has configured namespace patterns in Argo CD CR; Have permissions to create NamespaceManagement CR in namespace,Verify Role and RoleBinding creation; Deploy applications to managed namespaces,Minimize delay in namespace delegation; Reduce dependency on cluster-admin for namespace setup; Ensure automatic RBAC provisioning completes successfully,"multitenancy-combined.adoc -> Configuring namespace management, lines 155-209","Tenant perspective on self-service namespace management. Requires three-step procedure: enable feature, configure Argo CD CR, create NamespaceManagement CR."
