job_name,job_statement,parent_job,job_coverage,module_file,source_assembly,module_status,module_note,job_notes
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/ephemeral-storage-csi-inline-overview.adoc,storage/container_storage_interface/ephemeral-storage-csi-inline.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/ephemeral-storage-csi-inline-overview-admin-plugin.adoc,storage/container_storage_interface/ephemeral-storage-csi-inline.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/ephemeral-storage-csi-inline-pod.adoc,storage/container_storage_interface/ephemeral-storage-csi-inline.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-vols-overview.adoc,storage/generic-ephemeral-vols.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-vols-lifecycle.adoc,storage/generic-ephemeral-vols.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-vols-security.adoc,storage/generic-ephemeral-vols.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-vols-pvc-naming.adoc,storage/generic-ephemeral-vols.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-vols-procedure.adoc,storage/generic-ephemeral-vols.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-storage-overview.adoc,storage/understanding-ephemeral-storage.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-storage-types.adoc,storage/understanding-ephemeral-storage.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-storage-manage-overview.adoc,storage/understanding-ephemeral-storage.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-storage-manage-requests-and-limits.adoc,storage/understanding-ephemeral-storage.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-storage-manage-config-and-eviction.adoc,storage/understanding-ephemeral-storage.adoc,existing,ephemeral,7 sub-jobs
Manage ephermeral storage,"When I need to work with temporary storage in OpenShift, I want to understand how ephemeral storage works, so that I can make informed decisions about when to use it for my workloads.",,full,modules/storage-ephemeral-storage-monitoring.adoc,storage/understanding-ephemeral-storage.adoc,existing,ephemeral,7 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-overview.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-about.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-efs-csi-driver-operator-setup.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-sts.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/sd-persistent-storage-csi-efs-sts.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-olm-operator-install.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-driver-install.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/storage-create-storage-class.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/storage-create-storage-class-console.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/storage-create-storage-class-cli.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-cross-account.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-one-zone-intro.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-one-zone-overview.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-one-zone-procedure.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-dynamic-provisioning-aws-efs.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-static-pv.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-security.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-metrics-overview.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-metrics-procedure-gui.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-metrics-procedure-cli.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-efs-troubleshooting.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
Understand persistent storage,"When I'm working with persistent storage, I want to understand the PV/PVC lifecycle, so that I can properly manage storage provisioning and cleanup.",,full,modules/persistent-storage-csi-olm-operator-uninstall.adoc,storage/container_storage_interface/persistent-storage-csi-aws-efs.adoc,existing,persistent,1 sub-jobs
