doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
accesscontrol_usermanagement-combined.adoc,Configuring Argo CD RBAC,"When managing access to Argo CD, I want to configure role-based access control policies, so I can ensure users have appropriate permissions for their responsibilities.",core,Cluster administrator,Secure,main_job,,Install OpenShift GitOps Operator; Have cluster-admin access,Configure SSO; Manage local users,Minimize time to grant appropriate access; Reduce likelihood of unauthorized access; Ensure compliance with security policies,accesscontrol_usermanagement-combined.adoc -> Lines 122-185: Configuring Argo CD RBAC section,Default instance has no access except kube:admin. Custom instances have read-only by default.
accesscontrol_usermanagement-combined.adoc,Configuring user level access,"As a cluster administrator, when I need to grant specific permissions to users, I want to edit the RBAC policy in the Argo CD CR, so I can assign appropriate roles without granting cluster-admin access.",core,Cluster administrator,Secure,user_story,Configure role-based access control policies,Have argocd instance deployed,Configure SSO for Argo CD,Complete RBAC configuration in under 5 minutes; Avoid granting excessive permissions; Ensure user access aligns with organizational roles,accesscontrol_usermanagement-combined.adoc -> Lines 142-185: Configuring user level access procedure,"Red Hat SSO cannot read group information, so RBAC must be configured at user level"
accesscontrol_usermanagement-combined.adoc,Configuring SSO for Argo CD using Dex,"When managing multiple users, I want to configure single sign-on for Argo CD, so I can centralize authentication and reduce password management overhead.",core,Cluster administrator,Secure,main_job,,Install OpenShift GitOps Operator; Have cluster-admin access,Configure RBAC; Manage local users,Minimize authentication complexity for users; Reduce time spent managing credentials; Ensure consistent identity across OpenShift and Argo CD,accesscontrol_usermanagement-combined.adoc -> Lines 188-409: Configuring SSO for Argo CD using Dex,Dex is installed by default. Can use OpenShift OAuth or external OIDC providers.
accesscontrol_usermanagement-combined.adoc,Configuration to enable the Dex OpenShift OAuth Connector,"As a cluster administrator, when I want to leverage OpenShift users and groups for Argo CD authentication, I want to enable Dex with OpenShift OAuth, so I can avoid maintaining separate user directories.",core,Cluster administrator,Secure,user_story,Configure single sign-on for Argo CD,Have OpenShift OAuth server configured,Map users to specific roles,Complete SSO configuration in under 10 minutes; Ensure users can authenticate with existing OpenShift credentials; Avoid maintaining duplicate user databases,accesscontrol_usermanagement-combined.adoc -> Lines 329-365: Configuration to enable the Dex OpenShift OAuth Connector procedure,Cannot use spec.sso and spec.oidcConfig simultaneously
accesscontrol_usermanagement-combined.adoc,Mapping users to specific roles,"As a cluster administrator, when users have ClusterRoleBinding roles, I want to map them to Argo CD roles through OpenShift groups, so I can grant admin access to authorized users.",core,Cluster administrator,Secure,user_story,Configure single sign-on for Argo CD,Have Dex SSO enabled,Configure RBAC policies,Ensure cluster-admin users have admin access to Argo CD; Minimize manual role assignment overhead; Maintain role consistency across OpenShift and Argo CD,accesscontrol_usermanagement-combined.adoc -> Lines 373-400: Mapping users to specific roles procedure,Workaround for users with direct ClusterRoleBinding - create groups and add users
accesscontrol_usermanagement-combined.adoc,Configuring SSO for Argo CD using external OIDC providers,"As a cluster administrator, when I need to integrate with an external identity provider, I want to configure direct OIDC integration for Argo CD, so I can authenticate users without using Dex as an intermediary.",core,Cluster administrator,Secure,user_story,Configure single sign-on for Argo CD,Have OIDC provider configured; Obtain client ID and secret from provider,Verify OIDC login,Successfully integrate with enterprise identity providers; Minimize authentication latency by avoiding intermediaries; Ensure proper scope and claim mapping,accesscontrol_usermanagement-combined.adoc -> Lines 533-665: Configuring SSO for Argo CD using external OIDC providers,"Provider-agnostic, works with any OIDC-compliant provider. Cannot use with spec.sso simultaneously."
accesscontrol_usermanagement-combined.adoc,Verifying OIDC login for Argo CD,"As a cluster administrator, after configuring OIDC integration, I want to verify that authentication is working correctly, so I can ensure users can access Argo CD with their identity provider credentials.",core,Cluster administrator,Confirm,user_story,Configure single sign-on for Argo CD,Configure direct OIDC integration,,Confirm authentication flow works end-to-end; Verify role-based permissions are applied correctly; Identify and resolve authentication issues quickly,accesscontrol_usermanagement-combined.adoc -> Lines 673-688: Verifying OIDC login procedure,Tests the complete authentication flow including provider redirect
accesscontrol_usermanagement-combined.adoc,Managing local users in Argo CD,"When I need API tokens for automation or have small teams without SSO, I want to manage local user accounts in Argo CD, so I can provide programmatic access without configuring external identity providers.",core,Cluster administrator,Secure,main_job,,Install OpenShift GitOps Operator,Configure RBAC; Configure SSO,Minimize complexity for automation scenarios; Reduce overhead of maintaining external identity providers; Ensure API tokens are securely managed and automatically renewed,accesscontrol_usermanagement-combined.adoc -> Lines 698-1262: Managing local users in Argo CD,"Operator manages user accounts, JWT tokens, lifetimes, renewal, and cleanup"
accesscontrol_usermanagement-combined.adoc,Creating local users in Argo CD,"As a cluster administrator, when I need to provide API access for service accounts or automation scripts, I want to create local users in Argo CD, so I can generate API tokens without configuring SSO.",core,Cluster administrator,Secure,user_story,Manage local user accounts in Argo CD,Have Argo CD instance deployed,Configure token lifecycle; Retrieve tokens,Complete local user creation in under 5 minutes; Ensure tokens are generated and stored securely; Enable automation without SSO complexity,accesscontrol_usermanagement-combined.adoc -> Lines 1210-1255: Creating local users procedure,Operator reconciles changes and creates secrets/tokens automatically
accesscontrol_usermanagement-combined.adoc,Token lifecycle management,"As a cluster administrator, when managing API tokens for local users, I want to configure automatic renewal and rotation policies, so I can balance security with operational continuity.",core,Cluster administrator,Operate,user_story,Manage local user accounts in Argo CD,Have local users created,Disable API keys; Rotate tokens manually,Ensure automation continues without token expiration interruptions; Minimize manual token rotation overhead; Maintain security through time-limited tokens,accesscontrol_usermanagement-combined.adoc -> Lines 1117-1141: Token lifecycle management section,Supports automatic renewal and manual rotation. Disable apiKey to cleanup secrets.
accesscontrol_usermanagement-combined.adoc,User lifecycle management,"As a cluster administrator, when user access needs change, I want to disable or remove local users without losing their configuration, so I can temporarily revoke access or permanently clean up accounts.",core,Cluster administrator,Operate,user_story,Manage local user accounts in Argo CD,Have local users created,Configure token lifecycle,Revoke access immediately when needed; Preserve configuration for temporary disablement; Clean up all resources when users are permanently removed,accesscontrol_usermanagement-combined.adoc -> Lines 1149-1173: User lifecycle management section,Disabled users retain tokens but cannot authenticate. Removed users trigger complete cleanup.
accesscontrol_usermanagement-combined.adoc,Token storage and access,"As a cluster administrator or automation engineer, when I need to access Argo CD APIs, I want to retrieve local user tokens from Kubernetes secrets, so I can authenticate service accounts and automation scripts.",core,Cluster administrator,Execute,user_story,Manage local user accounts in Argo CD,Have local users with API keys created,,Retrieve tokens quickly from Kubernetes secrets; Ensure tokens are base64-decoded correctly; Successfully authenticate automation scripts and service accounts,accesscontrol_usermanagement-combined.adoc -> Lines 1060-1109: Token storage and access section,Tokens stored in {username}-local-user secrets. Values are base64-encoded.
