alternatives,blockers,complexity,context,criticality,dependencies,desired_outcome,doc_id,evidence,frequency,job_id,job_type,main_job,notes,pain_points,parent_job,persona,related_jobs,section,stage,success_criteria,user_story
Install without planning and troubleshoot resource issues reactively; Use default settings and scale up resources only when problems occur,,medium,Before installing OpenShift GitOps on an OpenShift cluster,high,Access to cluster resource information; Understanding of namespace resource quotas,Ensure adequate cluster resources are allocated to prevent installation failures and pod scheduling issues,installing_gitops,Lines 5-78: Details resource requirements for all GitOps workloads including CPU/memory requests and limits,Once per cluster installation,1,main_job,Plan GitOps installation capacity requirements,Covers default Argo CD instance sizing and Redis-specific capacity planning. Includes modification procedures via ArgoCD CR.,Default Redis memory limits insufficient for large deployments; Installation failures when namespace resource quotas conflict with operator requirements; Difficulty estimating capacity needs without documentation,,Cluster Administrator,2; 3,Preparing to install OpenShift GitOps > Sizing requirements for GitOps,DEFINE,Resource quotas configured correctly; All GitOps workload pods can be scheduled; Redis pod has sufficient memory for large-scale deployments,
Install first and check actual resource usage afterward,,low,Reviewing pre-installation requirements,high,,Know exact CPU and memory requests/limits for all 7 GitOps workload components,installing_gitops,"Lines 11-30: Table showing CPU/memory requests and limits for 7 workloads, plus `oc edit argocd` command",Once per installation,1.1,user_story,Plan GitOps installation capacity requirements,"Provides detailed table with 7 workload components: application-controller, applicationset-controller, server, repo-server, redis, dex-server, redis-ha-haproxy",Need to manually sum resources across all components; Resource requirements table doesn't indicate total footprint,1,Cluster Administrator,1.2,Preparing to install OpenShift GitOps > Sizing requirements for GitOps,DEFINE,Can compare workload requirements against available cluster resources; Understand which components consume most resources; Know how to view and modify resource settings via ArgoCD CR,"When planning GitOps installation, I want to understand default resource allocations for all workload components, so I can verify my cluster has sufficient capacity"
Accept default limits and restart pods when memory issues occur; Pre-configure higher limits in initial ArgoCD CR before installation,,medium,Capacity planning for applications with many resources or scaling up existing deployment,high,jq installed for viewing current config; Knowledge of ArgoCD CR structure,"Redis pod configured with adequate memory (e.g., 8Gi limit, 256Mi request) for large deployments",installing_gitops,"Lines 32-78: Explains default Redis limits may be insufficient, shows how to check current config with jq, and provides oc patch command to set 8Gi limit",Occasionally (when scaling deployment),1.2,user_story,Plan GitOps installation capacity requirements,Includes commands to view current Redis resource config with jq and patch command to set custom limits/requests,Default 256Mi memory limit insufficient for large resource counts; Need to monitor metrics and adjust reactively during scale-up; Must use JSON patch syntax which is error-prone,1,Cluster Administrator,1.1,Preparing to install OpenShift GitOps > Sizing requirements for Argo CD redis,EXECUTE,Successfully patch ArgoCD CR to increase Redis memory; Verify new limits applied to redis pod; Monitor memory metrics during application scale-up,"When managing large-scale GitOps deployments, I want to increase Redis memory limits beyond defaults, so the pod can handle increased resource counts without failures"
Use CLI installation method instead; Use GitOps Operator as part of cluster install via IPI,Must have cluster-admin access; Marketplace capability or manual catalog source configuration required; Cannot have Community Argo CD Operator installed,low,Need to enable GitOps capabilities on an OpenShift cluster using the web console UI,high,Access to OCP web console; Cluster-admin privileges,GitOps Operator successfully installed with default Argo CD instance available in openshift-gitops namespace,installing_gitops,Lines 104-151: Complete web console installation procedure from OperatorHub search through verification,Once per cluster,2,main_job,Install GitOps Operator via web console,Web console method is simpler than CLI but less automatable. Automatically creates ready-to-use Argo CD instance.,Must remove Community Argo CD Operator if already installed (conflicts); Namespace change in v1.10+ from openshift-operators to openshift-gitops-operator may confuse users; Need to understand channel vs version selection,,Cluster Administrator,3; 4,Installing OpenShift GitOps > Installing OpenShift GitOps Operator in web console,EXECUTE,Operator status shows Succeeded in Installed Operators; Default Argo CD instance created in openshift-gitops namespace; Argo CD icon appears in console toolbar; All GitOps pods running successfully,
Use CLI installation to specify channel in subscription YAML; Accept defaults and upgrade manually later if needed,,low,On the Install Operator page in OperatorHub,medium,,"Correct operator version installed via chosen channel (e.g., gitops-1.19 for v1.19.x, or latest for most recent stable)",installing_gitops,"Lines 97-102: Explanation that 'latest' channel installs most recent stable version, and version-specific channels like 'gitops-1.19' available for specific versions",Once per installation,2.1,user_story,Install GitOps Operator via web console,Channel selection affects upgrade behavior. Version-specific channels provide more control but require manual channel changes for upgrades.,'Latest' channel may auto-upgrade to new major versions unexpectedly; Unclear which channel to use for production vs non-production clusters,2,Cluster Administrator,3.1,Installing OpenShift GitOps > Installing OpenShift GitOps Operator in web console,EXECUTE,Understand difference between 'latest' channel and version-specific channels; Selected channel matches organization's version requirements; Installation proceeds without channel/version conflicts,"When installing GitOps Operator from web console, I want to select the appropriate update channel and version, so I can control which operator version is installed"
Enable monitoring after installation via oc label command; Skip monitoring and rely on operator logs only,,low,Configuring installation options in web console,medium,,Cluster monitoring enabled for openshift-gitops-operator namespace via checkbox or label,installing_gitops,Lines 127-143: Instructions to enable cluster monitoring via checkbox or apply openshift.io/cluster-monitoring=true label to any namespace,Once per installation,2.2,user_story,Install GitOps Operator via web console,Same monitoring enablement approach works for web console (checkbox) and CLI (label) installations,Monitoring not enabled by default; Can forget to enable during installation and have to apply label afterward,2,Cluster Administrator,3.2,Installing OpenShift GitOps > Installing OpenShift GitOps Operator in web console,EXECUTE,Cluster monitoring checkbox selected during installation; Can verify namespace has openshift.io/cluster-monitoring=true label; Operator metrics available in cluster monitoring,"When installing GitOps Operator, I want to enable cluster monitoring for the operator namespace, so I can track operator performance and health"
Use web console installation method; Use GitOps to install GitOps (bootstrap problem),Must have cluster-admin access; oc CLI must be installed; Marketplace capability or catalog source required,medium,Need to install GitOps Operator using command-line tools for automation or when web console unavailable,high,oc CLI installed and configured; Cluster-admin login credentials,"GitOps Operator installed via CLI with namespace, OperatorGroup, and Subscription configured correctly",installing_gitops,"Lines 153-296: Complete CLI installation procedure including namespace creation, OperatorGroup, Subscription, and verification steps",Once per cluster,3,main_job,Install GitOps Operator via CLI,CLI method enables automation and is repeatable. Includes detailed verification steps for both namespaces.,"Requires creating and applying multiple YAML files (OperatorGroup, Subscription); Namespace default changed in v1.10+ which may break existing automation; Must understand Subscription YAML structure and field meanings",,Cluster Administrator,2; 4,Installing OpenShift GitOps > Installing OpenShift GitOps Operator using CLI,EXECUTE,openshift-gitops-operator namespace created; OperatorGroup created successfully; Subscription created and operator installation succeeds; All pods running in openshift-gitops and openshift-gitops-operator namespaces,
Copy example YAML without understanding fields; Use web console to avoid YAML creation,,medium,Creating openshift-gitops-sub.yaml file for operator subscription,medium,Understanding of Kubernetes/OCP Subscription resources,"Valid Subscription YAML with correct channel, source, and namespace configuration",installing_gitops,"Lines 225-248: Example Subscription YAML with field-by-field explanation of metadata.name, metadata.namespace, spec.channel, spec.source, sourceNamespace",Once per installation,3.1,user_story,Install GitOps Operator via CLI,Subscription controls operator updates via channel and installPlanApproval fields,"Field descriptions have typos (e.g., 'specify the specify'); Unclear what happens if wrong channel or source specified; Must know to use 'redhat-operators' source and 'openshift-marketplace' namespace",3,Cluster Administrator,2.1,Installing OpenShift GitOps > Installing OpenShift GitOps Operator using CLI,EXECUTE,"Understand role of metadata.name, metadata.namespace, spec.channel, spec.source fields; Can modify channel to install specific version; Subscription applies successfully without errors","When creating Subscription for GitOps Operator, I want to understand the YAML structure and field meanings, so I can customize the installation appropriately"
Enable monitoring after installation; Skip monitoring and rely on logs only,,low,After creating openshift-gitops-operator namespace,medium,,Cluster monitoring enabled via openshift.io/cluster-monitoring=true label,installing_gitops,Lines 182-196: Instructions to apply openshift.io/cluster-monitoring=true label to enable cluster monitoring on namespace,Once per installation,3.2,user_story,Install GitOps Operator via CLI,"Same label approach works for any namespace, not just operator namespace",Must remember to apply label separately after namespace creation; Monitoring not enabled by default,3,Cluster Administrator,2.2,Installing OpenShift GitOps > Installing OpenShift GitOps Operator using CLI,EXECUTE,Label applied successfully to namespace; Can verify monitoring metrics available for operator,"When installing GitOps Operator via CLI, I want to enable cluster monitoring for the operator namespace, so I can track operator performance"
Only check operator namespace and assume gitops namespace is fine; Use web console to view pod status visually,,low,After applying Subscription and waiting for operator installation,high,oc CLI access to cluster,All GitOps pods running in both openshift-gitops and openshift-gitops-operator namespaces,installing_gitops,Lines 263-296: Two verification commands (oc get pods in both namespaces) with example output showing expected pod names and statuses,Once per installation (and after upgrades),3.3,user_story,Install GitOps Operator via CLI,Example output shows specific pod counts and naming patterns to expect,Must check two separate namespaces; Pod names include generated suffixes which change between installations; Need to understand which pods should be in which namespace,3,Cluster Administrator,4,Installing OpenShift GitOps > Installing OpenShift GitOps Operator using CLI,VERIFY,"8 pods running in openshift-gitops namespace (cluster, gitops-plugin, application-controller, applicationset-controller, dex-server, redis, repo-server, server); 2 pods running in openshift-gitops-operator namespace (controller-manager); All pod statuses show Running with appropriate READY counts","When GitOps Operator installation completes, I want to verify all expected pods are running, so I can confirm successful installation"
