job_name,job_statement,parent_job,job_coverage,module_file,source_assembly,module_status,module_note,job_notes
Create container images for OpenShift > 4.1. General container image guidelines,Create container images for OpenShift > 4.1. General container image guidelines,Create container images for OpenShift,full,modules/images-create-guidelines.adoc,openshift_images/create-images.adoc,partial,Parent section 'Learn container best practices'; frames the guidelines but the general guidance itself is in images-create-guide-general.,"COVERED ELSEWHERE: this job is already served by maps/ocp-jobs/create-container-images-for-openshift.adoc, wired into maps/ocp/develop.adoc; intentionally not wired into maps/ocp/get-started.adoc. A job map hardcodes its own :context:, so including it from two category maps emits duplicate module IDs. Multi-category reuse is a CCMS concern post-migration. "
Create container images for OpenShift > 4.1. General container image guidelines,Create container images for OpenShift > 4.1. General container image guidelines,Create container images for OpenShift,full,modules/images-create-guide-general.adoc,openshift_images/create-images.adoc,full,Heading 'General container image guidelines' matches the job step directly.,"COVERED ELSEWHERE: this job is already served by maps/ocp-jobs/create-container-images-for-openshift.adoc, wired into maps/ocp/develop.adoc; intentionally not wired into maps/ocp/get-started.adoc. A job map hardcodes its own :context:, so including it from two category maps emits duplicate module IDs. Multi-category reuse is a CCMS concern post-migration. "
Create container images for OpenShift > 4.2. OpenShift-specific authoring guidelines,Create container images for OpenShift > 4.2. OpenShift-specific authoring guidelines,Create container images for OpenShift,full,modules/images-create-guide-openshift.adoc,openshift_images/create-images.adoc,full,Heading '{product-title}-specific guidelines' matches the job step directly.,"COVERED ELSEWHERE: this job is already served by maps/ocp-jobs/create-container-images-for-openshift.adoc, wired into maps/ocp/develop.adoc; intentionally not wired into maps/ocp/get-started.adoc. A job map hardcodes its own :context:, so including it from two category maps emits duplicate module IDs. Multi-category reuse is a CCMS concern post-migration. "
Create container images for OpenShift > 4.3. Define image metadata labels,Create container images for OpenShift > 4.3. Define image metadata labels,Create container images for OpenShift,full,modules/images-create-metadata.adoc,openshift_images/create-images.adoc,full,Heading 'Include metadata in images'; covers the image metadata labels the job step asks for.,"COVERED ELSEWHERE: this job is already served by maps/ocp-jobs/create-container-images-for-openshift.adoc, wired into maps/ocp/develop.adoc; intentionally not wired into maps/ocp/get-started.adoc. A job map hardcodes its own :context:, so including it from two category maps emits duplicate module IDs. Multi-category reuse is a CCMS concern post-migration. "
Build S2I builder images > 5.1. Understand the S2I build process,Build S2I builder images > 5.1. Understand the S2I build process,Build S2I builder images,full,modules/images-create-s2i.adoc,openshift_images/create-images.adoc,partial,Parent concept 'Create images from source code with source-to-image'; sets context for the S2I jobs.,"COVERED ELSEWHERE: this job is already served by maps/ocp-jobs/build-s2i-builder-images.adoc, wired into maps/ocp/develop.adoc; intentionally not wired into maps/ocp/get-started.adoc. A job map hardcodes its own :context:, so including it from two category maps emits duplicate module IDs. Multi-category reuse is a CCMS concern post-migration. "
Build S2I builder images > 5.1. Understand the S2I build process,Build S2I builder images > 5.1. Understand the S2I build process,Build S2I builder images,full,modules/images-create-s2i-build.adoc,openshift_images/create-images.adoc,full,Heading 'Understand the source-to-image build process' matches the job step directly.,"COVERED ELSEWHERE: this job is already served by maps/ocp-jobs/build-s2i-builder-images.adoc, wired into maps/ocp/develop.adoc; intentionally not wired into maps/ocp/get-started.adoc. A job map hardcodes its own :context:, so including it from two category maps emits duplicate module IDs. Multi-category reuse is a CCMS concern post-migration. "
Build S2I builder images > 5.2. Write assemble and run scripts,Build S2I builder images > 5.2. Write assemble and run scripts,Build S2I builder images,full,modules/images-create-s2i-scripts.adoc,openshift_images/create-images.adoc,full,"Heading 'How to write source-to-image scripts'; covers assemble, run, save-artifacts and usage.","COVERED ELSEWHERE: this job is already served by maps/ocp-jobs/build-s2i-builder-images.adoc, wired into maps/ocp/develop.adoc; intentionally not wired into maps/ocp/get-started.adoc. A job map hardcodes its own :context:, so including it from two category maps emits duplicate module IDs. Multi-category reuse is a CCMS concern post-migration. "
Build S2I builder images > 5.3. Test builder images,Build S2I builder images > 5.3. Test builder images,Build S2I builder images,full,modules/images-test-s2i.adoc,openshift_images/create-images.adoc,full,Heading 'About testing source-to-image images'; covers testing requirements and the s2i create test tooling.,"COVERED ELSEWHERE: this job is already served by maps/ocp-jobs/build-s2i-builder-images.adoc, wired into maps/ocp/develop.adoc; intentionally not wired into maps/ocp/get-started.adoc. A job map hardcodes its own :context:, so including it from two category maps emits duplicate module IDs. Multi-category reuse is a CCMS concern post-migration. "
Access the web console,"When managing an OpenShift cluster, I want to access a graphical web interface, so I can visualize project data and perform administrative tasks without CLI expertise.",,full,modules/web-console-overview.adoc,web_console/web-console.adoc,full,'Understanding and accessing the web console'; the primary module for this job.,"MERGED: ""Access the web console"" and ""Access the web console URL"" are covered by the single module modules/web-console-overview.adoc and were created as one job map, maps/ocp-jobs/access-the-web-console.adoc. "
Access the web console,"When managing an OpenShift cluster, I want to access a graphical web interface, so I can visualize project data and perform administrative tasks without CLI expertise.",,full,modules/about-administrator_web-console.adoc,web_console/web-console-overview.adoc,partial,"Describes the Administrator perspective, not console access itself.","MERGED: ""Access the web console"" and ""Access the web console URL"" are covered by the single module modules/web-console-overview.adoc and were created as one job map, maps/ocp-jobs/access-the-web-console.adoc. "
