approach,doc,evidence,job,job_type,notes,parent_job,persona,section,stage,user_story,why
Enable ApplicationSet resources in non-control plane namespaces by configuring the ArgoCD CR,argocd_application_sets,Lines 124-228: Managing the application set resources in non-control plane namespaces,Manage ApplicationSets across multiple namespaces,main_job,Technology Preview feature. Source: modules/gitops-enabling-the-application-set-resources-in-non-control-plane-namespaces.adoc (PROCEDURE),,Cluster Administrator,Managing the application set resources in non-control plane namespaces,EXECUTE,,To support multitenancy and allow teams to manage their own ApplicationSet deployments in isolated namespaces
Set the sourceNamespaces parameter in the applicationSet spec of the ArgoCD CR,argocd_application_sets,Lines 176-228: Enabling the application set resources in non-control plane namespaces,Manage ApplicationSets across multiple namespaces,user_story,Requires setting spec.applicationSet.sourceNamespaces. Creates RBAC resources automatically. Source: modules/gitops-enabling-the-application-set-resources-in-non-control-plane-namespaces.adoc (PROCEDURE),Manage ApplicationSets across multiple namespaces,Cluster Administrator,Enabling the application set resources in non-control plane namespaces,CONFIGURE,Enable ApplicationSet resources in specific namespaces,To explicitly define which non-control plane namespaces can create and manage ApplicationSet resources
"Use explicit names, glob patterns, or regex patterns in sourceNamespaces field",argocd_application_sets,Lines 239-253: About configuring ApplicationSet namespaces using names and patterns,Manage ApplicationSets across multiple namespaces,user_story,"Supports explicit names, glob-style wildcards, and regex patterns. Evaluated at reconcile time. Source: modules/gitops-configure-application-set-namespaces-using-names-and-patterns.adoc (CONCEPT)",Manage ApplicationSets across multiple namespaces,Cluster Administrator,About configuring ApplicationSet namespaces using names and patterns,CONFIGURE,Control ApplicationSet permissions using namespace patterns,To grant permissions across multiple namespaces efficiently without listing each one individually
Add the namespace name directly to spec.applicationSet.sourceNamespaces,argocd_application_sets,Lines 264-288: Enable ApplicationSet in a specific namespace,Manage ApplicationSets across multiple namespaces,user_story,Simplest approach for single namespace. Source: modules/gitops-enable-application-set-in-a-specific-namespace.adoc (PROCEDURE),Manage ApplicationSets across multiple namespaces,Cluster Administrator,Enable ApplicationSet in a specific namespace,CONFIGURE,Enable ApplicationSet in a specific namespace by name,"To grant ApplicationSet permissions to a single, well-known namespace"
Use glob-style wildcard patterns like team-* in sourceNamespaces,argocd_application_sets,Lines 299-323: Define glob-style in wildcard patterns,Manage ApplicationSets across multiple namespaces,user_story,"Example: team-* matches team-1, team-2. Source: modules/gitops-define-glob-style-in-wildcard-patterns.adoc (PROCEDURE)",Manage ApplicationSets across multiple namespaces,Cluster Administrator,Define glob-style in wildcard patterns,CONFIGURE,Grant ApplicationSet permissions using glob wildcards,To grant permissions across multiple namespaces that share a common naming convention
Use regex patterns wrapped in forward slashes in sourceNamespaces field,argocd_application_sets,Lines 334-374: Define regular expressions in patterns,Manage ApplicationSets across multiple namespaces,user_story,Patterns must be wrapped in /pattern/ format. Requires Apps in Any Namespace to be enabled. Source: modules/gitops-define-regular-expressions-in-patterns.adoc (PROCEDURE),Manage ApplicationSets across multiple namespaces,Cluster Administrator,Define regular expressions in patterns,CONFIGURE,Control ApplicationSet access using regular expressions,To precisely control which namespaces receive permissions using complex matching rules
Define allowed SCM Provider URLs in spec.applicationSet.scmProviders,argocd_application_sets,Lines 385-427: Allowing Source Code Manager Providers,Manage ApplicationSets across multiple namespaces,user_story,SCM Provider and PR generators disabled by default for security. Must explicitly allow URLs. Source: modules/gitops-allowing-scm-providers.adoc (PROCEDURE),Manage ApplicationSets across multiple namespaces,Cluster Administrator,Allowing Source Code Manager Providers,CONFIGURE,Secure SCM Provider access for ApplicationSets,To prevent secret exfiltration through malicious API endpoints while enabling SCM Provider and PR generators
Enable and configure Progressive Sync with ApplicationSet strategies,argocd_application_sets,Lines 443-623: Using Progressive Sync in OpenShift GitOps,Control progressive application rollouts,main_job,Technology Preview feature. Manages synchronization across multiple clusters. Source: using-progressive-sync-in-openshift-gitops.adoc (ASSEMBLY),,Platform Engineer,Using Progressive Sync in OpenShift GitOps,EXECUTE,,"To orchestrate safe, staged rollouts of changes across multiple clusters with visibility into health and progress"
Add extraCommandArgs or set env variable in Argo CD CR to enable Progressive Sync,argocd_application_sets,Lines 642-744: Enabling Progressive Sync,Control progressive application rollouts,user_story,"Two methods: extraCommandArgs with --enable-progressive-syncs, or env variable ARGOCD_APPLICATIONSET_CONTROLLER_ENABLE_PROGRESSIVE_SYNCS. Source: modules/gitops-enabling-progressive-sync.adoc (CONCEPT)",Control progressive application rollouts,Cluster Administrator,Enabling Progressive Sync,CONFIGURE,Enable Progressive Sync feature in GitOps,To activate Progressive Sync functionality for ApplicationSet controllers
Add --enable-progressive-syncs to spec.applicationSet.extraCommandArgs in ArgoCD CR,argocd_application_sets,Lines 660-696: Adding the extraCommandArgs argument to the Argo CD CR,Control progressive application rollouts,user_story,Operator automatically reconciles and updates ApplicationSet controller deployment. Source: modules/gitops-adding-extraCommandArgs-to-argo-cd.adoc (PROCEDURE),Control progressive application rollouts,Cluster Administrator,Adding the extraCommandArgs argument to the Argo CD CR,CONFIGURE,Enable Progressive Sync using command arguments,To enable Progressive Sync using the command argument method
