job_name,job_statement,parent_job,job_coverage,module_file,source_assembly,module_status,module_note,job_notes
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/node-tuning-operator.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,ifeval-dispatch; ifeval branches are cluster-capabilities / node-tuning-operator / operator-reference - source assembly context 'node-tuning-operator' matches a branch,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/accessing-an-example-cluster-node-tuning-operator-specification.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/cluster-node-tuning-operator-default-profiles-set.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/cluster-node-tuning-operator-verify-profiles.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/custom-tuning-specification.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,core reference for authoring a Tuned profile and its node/pod match rules,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/custom-tuning-example.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/defer-applicaton-tuning-example.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,deferred application of tuning changes,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/defer-application-tuning-proc.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/node-tuning-operator-supported-tuned-daemon-plug-ins.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/node-tuning-hosted-cluster.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,hosted control planes variant,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/advanced-node-tuning-hosted-cluster.adoc,scalability_and_performance/using-node-tuning-operator.adoc,full,hosted control planes variant,
Tune Node Performance with Tuning Profiles,"When optimizing node performance, I want to apply tuning profiles to specific nodes, so I can improve performance for targeted workloads.",,full,modules/post-install-using-node-tuning-operator.adoc,post_installation_configuration/node-tasks.adoc,partial,day-2 pointer only; the substantive content is the NTO modules reused from the scalability assembly,
Configure CPU Isolation for Latency-Sensitive Workloads,"When running CPU-intensive workloads, I want to enable dedicated CPU allocation, so I can ensure predictable performance for latency-sensitive applications.",,full,modules/setting-up-cpu-manager.adoc,scalability_and_performance/using-cpu-manager.adoc,full,static CPU Manager policy = exclusive CPU allocation for Guaranteed pods,
