job_name,job_statement,parent_job,job_coverage,module_file,source_assembly,module_status,module_note,job_notes
Review KMM releases and updates,"When I need to know about new features, bug fixes, and known issues in KMM versions, I want to review release notes, so I can plan upgrades and understand changes in KMM Operator.",,partial,modules/kmm-rn-2-6.adoc,hardware_enablement/kmm-release-notes.adoc,full,"reference: new features, bug fixes, known issues and a deprecation -- the most complete of the set","Partial. The release notes themselves are complete and well modularized -- seven REFERENCE modules, one per KMM version, all in hardware_enablement/kmm-release-notes.adoc. Two things the job statement asks for are missing. First, the three content types are uneven across versions: 2.2 and 2.3 carry new features only, with no bug fixes and no known issues sections; 2.4.1 and 2.5.1 carry known issues but no bug fixes. Only 2.4, 2.5 and 2.6 come close to the full set. Second, the ""so I can plan upgrades"" half of the job has no supporting content: there is no KMM Operator to {product-title} version compatibility matrix module, and no procedure for upgrading the KMM Operator itself. modules/kmm-installing-older-versions.adoc is the closest thing to version-selection guidance, and modules/kmm-customizing-upgrades-for-kernel-modules.adoc covers upgrading the kernel modules KMM manages during a cluster upgrade, not upgrading the Operator."
Review KMM releases and updates,"When I need to know about new features, bug fixes, and known issues in KMM versions, I want to review release notes, so I can plan upgrades and understand changes in KMM Operator.",,partial,modules/kmm-rn-2-5-1.adoc,hardware_enablement/kmm-release-notes.adoc,full,"reference: z-stream release notes; known issues, no bug fixes section","Partial. The release notes themselves are complete and well modularized -- seven REFERENCE modules, one per KMM version, all in hardware_enablement/kmm-release-notes.adoc. Two things the job statement asks for are missing. First, the three content types are uneven across versions: 2.2 and 2.3 carry new features only, with no bug fixes and no known issues sections; 2.4.1 and 2.5.1 carry known issues but no bug fixes. Only 2.4, 2.5 and 2.6 come close to the full set. Second, the ""so I can plan upgrades"" half of the job has no supporting content: there is no KMM Operator to {product-title} version compatibility matrix module, and no procedure for upgrading the KMM Operator itself. modules/kmm-installing-older-versions.adoc is the closest thing to version-selection guidance, and modules/kmm-customizing-upgrades-for-kernel-modules.adoc covers upgrading the kernel modules KMM manages during a cluster upgrade, not upgrading the Operator."
Review KMM releases and updates,"When I need to know about new features, bug fixes, and known issues in KMM versions, I want to review release notes, so I can plan upgrades and understand changes in KMM Operator.",,partial,modules/kmm-rn-2-5.adoc,hardware_enablement/kmm-release-notes.adoc,full,reference: new features and bug fixes; no known issues section,"Partial. The release notes themselves are complete and well modularized -- seven REFERENCE modules, one per KMM version, all in hardware_enablement/kmm-release-notes.adoc. Two things the job statement asks for are missing. First, the three content types are uneven across versions: 2.2 and 2.3 carry new features only, with no bug fixes and no known issues sections; 2.4.1 and 2.5.1 carry known issues but no bug fixes. Only 2.4, 2.5 and 2.6 come close to the full set. Second, the ""so I can plan upgrades"" half of the job has no supporting content: there is no KMM Operator to {product-title} version compatibility matrix module, and no procedure for upgrading the KMM Operator itself. modules/kmm-installing-older-versions.adoc is the closest thing to version-selection guidance, and modules/kmm-customizing-upgrades-for-kernel-modules.adoc covers upgrading the kernel modules KMM manages during a cluster upgrade, not upgrading the Operator."
Review KMM releases and updates,"When I need to know about new features, bug fixes, and known issues in KMM versions, I want to review release notes, so I can plan upgrades and understand changes in KMM Operator.",,partial,modules/kmm-rn-2-4-1.adoc,hardware_enablement/kmm-release-notes.adoc,full,"reference: z-stream release notes; known issues, no bug fixes section","Partial. The release notes themselves are complete and well modularized -- seven REFERENCE modules, one per KMM version, all in hardware_enablement/kmm-release-notes.adoc. Two things the job statement asks for are missing. First, the three content types are uneven across versions: 2.2 and 2.3 carry new features only, with no bug fixes and no known issues sections; 2.4.1 and 2.5.1 carry known issues but no bug fixes. Only 2.4, 2.5 and 2.6 come close to the full set. Second, the ""so I can plan upgrades"" half of the job has no supporting content: there is no KMM Operator to {product-title} version compatibility matrix module, and no procedure for upgrading the KMM Operator itself. modules/kmm-installing-older-versions.adoc is the closest thing to version-selection guidance, and modules/kmm-customizing-upgrades-for-kernel-modules.adoc covers upgrading the kernel modules KMM manages during a cluster upgrade, not upgrading the Operator."
Review KMM releases and updates,"When I need to know about new features, bug fixes, and known issues in KMM versions, I want to review release notes, so I can plan upgrades and understand changes in KMM Operator.",,partial,modules/kmm-rn-2-4.adoc,hardware_enablement/kmm-release-notes.adoc,full,"reference: new features, bug fixes and known issues; the largest release note module at 291 lines","Partial. The release notes themselves are complete and well modularized -- seven REFERENCE modules, one per KMM version, all in hardware_enablement/kmm-release-notes.adoc. Two things the job statement asks for are missing. First, the three content types are uneven across versions: 2.2 and 2.3 carry new features only, with no bug fixes and no known issues sections; 2.4.1 and 2.5.1 carry known issues but no bug fixes. Only 2.4, 2.5 and 2.6 come close to the full set. Second, the ""so I can plan upgrades"" half of the job has no supporting content: there is no KMM Operator to {product-title} version compatibility matrix module, and no procedure for upgrading the KMM Operator itself. modules/kmm-installing-older-versions.adoc is the closest thing to version-selection guidance, and modules/kmm-customizing-upgrades-for-kernel-modules.adoc covers upgrading the kernel modules KMM manages during a cluster upgrade, not upgrading the Operator."
Review KMM releases and updates,"When I need to know about new features, bug fixes, and known issues in KMM versions, I want to review release notes, so I can plan upgrades and understand changes in KMM Operator.",,partial,modules/kmm-rn-2-3.adoc,hardware_enablement/kmm-release-notes.adoc,partial,"reference: new features only -- no bug fixes and no known issues sections, so this version does not answer the full job statement","Partial. The release notes themselves are complete and well modularized -- seven REFERENCE modules, one per KMM version, all in hardware_enablement/kmm-release-notes.adoc. Two things the job statement asks for are missing. First, the three content types are uneven across versions: 2.2 and 2.3 carry new features only, with no bug fixes and no known issues sections; 2.4.1 and 2.5.1 carry known issues but no bug fixes. Only 2.4, 2.5 and 2.6 come close to the full set. Second, the ""so I can plan upgrades"" half of the job has no supporting content: there is no KMM Operator to {product-title} version compatibility matrix module, and no procedure for upgrading the KMM Operator itself. modules/kmm-installing-older-versions.adoc is the closest thing to version-selection guidance, and modules/kmm-customizing-upgrades-for-kernel-modules.adoc covers upgrading the kernel modules KMM manages during a cluster upgrade, not upgrading the Operator."
Review KMM releases and updates,"When I need to know about new features, bug fixes, and known issues in KMM versions, I want to review release notes, so I can plan upgrades and understand changes in KMM Operator.",,partial,modules/kmm-rn-2-2.adoc,hardware_enablement/kmm-release-notes.adoc,partial,"reference: new features only -- no bug fixes and no known issues sections, so this version does not answer the full job statement","Partial. The release notes themselves are complete and well modularized -- seven REFERENCE modules, one per KMM version, all in hardware_enablement/kmm-release-notes.adoc. Two things the job statement asks for are missing. First, the three content types are uneven across versions: 2.2 and 2.3 carry new features only, with no bug fixes and no known issues sections; 2.4.1 and 2.5.1 carry known issues but no bug fixes. Only 2.4, 2.5 and 2.6 come close to the full set. Second, the ""so I can plan upgrades"" half of the job has no supporting content: there is no KMM Operator to {product-title} version compatibility matrix module, and no procedure for upgrading the KMM Operator itself. modules/kmm-installing-older-versions.adoc is the closest thing to version-selection guidance, and modules/kmm-customizing-upgrades-for-kernel-modules.adoc covers upgrading the kernel modules KMM manages during a cluster upgrade, not upgrading the Operator."
Review KMM releases and updates,"When I need to know about new features, bug fixes, and known issues in KMM versions, I want to review release notes, so I can plan upgrades and understand changes in KMM Operator.",,partial,modules/kmm-about-kmm.adoc,hardware_enablement/kmm-kernel-module-management.adoc,partial,concept: orientation for a reader arriving at the release notes without KMM context,"Partial. The release notes themselves are complete and well modularized -- seven REFERENCE modules, one per KMM version, all in hardware_enablement/kmm-release-notes.adoc. Two things the job statement asks for are missing. First, the three content types are uneven across versions: 2.2 and 2.3 carry new features only, with no bug fixes and no known issues sections; 2.4.1 and 2.5.1 carry known issues but no bug fixes. Only 2.4, 2.5 and 2.6 come close to the full set. Second, the ""so I can plan upgrades"" half of the job has no supporting content: there is no KMM Operator to {product-title} version compatibility matrix module, and no procedure for upgrading the KMM Operator itself. modules/kmm-installing-older-versions.adoc is the closest thing to version-selection guidance, and modules/kmm-customizing-upgrades-for-kernel-modules.adoc covers upgrading the kernel modules KMM manages during a cluster upgrade, not upgrading the Operator."
Review KMM releases and updates,"When I need to know about new features, bug fixes, and known issues in KMM versions, I want to review release notes, so I can plan upgrades and understand changes in KMM Operator.",,partial,modules/kmm-installation.adoc,hardware_enablement/kmm-kernel-module-management.adoc,partial,concept: installation overview; supplies the version and channel context the release notes assume,"Partial. The release notes themselves are complete and well modularized -- seven REFERENCE modules, one per KMM version, all in hardware_enablement/kmm-release-notes.adoc. Two things the job statement asks for are missing. First, the three content types are uneven across versions: 2.2 and 2.3 carry new features only, with no bug fixes and no known issues sections; 2.4.1 and 2.5.1 carry known issues but no bug fixes. Only 2.4, 2.5 and 2.6 come close to the full set. Second, the ""so I can plan upgrades"" half of the job has no supporting content: there is no KMM Operator to {product-title} version compatibility matrix module, and no procedure for upgrading the KMM Operator itself. modules/kmm-installing-older-versions.adoc is the closest thing to version-selection guidance, and modules/kmm-customizing-upgrades-for-kernel-modules.adoc covers upgrading the kernel modules KMM manages during a cluster upgrade, not upgrading the Operator."
Review KMM releases and updates,"When I need to know about new features, bug fixes, and known issues in KMM versions, I want to review release notes, so I can plan upgrades and understand changes in KMM Operator.",,partial,modules/kmm-installing-older-versions.adoc,hardware_enablement/kmm-kernel-module-management.adoc,partial,"procedure: the only version-selection guidance in the docs; supports the ""plan upgrades"" half of the job but is written for earlier {product-title} versions, not for moving between KMM versions","Partial. The release notes themselves are complete and well modularized -- seven REFERENCE modules, one per KMM version, all in hardware_enablement/kmm-release-notes.adoc. Two things the job statement asks for are missing. First, the three content types are uneven across versions: 2.2 and 2.3 carry new features only, with no bug fixes and no known issues sections; 2.4.1 and 2.5.1 carry known issues but no bug fixes. Only 2.4, 2.5 and 2.6 come close to the full set. Second, the ""so I can plan upgrades"" half of the job has no supporting content: there is no KMM Operator to {product-title} version compatibility matrix module, and no procedure for upgrading the KMM Operator itself. modules/kmm-installing-older-versions.adoc is the closest thing to version-selection guidance, and modules/kmm-customizing-upgrades-for-kernel-modules.adoc covers upgrading the kernel modules KMM manages during a cluster upgrade, not upgrading the Operator."
