job_name,job_statement,Category
Manage Multiple Telco Clusters with RHACM,"When managing multiple telco clusters, I want to use RHACM for centralized lifecycle management, so I can efficiently operate clusters at scale.",Administer
Orchestrate Cluster Upgrades with TALM,"When performing cluster upgrades across many sites, I want to use TALM for orchestrated updates, so I can minimize service disruption during maintenance.",Administer
Mount persistant storage volumes to pods and containers,"Because files in containers are ephemeral, I want to mount volumes to my pods and containers so that my data persists even if the pod or container fails.",Administer
Allocate resources for nodes,"When I am running workloads on nodes, I want to control how resources are allocated so nodes are neither underserved or have a surplus of resources they don’t need.",Administer
Delete nodes from a cluster,"When I need to recreate a node or reduce my overall spend, I need to delete nodes from my cluster so I can take the next steps to create a new node or migrate workloads to a new node.",Administer
Manage Bare Metal Host Lifecycle,"When operating bare metal infrastructure, I want to manage host lifecycle and monitor hardware events, so I can maintain infrastructure health.",Administer
Manage Bare Metal Host Lifecycle > Manage Hosts and Monitor Hardware Events,Manage Bare Metal Host Lifecycle > Manage Hosts and Monitor Hardware Events,Administer
Network Observability Deployment and Management,"When I need to deploy or maintain network observability in my cluster, I want to install, configure, secure, and upgrade the observability system, so I can ensure continuous visibility without disrupting operations.",Administer
Run background tasks on a node with daemonsets,"When I need to save time by automating certain tasks across nodes, I want to create shared storage, run a logging pod on each node, or deploy a monitoring agent on each node using DaemonSets that ensure a node is running a copy of a pod meant to perform one of those tasks so I don’t need to manually create those pods.",Administer
Gap: Using catalog sources in disconnected environments,"Understand how to work with catalog sources in a disconnected environment, i.e. those generated from oc-mirror. How catalogsource are meant to be used during platform upgrades. (New catalog sources are generated during a mirroring process of a new version and those need to be used during upgrdes)",Administer
Allow containers to consume API objects,"When I need containers to consume information about pods, I need to use the Downward API to allow containers to access that information without needing a volume plugin.",Administer
Perform lightweight tasks with init containers,"When I want to quickly run lightweight tasks, I want to use init containers before the rest of the pod is deployed so that application containers have everything ready to go right away.",Administer
Understanding how I can use software and drivers that are not available as RHCOS extensions with my nodes.,"As a cluster admin, I want to add software or drivers that are not available as extensions in the base RHCOS image by using Image mode for OpenShift to extend the functionality of the base RHCOS image.",Administer
