job_name,job_statement,parent_job,job_coverage,module_file,source_assembly,module_status,module_note,job_notes
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-challenges-of-far-edge-deployments.adoc,edge_computing/ztp-deploying-far-edge-clusters-at-scale.adoc,full,concept: frames the at-scale far-edge deployment problem the job exists to solve,
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/about-ztp.adoc,edge_computing/ztp-deploying-far-edge-clusters-at-scale.adoc,full,concept: core explanation of provisioning clusters at the far edge with GitOps ZTP,
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-creating-ztp-crs-for-multiple-managed-clusters.adoc,edge_computing/ztp-deploying-far-edge-clusters-at-scale.adoc,full,concept: the Git-repository-driven CR model for many managed clusters,
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-configuring-cluster-policies.adoc,edge_computing/ztp-deploying-far-edge-clusters-at-scale.adoc,full,concept: the configuration half of the job (policies via PolicyGenerator),
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-talo-integration.adoc,edge_computing/ztp-deploying-far-edge-sites.adoc,full,concept: how TALM rolls out the generated policies during provisioning,
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-ztp-building-blocks.adoc,edge_computing/ztp-deploying-far-edge-sites.adoc,full,concept: end-to-end overview of deploying managed clusters with ZTP,
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-overview-managed-site-installation-process.adoc,edge_computing/ztp-deploying-far-edge-sites.adoc,full,concept: the site installation sequence,
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-creating-the-site-secrets.adoc,edge_computing/ztp-deploying-far-edge-sites.adoc,full,"procedure: BMC and pull-secret creation, first step of provisioning a site",
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-configuring-kernel-arguments-for-discovery-iso.adoc,edge_computing/ztp-deploying-far-edge-sites.adoc,partial,procedure: optional Discovery ISO customization; not required on the main path,
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-deploying-a-site.adoc,edge_computing/ztp-deploying-far-edge-sites.adoc,full,"procedure: the core provisioning step, committing ClusterInstance CRs to Git",
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-clusterinstance-config-reference.adoc,edge_computing/ztp-deploying-far-edge-sites.adoc,full,reference: ClusterInstance CR fields used by the deployment procedure,
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-monitoring-installation-progress.adoc,edge_computing/ztp-deploying-far-edge-sites.adoc,full,procedure: confirms the automated provisioning completed,
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-troubleshooting-ztp-gitops-installation-crs.adoc,edge_computing/ztp-deploying-far-edge-sites.adoc,full,procedure: validating the generated installation CRs when provisioning stalls,
Automate Edge Cluster Deployment with GitOps ZTP,"When deploying edge clusters at scale, I want to use GitOps ZTP, so I can automate cluster provisioning and configuration from Git repositories.",,full,modules/ztp-site-cleanup.adoc,edge_computing/ztp-deploying-far-edge-sites.adoc,full,"procedure: removing a site from the pipeline, closes the deployment lifecycle",
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-telco-ran-software-versions.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,partial,"reference: validated component versions for the hub build; context for the job, not the plugin configuration itself",
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-gitops-ztp-max-spoke-clusters.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,partial,"reference: hub sizing and managed-cluster limits; supporting, not a configuration step",
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-acm-installing-disconnected-rhacm.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,full,procedure: installs RHACM and the GitOps ZTP prerequisites on the hub,
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-acm-adding-images-to-mirror-registry.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,partial,"procedure: disconnected mirror-host prerequisite, not GitOps operator or plugin configuration",
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-enabling-assisted-installer-service-on-bare-metal.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,full,procedure: enables the assisted service the ZTP pipeline drives,
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-configuring-the-cluster-for-a-disconnected-environment.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,partial,procedure: disconnected mirror-registry prerequisite for the hub,
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-configuring-the-hub-cluster-to-use-unauthenticated-registries.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,partial,procedure: optional registry variation,
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-preparing-the-hub-cluster-for-ztp.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,full,procedure: the core of this job -- configures ArgoCD and patches in the GitOps ZTP plugins,
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-preparing-the-ztp-git-repository.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,full,procedure: the core of this job -- sets up the site configuration repository the plugins read,
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-preparing-the-ztp-git-repository-ver-ind.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,full,procedure: version-independent repository layout,
Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP > Configure GitOps Operator and ZTP Plugins,Automate Edge Cluster Deployment with GitOps ZTP,full,modules/ztp-configuring-the-hub-cluster-for-backup-and-restore.adoc,edge_computing/ztp-preparing-the-hub-cluster.adoc,partial,procedure: hub day-2 protection; adjacent to the job rather than part of it,
Automate Edge Cluster Deployment with GitOps ZTP > Use Agent-Based Installer for Disconnected Sites,Automate Edge Cluster Deployment with GitOps ZTP > Use Agent-Based Installer for Disconnected Sites,Automate Edge Cluster Deployment with GitOps ZTP,partial,modules/understanding-agent-install.adoc,installing/installing_with_agent_based_installer/preparing-to-install-with-agent-based-installer.adoc,full,concept: what the Agent-based Installer is and when to use it,"Partial. No module documents the Agent-based Installer as the provisioning path for a GitOps ZTP-managed far-edge site: the ABI toolchain and the hub-driven ZTP pipeline are documented as separate installation methods. modules/installing-ocp-agent-ZTP.adoc is the only bridge and it covers only generating ZTP cluster manifests locally with `openshift-install agent create cluster-manifests`. Missing: guidance on when to choose ABI over hub-driven ZTP provisioning for a disconnected site, and how an ABI-installed edge cluster is subsequently imported into and managed by the ZTP pipeline."
Automate Edge Cluster Deployment with GitOps ZTP > Use Agent-Based Installer for Disconnected Sites,Automate Edge Cluster Deployment with GitOps ZTP > Use Agent-Based Installer for Disconnected Sites,Automate Edge Cluster Deployment with GitOps ZTP,partial,modules/agent-install-about-mirroring-for-disconnected-registry.adoc,installing/installing_with_agent_based_installer/understanding-disconnected-installation-mirroring.adoc,full,concept: mirroring the release payload for a disconnected ABI install,"Partial. No module documents the Agent-based Installer as the provisioning path for a GitOps ZTP-managed far-edge site: the ABI toolchain and the hub-driven ZTP pipeline are documented as separate installation methods. modules/installing-ocp-agent-ZTP.adoc is the only bridge and it covers only generating ZTP cluster manifests locally with `openshift-install agent create cluster-manifests`. Missing: guidance on when to choose ABI over hub-driven ZTP provisioning for a disconnected site, and how an ABI-installed edge cluster is subsequently imported into and managed by the ZTP pipeline."
Automate Edge Cluster Deployment with GitOps ZTP > Use Agent-Based Installer for Disconnected Sites,Automate Edge Cluster Deployment with GitOps ZTP > Use Agent-Based Installer for Disconnected Sites,Automate Edge Cluster Deployment with GitOps ZTP,partial,modules/agent-install-configuring-for-disconnected-registry.adoc,installing/installing_with_agent_based_installer/understanding-disconnected-installation-mirroring.adoc,full,procedure: points the Agent-based Installer at the mirrored images,"Partial. No module documents the Agent-based Installer as the provisioning path for a GitOps ZTP-managed far-edge site: the ABI toolchain and the hub-driven ZTP pipeline are documented as separate installation methods. modules/installing-ocp-agent-ZTP.adoc is the only bridge and it covers only generating ZTP cluster manifests locally with `openshift-install agent create cluster-manifests`. Missing: guidance on when to choose ABI over hub-driven ZTP provisioning for a disconnected site, and how an ABI-installed edge cluster is subsequently imported into and managed by the ZTP pipeline."
