record_type,job_id,parent_job,job_statement,workflow_stage,persona,section,context,motivation,approach,alternatives,acceptance_criteria,steps,tools,evidence,notes,source_file,doc_identifier
main_job,1,,Set up Argo CD instances,DEFINE,Platform Administrator,Setting up an Argo CD instance,Managing GitOps deployment infrastructure,establish continuous deployment capabilities using GitOps,,,,,,"By default, {gitops-title} installs an instance of Argo CD in the `openshift-gitops` namespace... To manage cluster configurations or deploy applications, you can install and deploy a new user-defined Argo CD instance.",Covers both default and user-defined Argo CD instances,argocd_instance-combined.adoc,argocd_instance
user_story,2,1,Install a user-defined Argo CD instance,PROVISION,Platform Administrator,Installing a user-defined Argo CD instance,Need to deploy applications or manage cluster configurations,manage cluster configurations or deploy applications in isolated namespaces,Use the OpenShift web console to create an ArgoCD custom resource,YAML-based configuration; CLI-based installation,Argo CD instance is running; Route is created; Admin credentials are accessible,,,"To manage cluster configurations or deploy applications, you can install and deploy a new user-defined Argo CD instance. By default, any new user-defined instance has permissions to manage resources only in the namespace where it is deployed.",Module type: PROCEDURE; Prerequisites include cluster-admin access and GitOps Operator installed,argocd_instance-combined.adoc,argocd_instance
task,3,2,Create ArgoCD custom resource via web console,PROVISION,Platform Administrator,Installing a user-defined Argo CD instance,Installing Argo CD instance through UI,provision Argo CD instance with proper configuration,,,,Log in to web console; Navigate to Operators > Installed Operators; Select project; Click Create ArgoCD; Configure parameters; Enable Route; Create instance,OpenShift web console,Click *Create ArgoCD* to configure the parameters... Create an external operating system Route to access Argo CD server.,,argocd_instance-combined.adoc,argocd_instance
task,4,2,Access Argo CD web UI,VALIDATE,Platform Administrator,Installing a user-defined Argo CD instance,After creating Argo CD instance,verify the installation and access the Argo CD interface,,,,Go to Networking > Routes; Find instance route; Click web UI link; Authenticate using OpenShift or admin credentials,OpenShift web console; Argo CD UI,"Go to *Networking* -> *Routes*... On the *Details* tab, click the Argo CD web UI link... Use `admin` as the *Username* and the copied password",,argocd_instance-combined.adoc,argocd_instance
user_story,5,1,Disable default Argo CD instance,CONFIGURE,Platform Administrator,Setting up an Argo CD instance,Need to prevent automatic default instance creation,control which Argo CD instances run in the cluster,Set DISABLE_DEFAULT_ARGOCD_INSTANCE environment variable in operator subscription,,Default Argo CD instance does not start in openshift-gitops namespace,,,"To prevent the default Argo CD instance from starting in the `openshift-gitops` namespace, you can use the `openshift-gitops-operator` subscription and configure the `DISABLE_DEFAULT_ARGOCD_INSTANCE` environment variable",Important for custom instance configurations within openshift-gitops namespace,argocd_instance-combined.adoc,argocd_instance
main_job,6,,Configure Argo CD permissions and security,SECURE,Platform Administrator,Configuring common cluster roles,Multi-tenant cluster environments,reduce security risks and prevent privilege escalation,,,,,,"When you give namespaces to non-administrator users, for example, development teams, they can use the `namespace-admin` privileges... These roles are highly privileged and can delete all resources. To reduce this risk, configure common cluster roles with limited permissions",Addresses security concerns with default admin role bindings,argocd_instance-combined.adoc,argocd_instance
user_story,7,6,Configure custom cluster roles for namespace-scoped instances,SECURE,Platform Administrator,Configuring common cluster roles by specifying user-defined cluster roles for namespace-scoped instances,Delegating Argo CD instances to development teams,limit permissions and prevent privilege escalation,Specify CONTROLLER_CLUSTER_ROLE and SERVER_CLUSTER_ROLE environment variables in operator subscription,Inject variables directly into Operator Deployment object,User-defined cluster roles are applied instead of default admin role,,,"To configure common cluster roles for all managed namespaces, you can specify user-defined cluster roles for the `CONTROLLER_CLUSTER_ROLE` and `SERVER_CLUSTER_ROLE` environment variables",Module type: PROCEDURE; Reduces risk of development teams gaining admin privileges,argocd_instance-combined.adoc,argocd_instance
main_job,8,,Scale Argo CD components for high availability,SCALE,Platform Administrator,Enabling replicas,Production deployments requiring high availability,distribute workloads and ensure service availability,,,,,,"To better distribute your workloads among pods, you can increase the number of Argo CD-server and Argo CD-repo-server replicas",Argo CD-server and repo-server are stateless workloads,argocd_instance-combined.adoc,argocd_instance
user_story,9,8,Enable replicas for Argo CD server and repo server,SCALE,Platform Administrator,Enabling replicas for Argo CD server and repo server,Need better workload distribution,improve availability and distribute load,Set replicas parameters in ArgoCD custom resource spec,,Multiple replicas are running for server and repo-server components,,,Set the `replicas` parameters for the `repo` and `server` spec to the number of replicas you want to run,Module type: PROCEDURE; Autoscaler overrides manual replica count if enabled,argocd_instance-combined.adoc,argocd_instance
main_job,10,,Configure Argo CD namespace management,CONFIGURE,Platform Administrator,Deploying resources to a different namespace,Managing resources across multiple namespaces,allow Argo CD to manage resources outside its installation namespace,,,,,,"To allow Argo CD to manage resources in other namespaces apart from where it is installed, configure the target namespace with a `argocd.argoproj.io/managed-by` label",Enables multi-namespace resource management,argocd_instance-combined.adoc,argocd_instance
