job_name,job_statement,parent_job,job_coverage,module_file,source_assembly,module_status,module_note,job_notes
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/openshift-architecture-common-terms.adoc,architecture/index.adoc,full,reference: architecture glossary,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/install-openshift-common-terms.adoc,installing/overview/index.adoc,full,reference: installation glossary,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/nodes-overview-glossary-common-terms.adoc,nodes/index.adoc,full,reference: nodes glossary,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/openshift-storage-common-terms.adoc,storage/index.adoc,full,reference: storage glossary,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/authentication-authorization-common-terms.adoc,authentication/index.adoc,full,reference: authentication and authorization glossary,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/monitoring-common-terms.adoc,observability/monitoring/about-ocp-monitoring/monitoring-stack-architecture.adoc,full,reference: monitoring glossary,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/registry-common-terms.adoc,registry/index.adoc,full,reference: registry glossary; also mapped to the image registry reference job below,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/update-common-terms.adoc,updating/understanding_updates/intro-to-updates.adoc,full,reference: update glossary,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/glossary-discc-env-terms.adoc,disconnected/about.adoc,full,reference: disconnected environment glossary,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/api-compatibility-common-terminology.adoc,rest_api/overview/understanding-compatibility-guidelines.adoc,full,concept: API compatibility terminology,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,modules/virt-networking-glossary.adoc,virt/vm_networking/virt-networking-overview.adoc,partial,reference: narrow -- OpenShift Virtualization networking terms only; include only if the job is meant to span layered products,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Understand terminology and definitions,"When I encounter unfamiliar terminology, I want to access a comprehensive glossary, so I can clearly understand the specific container and platform concepts being discussed.",,partial,,,gap,GAP: welcome/glossary.adoc is the comprehensive product glossary (86 terms) but is an unmodularized ASSEMBLY with inline definition lists and no include::modules/ lines. It must be modularized before this job can include it.,"Partial. The job asks for a single comprehensive glossary, and one exists -- welcome/glossary.adoc, 86 terms -- but it is an unmodularized assembly: the definitions are inline definition lists with no include::modules/ lines, so there is no module to map and nothing for a job map to include. What is modularized instead is a set of per-feature-area glossaries (architecture, install, nodes, storage, authentication, monitoring, registry, updates, disconnected, API compatibility), which together cover most but not all of welcome/glossary.adoc. Missing: either modularize welcome/glossary.adoc, or accept the per-area glossaries as the job's content and reconcile the terms that appear only in the unmodularized assembly."
Reference image registry configuration,"When I need custom resource (CR) field values or platform-specific storage parameters for OpenShift's internal image registry, I want consolidated reference material, so I can look up configuration options without searching multiple assemblies.",,partial,modules/registry-common-terms.adoc,registry/index.adoc,partial,"reference: registry terminology; orientation for the reference job, not configuration parameters","Partial. The reference material exists but is scattered exactly as the job statement describes: Image Registry Operator parameters live in registry/configuring-registry-operator.adoc, platform storage parameters live across eight separate registry/configuring_registry_storage/ assemblies, and there is no consolidated reference assembly today. Coverage is further limited by the platform gaps in sub-job 12.2."
