alternatives_considered,anti_jobs,circumstance,complexity,content_gap,content_needs,context,context_tags,contextual_dimension,cross_references,customer_segment,desired_outcomes,difficulty,doc,doc_type,emotional_dimension,emotional_need,evidence,expected_outcome,frequency,functional_dimension,functional_need,goal,granularity,id,importance,job,job_id,job_map_stage,job_performer,job_statement,job_type,linked_adoc_modules,motivation,notes,original_section_title,outcome,pain_point,pain_points,parent_job,persona,prerequisites,primary_persona,priority,related_jobs,satisfaction_with_current_solution,secondary_persona,section,situation,social_need,source_url,strategic_value,success_criteria,supporting_personas,task_type,taxonomy_category,user_persona,workflow_stage
,,,,,,"As a cluster administrator managing GitOps deployments, when I need to ensure Argo CD instances remain operational, I want to monitor the availability of Argo CD custom resource workloads and receive alerts when components are unhealthy, so I can proactively respond to issues before they impact continuous delivery pipelines.",,,,,,,,,,,"monitoring-argo-cd-custom-resource-workloads.adoc -> Abstract section, lines 9-12 [assembly: monitoring-argo-cd-custom-resource-workloads.adoc, type: ASSEMBLY]",,ongoing,,,,,,,,,,,Monitor Argo CD instance availability and component health,,,,Core observability capability for production GitOps operations. Requires monitoring stack and kube-state-metrics prerequisites. Source assembly: cicd/gitops/monitoring-argo-cd-custom-resource-workloads.adoc,,,"Lack of visibility into Argo CD component health can lead to undetected failures in application-controller, repo-server, or server workloads, causing deployment delays or failures without administrator awareness",,,Cluster Administrator,,,high,,,,,,,,,,,,,,monitor
,,,,,,"As a cluster administrator setting up GitOps monitoring, when I need to track the health of a particular Argo CD instance, I want to enable monitoring by configuring the Argo CD custom resource, so the Operator creates PrometheusRule objects with alert rules for all managed workloads.",,,,,,,,,,,"gitops-enabling-monitoring-for-argo-cd-custom-resource-workloads.adoc -> Full module, lines 1-65 [module: modules/gitops-enabling-monitoring-for-argo-cd-custom-resource-workloads.adoc, type: PROCEDURE]",,per-instance,,,,,,,,,,,Enable monitoring for specific Argo CD instances,,,,Procedural task. Sets .spec.monitoring.enabled to true in ArgoCD CR. Creates PrometheusRule with alert rules. Source module: modules/gitops-enabling-monitoring-for-argo-cd-custom-resource-workloads.adoc (PROCEDURE),,,"Without enabling monitoring, there is no automated alerting when replica counts drift from desired state, requiring manual checks to detect component failures",,,Cluster Administrator,,,high,,,,,,,,,,,,,,configure
,,,,,,"As a cluster administrator who just enabled monitoring, when I need to confirm that alerts are properly configured, I want to verify the PrometheusRule contains expected alert rules for Argo CD component workloads, so I can ensure monitoring is working correctly before relying on it.",,,,,,,,,,,"gitops-enabling-monitoring-for-argo-cd-custom-resource-workloads.adoc -> Procedure step 2, lines 34-64 [module: modules/gitops-enabling-monitoring-for-argo-cd-custom-resource-workloads.adoc, type: PROCEDURE]",,per-instance,,,,,,,,,,,Verify PrometheusRule alert configuration after enabling monitoring,,,,Verification step. Checks for alerts like ApplicationSetControllerNotReady in the created PrometheusRule. Source module: modules/gitops-enabling-monitoring-for-argo-cd-custom-resource-workloads.adoc (PROCEDURE),,,Uncertainty about whether monitoring was successfully enabled could lead to false confidence in alert coverage,,,Cluster Administrator,,,medium,,,,,,,,,,,,,,validate
,,,,,,"As a cluster administrator managing Argo CD instances, when I no longer need monitoring for a specific instance (e.g., decommissioning, cost reduction, or moving to different monitoring solution), I want to disable monitoring by updating the Argo CD custom resource, so the PrometheusRule is automatically deleted and alert noise is reduced.",,,,,,,,,,,"gitops-disabling-monitoring-for-argo-cd-custom-resource-workloads.adoc -> Full module, lines 1-30 [module: modules/gitops-disabling-monitoring-for-argo-cd-custom-resource-workloads.adoc, type: PROCEDURE]",,occasional,,,,,,,,,,,Disable monitoring for Argo CD instances,,,,Procedural task. Sets .spec.monitoring.enabled to false in ArgoCD CR. Deletes the created PrometheusRule. Source module: modules/gitops-disabling-monitoring-for-argo-cd-custom-resource-workloads.adoc (PROCEDURE),,,Leaving monitoring enabled for unused instances creates unnecessary PrometheusRule objects and potential alert fatigue,,,Cluster Administrator,,,medium,,,,,,,,,,,,,,configure
,,,,,,"As a cluster administrator preparing to enable Argo CD monitoring, when I need to ensure the monitoring infrastructure is in place, I want to verify cluster-admin access, monitoring stack configuration, kube-state-metrics availability, and user workload monitoring settings, so monitoring can function correctly when enabled.",,,,,,,,,,,"monitoring-argo-cd-custom-resource-workloads.adoc -> Prerequisites section, lines 14-27 [assembly: monitoring-argo-cd-custom-resource-workloads.adoc, type: ASSEMBLY]",,one-time-per-cluster,,,,,,,,,,,Set up monitoring prerequisites for Argo CD workload monitoring,,,,"Prerequisites include cluster-admin role, GitOps installed, monitoring stack in openshift-monitoring, kube-state-metrics service, and optional user workload monitoring for non-openshift namespaces. Source assembly: cicd/gitops/monitoring-argo-cd-custom-resource-workloads.adoc",,,Missing prerequisites like kube-state-metrics or improper monitoring stack configuration will cause monitoring enablement to fail or produce no alerts,,,Cluster Administrator,,,high,,,,,,,,,,,,,,prepare
,,,,,,"As a cluster administrator deploying Argo CD outside openshift-managed namespaces, when I need to monitor an Argo CD instance in a user-defined project, I want to enable user workload monitoring cluster-wide, so the monitoring stack picks up the PrometheusRule created by the GitOps Operator.",,,,,,,,,,,"monitoring-argo-cd-custom-resource-workloads.adoc -> Prerequisites note, lines 24-27 [assembly: monitoring-argo-cd-custom-resource-workloads.adoc, type: ASSEMBLY]",,one-time-per-cluster,,,,,,,,,,,Enable user workload monitoring for Argo CD instances in custom namespaces,,,,Critical for monitoring Argo CD instances in namespaces not starting with 'openshift-*'. Requires enabling monitoring for user-defined projects cluster-wide. Source assembly: cicd/gitops/monitoring-argo-cd-custom-resource-workloads.adoc,,,"Without user workload monitoring enabled, PrometheusRules in non-openshift namespaces are ignored, resulting in no alerts despite monitoring being configured",,,Cluster Administrator,,,high,,,,,,,,,,,,,,prepare
,,,,,,,,,,,"['Minimize disruption to GitOps sync operations during node updates', 'Reduce likelihood of incomplete application deployments', 'Ensure predictable behavior when applying machine configurations']",,troubleshooting-issues-in-GitOps.adoc,,,,"troubleshooting-issues-in-GitOps-reduced.adoc -> Section 'Issue: Auto-reboot during Argo CD sync with machine configurations', lines 7-15 [module: cicd/gitops/modules/con_auto-reboot-during-argo-cd-sync-with-machine-configurations.adoc, type: CONCEPT]",,,,,,main_job,,,,,Troubleshoot,,"When managing OpenShift nodes through GitOps workflows with machine configurations, I want to understand how MCO auto-reboots interact with Argo CD sync operations, so I can anticipate and prevent disruptions to my GitOps automation.",core,,,Source module: cicd/gitops/modules/con_auto-reboot-during-argo-cd-sync-with-machine-configurations.adoc (CONCEPT). This is a main job focused on understanding the problem space before applying solutions. Assembly: cicd/gitops/troubleshooting-issues-in-GitOps.adoc,,,,,,Platform engineer,[],,,"['Deploy applications using GitOps', 'Manage node configurations with Machine Config Operator']",,,Issue: Auto-reboot during Argo CD sync with machine configurations,,,,,,,,,,
,,,,,,,,,,,"['Minimize time to complete GitOps sync operations', 'Reduce likelihood of Argo CD application controller termination', 'Ensure consistent sync behavior across all nodes', 'Prevent undefined behavior during multi-node updates']",,troubleshooting-issues-in-GitOps.adoc,,,,"troubleshooting-issues-in-GitOps-reduced.adoc -> Section 'Solution: Enhance performance in machine configurations and Argo CD', lines 17-28 [module: cicd/gitops/modules/performance-challenges-in-machine-configurations-and-argo-cd.adoc, type: CONCEPT]",,,,,,user_story,,,,,Troubleshoot,,"When experiencing performance issues or sync failures due to MCO node reboots during Argo CD operations, I want to prevent auto-reboots from interrupting GitOps workflows, so I can ensure reliable and complete application deployments.",core,,,Source module: cicd/gitops/modules/performance-challenges-in-machine-configurations-and-argo-cd.adoc (CONCEPT). This is a user story that provides the solution approach to the main job. The actual implementation steps are referenced in the Additional resources link. Assembly: cicd/gitops/troubleshooting-issues-in-GitOps.adoc,,,,,Understand how MCO auto-reboots interact with Argo CD sync operations,Platform engineer,['Understand how MCO auto-reboots interact with Argo CD sync operations'],,,"['Configure GitOps sync policies', 'Manage machine configuration rollout strategies']",,,Solution: Enhance performance in machine configurations and Argo CD,,,,,,,,,,
,"['Temporarily disable GitOps', 'Upgrade GitOps to a new version']",,Medium,,"['Prerequisites understanding', 'Step-by-step uninstall procedure', 'Verification steps']",When I no longer need GitOps functionality or want to clean up my cluster,,,,,,,,,,,"uninstalling-openshift-gitops-reduced.adoc -> Introduction section, lines 9-14. Explains the two-step process and warns that uninstalling only the Operator will not remove Argo CD instances.",,Low,,,So that I can completely remove all GitOps components and free up cluster resources,,,,,,,,Remove OpenShift GitOps from my cluster,,,,Source assembly: cicd/gitops/uninstalling-openshift-gitops.adoc. This is a critical operations task that requires understanding the correct order of operations.,,,Understanding the two-step uninstall process and ensuring all Argo CD instances are removed,,,,,Platform Administrator,High,"['Delete Argo CD instances from specific namespaces', 'Uninstall operators from OpenShift']",,,,,,,,"['All Argo CD instances are deleted from all namespaces', 'GitOps Operator is successfully uninstalled', 'No orphaned resources remain in the cluster']","['DevOps Engineer', 'Cluster Administrator']",,,,Maintenance and Operations
,"['Reconfigure Argo CD instances', 'Temporarily pause Argo CD']",,Low,,"['CLI command syntax', 'Namespace-specific deletion instructions', 'UI limitation awareness']",When I need to remove Argo CD instances before uninstalling the GitOps Operator or cleaning up specific namespaces,,,,,,,,,,,"uninstalling-openshift-gitops-reduced.adoc -> Section 'Deleting the Argo CD instances', lines 20-50 [module: modules/go-deleting-argocd-instance.adoc, type: PROCEDURE]",,Low,,,So that I can ensure all Argo CD resources are properly removed without leaving orphaned instances,,,,,,,,Delete Argo CD instances from my GitOps deployment,,,,"Source module: modules/go-deleting-argocd-instance.adoc (PROCEDURE). Important limitation: Cannot delete from web console, must use oc CLI.",,,Knowing that Argo CD clusters cannot be deleted from the web console UI and must use CLI,,,,,Platform Administrator,High,"['Remove OpenShift GitOps from my cluster', 'Clean up namespace resources']",,,,,,,,"['All Argo CD instances deleted from openshift-gitops namespace', 'Any additional Argo CD instances deleted from other namespaces', 'Command executes successfully']","['DevOps Engineer', 'Cluster Administrator']",,,,Maintenance and Operations
