job_name,job_statement,parent_job,job_coverage,module_file,source_assembly,module_status,module_note,job_notes
Choose an installation method,"When my environment has no direct internet access, I need to understand disconnected installation concepts, registry mirroring, and content requirements so I can plan an air-gapped deployment.",,full,modules/installing-preparing-selecting-cluster-type-reference.adoc,installing/overview/installing-preparing.adoc,existing,leveloffset=+1; assembly context=installing-preparing,folds 1 source jobs: Plan a disconnected installation
Choose an installation method,"When my environment has no direct internet access, I need to understand disconnected installation concepts, registry mirroring, and content requirements so I can plan an air-gapped deployment.",,full,modules/installing-preparing-cluster-for-users-reference.adoc,installing/overview/installing-preparing.adoc,existing,leveloffset=+1; assembly context=installing-preparing,folds 1 source jobs: Plan a disconnected installation
Choose an installation method,"When my environment has no direct internet access, I need to understand disconnected installation concepts, registry mirroring, and content requirements so I can plan an air-gapped deployment.",,full,modules/installing-preparing-cluster-for-workloads-reference.adoc,installing/overview/installing-preparing.adoc,existing,leveloffset=+1; assembly context=installing-preparing,folds 1 source jobs: Plan a disconnected installation
Choose an installation method,"When my environment has no direct internet access, I need to understand disconnected installation concepts, registry mirroring, and content requirements so I can plan an air-gapped deployment.",,full,modules/installing-preparing-supported-installation-methods-reference.adoc,installing/overview/installing-preparing.adoc,existing,leveloffset=+1; assembly context=installing-preparing,folds 1 source jobs: Plan a disconnected installation
Prepare to install OpenShift,"When my environment has a firewall, I need to know which ports and endpoints OpenShift requires so I can create allow rules that enable installation and cluster operation.",,full,modules/configuring-firewall-module.adoc,installing/install_config/configuring-firewall.adoc,existing,leveloffset=+1; assembly context=configuring-firewall,folds 1 source jobs: Configure firewall rules for installation
Prepare to install OpenShift,"When my environment has a firewall, I need to know which ports and endpoints OpenShift requires so I can create allow rules that enable installation and cluster operation.",,full,modules/network-flow-matrix.adoc,installing/install_config/configuring-firewall.adoc,existing,leveloffset=+1; assembly context=configuring-firewall,folds 1 source jobs: Configure firewall rules for installation
Prepare to install OpenShift,"When my environment has a firewall, I need to know which ports and endpoints OpenShift requires so I can create allow rules that enable installation and cluster operation.",,full,modules/network-commatrix-plugin-intro.adoc,installing/install_config/configuring-firewall.adoc,existing,leveloffset=+1; assembly context=configuring-firewall,folds 1 source jobs: Configure firewall rules for installation
Prepare to install OpenShift,"When my environment has a firewall, I need to know which ports and endpoints OpenShift requires so I can create allow rules that enable installation and cluster operation.",,full,modules/network-commatrix-plugin-install.adoc,installing/install_config/configuring-firewall.adoc,existing,leveloffset=+1; assembly context=configuring-firewall,folds 1 source jobs: Configure firewall rules for installation
Prepare to install OpenShift,"When my environment has a firewall, I need to know which ports and endpoints OpenShift requires so I can create allow rules that enable installation and cluster operation.",,full,modules/network-commatrix-plugin-generate.adoc,installing/install_config/configuring-firewall.adoc,existing,leveloffset=+1; assembly context=configuring-firewall,folds 1 source jobs: Configure firewall rules for installation
Prepare to install OpenShift,"When my environment has a firewall, I need to know which ports and endpoints OpenShift requires so I can create allow rules that enable installation and cluster operation.",,full,modules/commatrix-restricting-ingress-traffic.adoc,installing/install_config/configuring-firewall.adoc,existing,leveloffset=+1; assembly context=configuring-firewall,folds 1 source jobs: Configure firewall rules for installation
Prepare to install OpenShift,"When my environment has a firewall, I need to know which ports and endpoints OpenShift requires so I can create allow rules that enable installation and cluster operation.",,full,modules/commatrix-generate-butane.adoc,installing/install_config/configuring-firewall.adoc,existing,leveloffset=+1; assembly context=configuring-firewall,folds 1 source jobs: Configure firewall rules for installation
Prepare to install OpenShift,"When my environment has a firewall, I need to know which ports and endpoints OpenShift requires so I can create allow rules that enable installation and cluster operation.",,full,modules/commatrix-revert-nftables.adoc,installing/install_config/configuring-firewall.adoc,existing,leveloffset=+1; assembly context=configuring-firewall,folds 1 source jobs: Configure firewall rules for installation
Prepare to install OpenShift,"When my environment has a firewall, I need to know which ports and endpoints OpenShift requires so I can create allow rules that enable installation and cluster operation.",,full,modules/commatrix-plugin-reference.adoc,installing/install_config/configuring-firewall.adoc,existing,leveloffset=+1; assembly context=configuring-firewall,folds 1 source jobs: Configure firewall rules for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installing-aws-ipi.adoc,installing/installing_aws/preparing-to-install-on-aws.adoc,existing,leveloffset=+1; assembly context=preparing-to-install-on-aws,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installing-aws-upi.adoc,installing/installing_aws/preparing-to-install-on-aws.adoc,existing,leveloffset=+1; assembly context=preparing-to-install-on-aws,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installing-aws-single-node.adoc,installing/installing_aws/preparing-to-install-on-aws.adoc,existing,leveloffset=+1; assembly context=preparing-to-install-on-aws,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-aws-route53.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+1; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/nw-endpoint-route53.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+2; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-aws-limits.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+1; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-aws-permissions.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+1; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-aws-iam-user.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+1; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-aws-iam-policies-about.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+1; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-aws-permissions-iam-roles.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+2; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-aws-add-iam-roles.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+2; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-aws-access-analyzer.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+2; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-aws-marketplace.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+1; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on AWS,"When I want to deploy OpenShift on AWS, I need to understand AWS-specific requirements, IAM permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-aws-regions.adoc,installing/installing_aws/installing-aws-account.adoc,existing,leveloffset=+1; assembly context=installing-aws-account,folds 2 source jobs: Prepare to install on AWS; Configure an AWS account for installation
Prepare to install on Azure,"When I want to deploy OpenShift on Microsoft Azure, I need to understand Azure-specific requirements, service principal permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-azure-limits.adoc,installing/installing_azure/installing-azure-account.adoc,existing,leveloffset=+1; assembly context=installing-azure-account,folds 2 source jobs: Prepare to install on Azure; Configure an Azure account for installation
Prepare to install on Azure,"When I want to deploy OpenShift on Microsoft Azure, I need to understand Azure-specific requirements, service principal permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-azure-network-config.adoc,installing/installing_azure/installing-azure-account.adoc,existing,leveloffset=+1; assembly context=installing-azure-account,folds 2 source jobs: Prepare to install on Azure; Configure an Azure account for installation
Prepare to install on Azure,"When I want to deploy OpenShift on Microsoft Azure, I need to understand Azure-specific requirements, service principal permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-azure-subscription-tenant-id.adoc,installing/installing_azure/installing-azure-account.adoc,existing,leveloffset=+1; assembly context=installing-azure-account,folds 2 source jobs: Prepare to install on Azure; Configure an Azure account for installation
Prepare to install on Azure,"When I want to deploy OpenShift on Microsoft Azure, I need to understand Azure-specific requirements, service principal permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-azure-identities.adoc,installing/installing_azure/installing-azure-account.adoc,existing,leveloffset=+1; assembly context=installing-azure-account,folds 2 source jobs: Prepare to install on Azure; Configure an Azure account for installation
Prepare to install on Azure,"When I want to deploy OpenShift on Microsoft Azure, I need to understand Azure-specific requirements, service principal permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-azure-permissions.adoc,installing/installing_azure/installing-azure-account.adoc,existing,leveloffset=+2; assembly context=installing-azure-account,folds 2 source jobs: Prepare to install on Azure; Configure an Azure account for installation
Prepare to install on Azure,"When I want to deploy OpenShift on Microsoft Azure, I need to understand Azure-specific requirements, service principal permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/minimum-required-permissions-ipi-azure.adoc,installing/installing_azure/installing-azure-account.adoc,existing,leveloffset=+3; assembly context=installing-azure-account,folds 2 source jobs: Prepare to install on Azure; Configure an Azure account for installation
Prepare to install on Azure,"When I want to deploy OpenShift on Microsoft Azure, I need to understand Azure-specific requirements, service principal permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-using-azure-managed-identities.adoc,installing/installing_azure/installing-azure-account.adoc,existing,leveloffset=+2; assembly context=installing-azure-account,folds 2 source jobs: Prepare to install on Azure; Configure an Azure account for installation
Prepare to install on Azure,"When I want to deploy OpenShift on Microsoft Azure, I need to understand Azure-specific requirements, service principal permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-creating-azure-service-principal.adoc,installing/installing_azure/installing-azure-account.adoc,existing,leveloffset=+2; assembly context=installing-azure-account,folds 2 source jobs: Prepare to install on Azure; Configure an Azure account for installation
Prepare to install on Azure,"When I want to deploy OpenShift on Microsoft Azure, I need to understand Azure-specific requirements, service principal permissions, and networking prerequisites so the installation succeeds.",Prepare to install OpenShift,full,modules/installation-azure-marketplace.adoc,installing/installing_azure/installing-azure-account.adoc,existing,leveloffset=+1; assembly context=installing-azure-account,folds 2 source jobs: Prepare to install on Azure; Configure an Azure account for installation
