Category (L!),Level 2 (Jobs),Level 3 (Jobs or Topics),Level 4 (Jobs or Topics),Topic (H2),H3,Full .adoc file path,Is a job?,Navtitle
What's new,,,,,,,FALSE,
,Release notes for OpenShift Lightspeed,,,,,,TRUE,Release notes
,,,,OpenShift Lightspeed 1.1.2,,modules/ols-1-1-2-release-notes.adoc,FALSE,
,,,,OpenShift Lightspeed 1.1.1,,modules/ols-1-1-1-release-notes.adoc,FALSE,
,,,,,Fixed security issues,modules/ols-fixed-security-issues.adoc,FALSE,
,,,,OpenShift Lightspeed 1.1,,modules/ols-1-1-release-notes.adoc,FALSE,
Discover,,,,,,,FALSE,
,Evaluate OpenShift Lightspeed capabilities,,,,,,TRUE,Evaluate capabilities
,,,,Gain assistance with cluster management,,modules/ols-openshift-lightspeed-overview.adoc,FALSE,AI-assisted cluster management
,,,,,How you can interact with the assistant,modules/ols-con-supported-interfaces.adoc,FALSE,
,,,,,What product and documentation OpenShift Lightspeed covers,modules/ols-about-product-coverage.adoc,FALSE,

,Evaluate data privacy and compliance posture,,,,,jtbd-aem-conversion/discover/con-evaluate-data-privacy-compliance.adoc,TRUE,Data privacy and compliance
,,,,How your data is used and protected,,modules/ols-about-data-use.adoc,FALSE,Data use and protection
,,,,"What data, telemetry, and transcripts are collected",,modules/ols-about-data-telemetry-transcript-and-feedback-collection.adoc,FALSE,Data and telemetry
,,,,How system health data is collected and reported,,modules/ols-remote-health-monitoring-overview.adoc,FALSE,System health reporting
,,,,,How chat transcripts are collected,modules/ols-transcript-collection-overview.adoc,FALSE,Chat transcripts
,,,,,How user feedback is collected,modules/ols-feedback-collection-overview.adoc,FALSE,User feedback
,,,,,,,FALSE,
,,,,Additional resources,,modules/additional-resources.adoc,FALSE,
Plan,,,,,,,FALSE,
,Plan the OpenShift Lightspeed deployment architecture,,,,,jtbd-aem-conversion/plan/con-plan-deployment-architecture.adoc,TRUE,Plan the deployment architecture
,,,,What your OpenShift cluster requires,,modules/ols-openshift-requirements.adoc,FALSE,Cluster requirements
,,,,,,,,
,,,,How to size cluster resources for capacity planning,,modules/ols-minimum-cluster-resource-requirements.adoc,FALSE,Size cluster resources
,,,,Supported product subscriptions,,modules/ols-about-subscription-requirements.adoc,FALSE,
,,,,How FIPS compliance is supported in secure environments,,modules/ols-openshift-lightspeed-fips-support.adoc,FALSE,FIPS compliance
,,,,Supported CPU architectures,,modules/ols-supported-platforms.adoc,FALSE,
,,,,How to run on restricted networks without external access,,modules/ols-about-running-openshift-lightspeed-in-disconnected-mode.adoc,FALSE,Disconnected environments
Install,,,,,,,FALSE,
,Install OpenShift Lightspeed on OpenShift Container Platform,,,,,,TRUE,Installation
,,,,Install the OpenShift Lightspeed Operator from the OperatorHub,,modules/ols-installing-operator-from-operatorhub.adoc,FALSE,Install from OperatorHub
,,,,Install the OpenShift Lightspeed Operator from the software catalog,,modules/ols-installing-operator-from-software-catalog.adoc,FALSE,Install from software catalog
Integrate,,,,,,,FALSE,
,Integrate OpenShift Lightspeed with LLMs,,,,,jtbd-aem-conversion/integrate/con-integrate-with-llms.adoc,TRUE,Integrate with LLMs
,,Integrate OpenShift Lightspeed with IBM watsonx,,,,jtbd-aem-conversion/integrate/con-integrate-ibm-watsonx.adoc,FALSE,Integrate with IBM watsonx
,,,,What IBM watsonx requires for integration,,jtbd-aem-conversion/integrate/ols-large-language-model-requirements-watsonx.adoc,FALSE,
,,,,Prepare your IBM watsonx environment,,jtbd-aem-conversion/integrate/ols-large-language-model-overview-watsonx.adoc,FALSE,
,,,,Create the IBM watsonx credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-web-console-watsonx.adoc,FALSE,
,,,,Create the IBM watsonx credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-cli-watsonx.adoc,FALSE,
,,,,Create the custom resource for IBM watsonx,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-web-console-watsonx.adoc,FALSE,
,,,,Create the custom resource for IBM watsonx,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-cli-watsonx.adoc,FALSE,
,,,,Configure custom TLS certificates,,jtbd-aem-conversion/integrate/ols-configuring-custom-tls-certificates-watsonx.adoc,FALSE,
,,,,Configure trusted-ca certificates for LLM providers,,jtbd-aem-conversion/integrate/ols-support-for-trusted-ca-certificates-and-llm-providers-watsonx.adoc,FALSE,
,,,,Configure a trusted CA certificate for the LLM,,jtbd-aem-conversion/integrate/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm-watsonx.adoc,FALSE,
,,,,Verify the OpenShift Lightspeed deployment,,jtbd-aem-conversion/integrate/ols-verifying-openshift-lightspeed-deployment-watsonx.adoc,FALSE,Verify the deployment
,,Integrate OpenShift Lightspeed with OpenAI,,,,jtbd-aem-conversion/integrate/con-integrate-openai.adoc,FALSE,Integrate with OpenAI
,,,,What OpenAI requires for integration,,jtbd-aem-conversion/integrate/ols-large-language-model-requirements-openai.adoc,FALSE,
