job_statement,situation,motivation,expected_outcome,alternatives_considered,job_performer,workflow_stage,importance,frequency,satisfaction_with_current_solution,evidence,notes,linked_adoc_modules,original_section_title
Install the OpenShift GitOps Operator using the web console so I can set up GitOps capabilities in my OpenShift cluster,Cluster administrator needs to enable GitOps functionality,Enable declarative application deployment and cluster resource management using Argo CD,OpenShift GitOps Operator is installed and a ready-to-use Argo CD instance is available in the openshift-gitops namespace,"CLI installation method, manual Argo CD installation, community Argo CD Operator",Cluster administrator,Setup,critical,once per cluster,high,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator in web console', lines 21-68 [module: modules/installing-gitops-operator-in-web-console.adoc, type: PROCEDURE]",Source module: modules/installing-gitops-operator-in-web-console.adoc (PROCEDURE). Covers web console installation with OperatorHub. Requires cluster-admin role and Marketplace capability.,['modules/installing-gitops-operator-in-web-console.adoc'],Installing {gitops-title} Operator in web console
Select the appropriate update channel and version for OpenShift GitOps so I can control which version of the Operator is installed,Installing OpenShift GitOps Operator and need to choose between latest or specific version channel,Ensure compatibility with cluster version and control upgrade timing,Correct version of GitOps Operator is installed from the selected channel,"Using default latest channel, pinning to specific version channel like gitops-1.8",Cluster administrator,Setup,medium,once per cluster,medium,"installing-openshift-gitops-reduced.adoc -> Section 'Prerequisites' and 'Installing {gitops-title} Operator in web console', lines 14-19, 33-35 [module: modules/installing-gitops-operator-in-web-console.adoc, type: PROCEDURE]",Latest channel is default and recommended. Specific version channels like gitops-1.8 available for version control. Channel selection happens during installation.,['modules/installing-gitops-operator-in-web-console.adoc'],Installing {gitops-title} Operator in web console
Choose the installation namespace for OpenShift GitOps Operator so I can organize operator resources appropriately,Installing the Operator and selecting where it should be deployed,Follow best practices for operator namespace organization and enable cluster monitoring,Operator is installed in the correct namespace with monitoring enabled if desired,Default openshift-gitops-operator namespace vs openshift-operators (legacy),Cluster administrator,Setup,medium,once per cluster,medium,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator in web console', lines 37-46 [module: modules/installing-gitops-operator-in-web-console.adoc, type: PROCEDURE]",Default changed from openshift-operators to openshift-gitops-operator in version 1.10. Can enable cluster monitoring via checkbox or label.,['modules/installing-gitops-operator-in-web-console.adoc'],Installing {gitops-title} Operator in web console
Verify that the OpenShift GitOps Operator installed successfully so I can confirm it is ready to use,After completing Operator installation,Ensure installation succeeded before proceeding with GitOps configuration,Operator status shows as Succeeded in Installed Operators list,"Checking pod status in namespace, reviewing logs",Cluster administrator,Setup,critical,once per cluster,high,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator in web console', lines 62-64 [module: modules/installing-gitops-operator-in-web-console.adoc, type: PROCEDURE]",Verification done via Operators -> Installed Operators in web console. Status should be Succeeded.,['modules/installing-gitops-operator-in-web-console.adoc'],Installing {gitops-title} Operator in web console
Install the OpenShift GitOps Operator using the CLI so I can automate the installation process or install in environments without web console access,Cluster administrator needs to enable GitOps using command-line tools,"Enable GitOps in automated workflows, scripts, or air-gapped environments","OpenShift GitOps Operator is installed via CLI with proper namespace, OperatorGroup, and Subscription resources","Web console installation, Helm charts, GitOps-based installation","Cluster administrator, SRE, Platform engineer",Setup,critical,once per cluster,high,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator using CLI', lines 70-146 [module: modules/installing-gitops-operator-using-cli.adoc, type: PROCEDURE]","Source module: modules/installing-gitops-operator-using-cli.adoc (PROCEDURE). Requires creating namespace, OperatorGroup, and Subscription resources. More suitable for automation.",['modules/installing-gitops-operator-using-cli.adoc'],Installing {gitops-title} Operator using CLI
Create the required namespace and OperatorGroup for GitOps Operator so I can prepare the cluster for Operator installation,Installing GitOps Operator via CLI and need to set up namespace prerequisites,Follow Operator installation requirements and enable proper scoping,openshift-gitops-operator namespace exists with OperatorGroup configured,"Using existing namespace, creating namespace via web console","Cluster administrator, Platform engineer",Setup,critical,once per cluster,medium,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator using CLI', lines 80-102 [module: modules/installing-gitops-operator-using-cli.adoc, type: PROCEDURE]",Namespace creation is first step. OperatorGroup YAML must be created and applied. Default namespace changed in version 1.10.,['modules/installing-gitops-operator-using-cli.adoc'],Installing {gitops-title} Operator using CLI
Create and apply a Subscription resource for the GitOps Operator so I can trigger the installation from the Operator catalog,"Namespace and OperatorGroup are configured, ready to install Operator",Subscribe to the GitOps Operator from the Red Hat catalog to initiate installation,Subscription resource created and Operator begins installing,"Manual YAML creation, using oc create command, web console subscription","Cluster administrator, Platform engineer",Setup,critical,once per cluster,high,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator using CLI', lines 104-127 [module: modules/installing-gitops-operator-using-cli.adoc, type: PROCEDURE]","Subscription specifies channel, installPlanApproval, source catalog, and namespace. Uses redhat-operators catalog from openshift-marketplace.",['modules/installing-gitops-operator-using-cli.adoc'],Installing {gitops-title} Operator using CLI
Verify that GitOps Operator pods are running after CLI installation so I can confirm successful deployment,After applying Subscription resource and waiting for installation to complete,Ensure all required components are running before using GitOps features,All pods in openshift-gitops and openshift-gitops-operator namespaces show Running status,"Checking Operator status via web console, reviewing events or logs","Cluster administrator, Platform engineer",Setup,critical,once per cluster,high,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator using CLI', lines 129-146 [module: modules/installing-gitops-operator-using-cli.adoc, type: PROCEDURE]","Two namespaces to check: openshift-gitops (Argo CD components) and openshift-gitops-operator (operator controller). Multiple pods expected including application-controller, applicationset-controller, dex-server, redis, repo-server, and server.",['modules/installing-gitops-operator-using-cli.adoc'],Installing {gitops-title} Operator using CLI
Log in to the Argo CD instance using OpenShift credentials so I can access the GitOps dashboard with my existing cluster authentication,"GitOps Operator is installed and ready to use, need to access Argo CD UI",Use familiar OpenShift SSO instead of managing separate Argo CD credentials,Successfully authenticated to Argo CD UI using OpenShift login,Using Argo CD admin account with username/password,"Cluster administrator, Developer",Setup,medium,each session,high,"installing-openshift-gitops-reduced.adoc -> Section 'Logging in to the Argo CD instance by using the Argo CD admin account', lines 161-168 [module: modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc, type: PROCEDURE]",Source module: modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc (PROCEDURE). Requires being member of cluster-admins group. Uses LOG IN VIA OPENSHIFT option in Argo CD UI.,['modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc'],Logging in to the Argo CD instance by using the Argo CD admin account
Access the Argo CD UI from the OpenShift web console so I can quickly navigate to GitOps management interface,Need to open Argo CD dashboard after Operator installation,Convenient access point integrated with OpenShift console,Argo CD login page opens in new window from console menu,"Using direct URL, command-line oc login to get route","Cluster administrator, Developer",Setup,medium,each session,high,"installing-openshift-gitops-reduced.adoc -> Section 'Logging in to the Argo CD instance by using the Argo CD admin account', lines 157-159 [module: modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc, type: PROCEDURE]",Navigation path: Red Hat app icon menu -> OpenShift GitOps -> Cluster Argo CD. Icon added to console toolbar after installation.,['modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc'],Logging in to the Argo CD instance by using the Argo CD admin account
