doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
gitops-release-notes.adoc,Compatibility and support matrix,"When planning a GitOps deployment or upgrade, I want to verify component compatibility with my OpenShift version, so I can ensure all features will work correctly in my environment.",core,Platform Administrator,Plan,main_job,,[],"['Evaluate whether to upgrade to a new GitOps version', 'Understand technology preview features']","['Minimize risk of incompatibility issues', 'Reduce time spent troubleshooting version mismatches', 'Ensure supported configuration before deployment']","gitops-release-notes.adoc -> Section 'Compatibility and support matrix', line 21 [module: modules/go-compatibility-and-support-matrix.adoc, type: REFERENCE]",Source module: modules/go-compatibility-and-support-matrix.adoc (REFERENCE). This is a critical planning job that affects deployment decisions.
gitops-release-notes.adoc,Compatibility and support matrix,"When evaluating new GitOps features, I want to identify which features are in Technology Preview versus General Availability, so I can decide whether they are safe to use in production.",core,Platform Administrator,Plan,main_job,,[],"['Understand production readiness of features', 'Plan feature adoption timeline']","['Avoid using unsupported features in production', 'Reduce risk of production issues', 'Plan for GA timeline of preview features']","gitops-release-notes.adoc -> Section 'Technology Preview features', lines 42-79 [module: modules/go-compatibility-and-support-matrix.adoc, type: REFERENCE]","Source module: modules/go-compatibility-and-support-matrix.adoc (REFERENCE). TP features include: custom must-gather tool, Argo Rollouts, ApplicationSet Progressive Rollout, multiple sources for application, and more."
gitops-release-notes.adoc,Release notes for GitOps 1.9.0,"When a new GitOps version is released, I want to understand what new capabilities are available, so I can determine if they solve my current pain points or enable new use cases.",core,Platform Administrator,What's New,main_job,,[],"['Evaluate whether to upgrade', 'Plan adoption of new features']","['Identify features that solve current problems', 'Reduce time spent researching alternatives', 'Understand business value of upgrade']","gitops-release-notes.adoc -> Section 'New features 1.9.0', lines 28-50 [module: modules/gitops-release-notes-1-9-0.adoc, type: REFERENCE]","Source module: modules/gitops-release-notes-1-9-0.adoc (REFERENCE). Key features: custom must-gather tool (TP), Argo Rollouts support (TP)."
gitops-release-notes.adoc,Release notes for GitOps 1.9.0,"When planning an upgrade, I want to know which features are being deprecated or removed, so I can prepare for migration and avoid breaking my existing deployments.",core,Platform Administrator,Plan,main_job,,[],"['Update custom resources before upgrade', 'Plan migration timeline']","['Avoid breaking changes during upgrade', 'Minimize downtime during migration', 'Ensure smooth transition to new configuration formats']","gitops-release-notes.adoc -> Section 'Deprecated and removed features 1.9.0', lines 51-62 [module: modules/gitops-release-notes-1-9-0.adoc, type: REFERENCE]","Source module: modules/gitops-release-notes-1-9-0.adoc (REFERENCE). Critical planning job: .spec.resourceCustomizations deprecated, sso/dex fields extending deprecation to 1.10.0."
gitops-release-notes.adoc,Release notes for GitOps 1.9.0,"When experiencing issues with the current version, I want to check if my problem is a known bug that has been fixed in the new release, so I can decide if upgrading will resolve my issue.",core,Platform Administrator,Troubleshoot,main_job,,[],"['Understand upgrade benefits', 'Verify fix applies to my scenario']","['Reduce time troubleshooting known issues', 'Minimize unnecessary investigation effort', 'Confirm upgrade will solve my problem']","gitops-release-notes.adoc -> Section 'Fixed issues 1.9.0', lines 64-78 [module: modules/gitops-release-notes-1-9-0.adoc, type: REFERENCE]","Source module: modules/gitops-release-notes-1-9-0.adoc (REFERENCE). Fixed issues include: TLS certificate reload, GPG signature verification, TFS Git repository support, HA resource limits, namespace termination blocking."
gitops-release-notes.adoc,Release notes for GitOps 1.9.0,"When planning to deploy or upgrade GitOps, I want to be aware of known issues and their workarounds, so I can avoid or mitigate problems proactively.",core,Platform Administrator,Troubleshoot,main_job,,[],"['Implement workarounds before deployment', 'Plan mitigation strategies']","['Avoid hitting known issues in production', 'Reduce incident response time with pre-planned workarounds', 'Minimize unexpected downtime']","gitops-release-notes.adoc -> Section 'Known issues 1.10', lines 79-129 [module: modules/gitops-release-notes-1-9-0.adoc, type: REFERENCE]",Source module: modules/gitops-release-notes-1-9-0.adoc (REFERENCE). Known issue: Argo CD not reading TLS certificates from argocd-tls-certs-cm config map. Workaround provided with SSL_CERT_DIR env var.
gitops-release-notes.adoc,Release notes for GitOps 1.8.0,"When managing progressive application rollouts, I want to understand how to use ApplicationSet Progressive Rollout Strategy, so I can deploy updates incrementally instead of simultaneously.",core,DevOps Engineer,Deploy,user_story,Deploy applications with controlled rollout,"['Understand ApplicationSet resources', 'Have Argo CD deployed']","['Monitor application deployment progress', 'Configure rollout strategies']","['Reduce blast radius of failed deployments', 'Enable declarative rollout ordering', 'Minimize service disruption during updates']","gitops-release-notes.adoc -> Section 'New features 1.8.0', lines 11-22 [module: modules/gitops-release-notes-1-8-0.adoc, type: REFERENCE]",Source module: modules/gitops-release-notes-1-8-0.adoc (REFERENCE). Technology Preview feature in 1.8.0. Enables progressive rollouts instead of simultaneous updates.
gitops-release-notes.adoc,Release notes for GitOps 1.8.0,"When running GitOps on ARM architecture, I want to understand platform compatibility and limitations, so I can deploy successfully on ARM-based OpenShift clusters.",core,Platform Administrator,Plan,user_story,Deploy GitOps across different architectures,['Have ARM-based OpenShift cluster'],"['Verify operator installation on ARM', 'Understand SSO limitations']","['Ensure successful ARM deployment', 'Avoid unsupported configuration choices', 'Plan around ARM-specific limitations']","gitops-release-notes.adoc -> Section 'New features 1.8.0', lines 26-31 [module: modules/gitops-release-notes-1-8-0.adoc, type: REFERENCE]",Source module: modules/gitops-release-notes-1-8-0.adoc (REFERENCE). Important: spec.sso.provider: keycloak not yet supported on ARM.
gitops-release-notes.adoc,Release notes for GitOps 1.8.0,"When monitoring Argo CD components, I want to enable workload monitoring and alerts for my instances, so I can detect when component replicas drift from desired state.",core,SRE,Monitor,user_story,Monitor GitOps infrastructure health,"['Have Argo CD instance deployed', 'Have Prometheus monitoring configured']","['Configure PrometheusRule objects', 'Set up alert receivers']","['Detect component failures quickly', 'Reduce mean time to detection (MTTD)', 'Enable proactive remediation']","gitops-release-notes.adoc -> Section 'New features 1.8.0', lines 33-33 [module: modules/gitops-release-notes-1-8-0.adoc, type: REFERENCE]",Source module: modules/gitops-release-notes-1-8-0.adoc (REFERENCE). Set .spec.monitoring.enabled to true to create PrometheusRule with alert rules for each component.
gitops-release-notes.adoc,Release notes for GitOps 1.8.0,"When managing large Git repositories with manifests, I want to configure repo server arguments for maximum manifest size, so I can prevent failures when processing large directory structures.",core,Platform Administrator,Configure,user_story,Configure Argo CD for enterprise-scale repositories,"['Have Argo CD instance deployed', 'Understand repo server resource limits']","['Monitor repo server performance', 'Optimize manifest organization']","['Prevent manifest size errors', 'Enable processing of large monorepos', 'Reduce repository sync failures']","gitops-release-notes.adoc -> Section 'New features 1.8.0', lines 35-50 [module: modules/gitops-release-notes-1-8-0.adoc, type: REFERENCE]",Source module: modules/gitops-release-notes-1-8-0.adoc (REFERENCE). Example shows --max.combined.directory.manifests.size configuration via extraRepoCommandArgs.
