Category (L1)	Level 2 (Jobs)	Level 3 (Jobs or Topics)	Level 4 (Jobs or Topics)	Topic (H2)	H3	Full .adoc file path	Is a job?	Navtitle
What's new							FALSE
	Release notes for OpenShift Lightspeed					release_notes/ols-release-notes.adoc	TRUE	Release notes for OpenShift Lightspeed
				OpenShift Lightspeed 1.1.2		modules/ols-1-1-2-release-notes.adoc	FALSE	OpenShift Lightspeed 1.1.2
				OpenShift Lightspeed 1.1.1		modules/ols-1-1-1-release-notes.adoc	FALSE	OpenShift Lightspeed 1.1.1
					Fixed security issues	modules/ols-fixed-security-issues.adoc	FALSE	Fixed security issues
				OpenShift Lightspeed 1.1		modules/ols-1-1-release-notes.adoc	FALSE	OpenShift Lightspeed 1.1
				OpenShift Lightspeed 1.0		modules/ols-1-0-release-notes.adoc	FALSE	OpenShift Lightspeed 1.0
					Known issues	modules/ols-1-0-known-issues.adoc	FALSE	Known issues
Discover							FALSE
	Evaluate OpenShift Lightspeed capabilities					discover/ols-evaluate-openshift-lightspeed-capabilities.adoc	TRUE	Evaluate OpenShift Lightspeed capabilities
				Gain AI assistance with cluster management		modules/ols-openshift-lightspeed-overview.adoc	FALSE	Gain AI assistance with cluster management
					How you can interact with the assistant	modules/ols-con-supported-interfaces.adoc	FALSE	How you can interact with the assistant
					What product and documentation OpenShift Lightspeed covers	modules/ols-about-product-coverage.adoc	FALSE	What product and documentation OpenShift Lightspeed covers
					What OpenShift Lightspeed does not cover	modules/ols-about-product-coverage.adoc	FALSE	What OpenShift Lightspeed does not cover
	Evaluate data privacy and compliance posture					discover/ols-evaluate-data-privacy-compliance.adoc	TRUE	Evaluate data privacy and compliance posture
				How your data is used and protected		modules/ols-about-data-use.adoc	FALSE	How your data is used and protected
				What data, telemetry, and transcripts are collected		modules/ols-about-data-telemetry-transcript-and-feedback-collection.adoc	FALSE	What data, telemetry, and transcripts are collected
				How system health data is collected and reported		modules/ols-remote-health-monitoring-overview.adoc	FALSE	How system health data is collected and reported
					How chat transcripts are collected	modules/ols-transcript-collection-overview.adoc	FALSE	How chat transcripts are collected
					How user feedback is collected	modules/ols-feedback-collection-overview.adoc	FALSE	How user feedback is collected
							FALSE
				Additional resources		modules/additional-resources.adoc	FALSE	Additional resources
Plan							FALSE
	Plan the OpenShift Lightspeed deployment architecture					plan/ols-plan-deployment-architecture.adoc	TRUE	Plan the deployment architecture
				Verify version compatibility for OpenShift Lightspeed		https://access.redhat.com/support/policy/updates/openshift_operators	FALSE	Verify version compatibility
				What your OpenShift cluster requires		modules/ols-openshift-requirements.adoc	FALSE	What your OpenShift cluster requires
					How to size cluster resources for capacity planning	modules/ols-minimum-cluster-resource-requirements.adoc	FALSE	How to size cluster resources for capacity planning
				What subscriptions you need before installing		modules/ols-about-subscription-requirements.adoc	FALSE	What subscriptions you need before installing
				How FIPS compliance is supported in secure environments		modules/ols-openshift-lightspeed-fips-support.adoc	FALSE	How FIPS compliance is supported in secure environments
				Which CPU architectures are supported		modules/ols-supported-platforms.adoc	FALSE	Which CPU architectures are supported
				How to run on restricted networks without external access		modules/ols-about-running-openshift-lightspeed-in-disconnected-mode.adoc	FALSE	How to run on restricted networks without external access
Install							FALSE
	Install OpenShift Lightspeed on OpenShift Container Platform					install/ols-installing-openshift-lightspeed.adoc	TRUE	Install on OpenShift Container Platform
							FALSE
				Install the OpenShift Lightspeed Operator from the OperatorHub		modules/ols-installing-operator-from-operatorhub.adoc	FALSE	Install the Operator from the OperatorHub
				Install the OpenShift Lightspeed Operator from the software catalog		modules/ols-installing-operator-from-software-catalog.adoc	FALSE	Install the Operator from the software catalog
Integrate							FALSE
	Integrate OpenShift Lightspeed with LLMs					integrate/ols-integrate-with-llms.adoc	TRUE	Integrate with LLMs
		Integrate OpenShift Lightspeed with IBM watsonx				integrate/ols-integrate-ibm-watsonx.adoc	FALSE	Integrate with IBM watsonx
				What IBM watsonx requires for integration		modules/ols-large-language-model-requirements.adoc	FALSE	What IBM watsonx requires for integration
				Prepare your IBM watsonx environment		modules/ols-large-language-model-overview.adoc	FALSE	Prepare your IBM watsonx environment
				Create the IBM watsonx credentials secret		modules/ols-creating-the-credentials-secret-using-web-console.adoc	FALSE	Create the IBM watsonx credentials secret
					Create the credentials secret by using the CLI	modules/ols-creating-the-credentials-secret-using-cli.adoc	FALSE	Create the credentials secret by using the CLI
				Create the custom resource for IBM watsonx		modules/ols-creating-lightspeed-custom-resource-file-using-web-console.adoc	FALSE	Create the custom resource for IBM watsonx
					Create the custom resource file by using the CLI	modules/ols-creating-lightspeed-custom-resource-file-using-cli.adoc	FALSE	Create the custom resource file by using the CLI
				Configure custom TLS certificates		modules/ols-configuring-custom-tls-certificates.adoc	FALSE	Configure custom TLS certificates
				Configure trusted-ca certificates for LLM providers		modules/ols-support-for-trusted-ca-certificates-and-llm-providers.adoc	FALSE	Configure trusted-ca certificates for LLM providers
				Configure a trusted CA certificate for the LLM		modules/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm.adoc	FALSE	Configure a trusted CA certificate for the LLM
				Verify the OpenShift Lightspeed deployment		modules/ols-verifying-openshift-lightspeed-deployment.adoc	FALSE	Verify the OpenShift Lightspeed deployment
		Integrate OpenShift Lightspeed with OpenAI				integrate/ols-integrate-openai.adoc	FALSE	Integrate with OpenAI
				What OpenAI requires for integration		modules/ols-large-language-model-requirements.adoc	FALSE	What OpenAI requires for integration
				Prepare your OpenAI environment		modules/ols-large-language-model-overview.adoc	FALSE	Prepare your OpenAI environment
					Create an OpenAI API key	modules/ols-configuring-openai-using-an-api-key.adoc	FALSE	Create an OpenAI API key
				Create the OpenAI credentials secret (API key)		modules/ols-creating-the-credentials-secret-using-web-console.adoc	FALSE	Create the OpenAI credentials secret (API key)
					Create the credentials secret by using the CLI	modules/ols-creating-the-credentials-secret-using-cli.adoc	FALSE	Create the credentials secret by using the CLI
				How OpenShift AI vLLm serving runtime works		modules/ols-about-openshift-ai-vllm.adoc	FALSE	How OpenShift AI vLLm serving runtime works
				Create the OpenAI credentials secret (Projects)		modules/ols-configuring-openai-using-projects.adoc	FALSE	Create the OpenAI credentials secret (Projects)
				Create the custom resource for OpenAI		modules/ols-creating-lightspeed-custom-resource-file-using-web-console.adoc	FALSE	Create the custom resource for OpenAI
					Create the custom resource file by using the CLI	modules/ols-creating-lightspeed-custom-resource-file-using-cli.adoc	FALSE	Create the custom resource file by using the CLI
				Configure custom TLS certificates		modules/ols-configuring-custom-tls-certificates.adoc	FALSE	Configure custom TLS certificates
				Configure trusted-ca certificates for LLM providers		modules/ols-support-for-trusted-ca-certificates-and-llm-providers.adoc	FALSE	Configure trusted-ca certificates for LLM providers
				Configure a trusted CA certificate for the LLM		modules/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm.adoc	FALSE	Configure a trusted CA certificate for the LLM
				Verify the OpenShift Lightspeed deployment		modules/ols-verifying-openshift-lightspeed-deployment.adoc	FALSE	Verify the OpenShift Lightspeed deployment
