job_name,job_statement,parent_job,job_coverage,module_file,source_assembly,module_status,module_note,job_notes
Understand Networking Architecture,"When I need to understand OpenShift networking, I want to learn about core network layers and traffic management, so I can properly design and troubleshoot cluster networking",,full,modules/nw-understanding-networking-core-layers-and-components.adoc,networking/networking_overview/understanding-networking.adoc,full,,
Understand Networking Architecture,"When I need to understand OpenShift networking, I want to learn about core network layers and traffic management, so I can properly design and troubleshoot cluster networking",,full,modules/nw-understanding-networking-managing-traffic-within.adoc,networking/networking_overview/understanding-networking.adoc,full,,
Understand Networking Architecture,"When I need to understand OpenShift networking, I want to learn about core network layers and traffic management, so I can properly design and troubleshoot cluster networking",,full,modules/nw-understanding-networking-securing-network-traffic.adoc,networking/networking_overview/understanding-networking.adoc,full,,
Understand Networking Architecture,"When I need to understand OpenShift networking, I want to learn about core network layers and traffic management, so I can properly design and troubleshoot cluster networking",,full,modules/nw-ovn-kubernetes-features.adoc,networking/ovn_kubernetes_network_provider/about-ovn-kubernetes.adoc,full,,
Understand Networking Architecture,"When I need to understand OpenShift networking, I want to learn about core network layers and traffic management, so I can properly design and troubleshoot cluster networking",,full,modules/nw-ovn-kubernetes-limitations.adoc,networking/ovn_kubernetes_network_provider/about-ovn-kubernetes.adoc,full,,
Understand Networking Architecture,"When I need to understand OpenShift networking, I want to learn about core network layers and traffic management, so I can properly design and troubleshoot cluster networking",,full,modules/ovn-kubernetes-architecture-con.adoc,networking/ovn_kubernetes_network_provider/ovn-kubernetes-architecture-assembly.adoc,full,,
Understand Networking Architecture,"When I need to understand OpenShift networking, I want to learn about core network layers and traffic management, so I can properly design and troubleshoot cluster networking",,full,modules/ovn-kubernetes-logical-architecture-con.adoc,networking/ovn_kubernetes_network_provider/ovn-kubernetes-architecture-assembly.adoc,full,,
Understand traffic management entering and leaving the cluster,"When I need to expose applications and connect to external systems, I want to understand how traffic enters and exits the cluster, so I can securely and reliably manage ingress and egress communications.",orphan,full,modules/nw-understanding-networking-managing-traffic-entering-leaving.adoc,networking/networking_overview/understanding-networking.adoc,full,,
Understand traffic management entering and leaving the cluster,"When I need to expose applications and connect to external systems, I want to understand how traffic enters and exits the cluster, so I can securely and reliably manage ingress and egress communications.",orphan,full,modules/nw-ingresscontroller-communication-service-methods.adoc,networking/ingress_load_balancing/configuring_ingress_cluster_traffic/overview-traffic.adoc,full,,
Understand traffic management entering and leaving the cluster,"When I need to expose applications and connect to external systems, I want to understand how traffic enters and exits the cluster, so I can securely and reliably manage ingress and egress communications.",orphan,full,modules/nw-ingresscontroller-overview-traffic-comparision.adoc,networking/ingress_load_balancing/configuring_ingress_cluster_traffic/overview-traffic.adoc,full,,
Configure and Maintain the Pod Network (CNI),"When I deploy a cluster, I want to define CIDR ranges and network configuration, so I can prevent IP conflicts and meet organizational requirements",,partial,modules/nw-cluster-network-operator.adoc,networking/networking_operators/cluster-network-operator.adoc,full,,"Folded in the former sub-job 'Ensure every pod gets a unique IP in a flat network' (2.1.3), which had no modules of its own. The CIDR and host-prefix modules mapped here cover how address space is carved up, but no module states the flat L3 pod network and the per-pod unique routable IP guarantee. Write a concept module covering the flat pod network and per-node host prefix allocation; modules/nw-ovn-kubernetes-features.adoc implies it but is owned by 'Understand Networking Architecture'."
Configure and Maintain the Pod Network (CNI),"When I deploy a cluster, I want to define CIDR ranges and network configuration, so I can prevent IP conflicts and meet organizational requirements",,partial,modules/nw-operator-cr.adoc,networking/networking_operators/cluster-network-operator.adoc,full,"Cluster Network Operator config object: where clusterNetwork, serviceNetwork, and hostPrefix are set","Folded in the former sub-job 'Ensure every pod gets a unique IP in a flat network' (2.1.3), which had no modules of its own. The CIDR and host-prefix modules mapped here cover how address space is carved up, but no module states the flat L3 pod network and the per-pod unique routable IP guarantee. Write a concept module covering the flat pod network and per-node host prefix allocation; modules/nw-ovn-kubernetes-features.adoc implies it but is owned by 'Understand Networking Architecture'."
Configure and Maintain the Pod Network (CNI),"When I deploy a cluster, I want to define CIDR ranges and network configuration, so I can prevent IP conflicts and meet organizational requirements",,partial,modules/nw-cno-view.adoc,networking/networking_operators/cluster-network-operator.adoc,full,,"Folded in the former sub-job 'Ensure every pod gets a unique IP in a flat network' (2.1.3), which had no modules of its own. The CIDR and host-prefix modules mapped here cover how address space is carved up, but no module states the flat L3 pod network and the per-pod unique routable IP guarantee. Write a concept module covering the flat pod network and per-node host prefix allocation; modules/nw-ovn-kubernetes-features.adoc implies it but is owned by 'Understand Networking Architecture'."
Configure and Maintain the Pod Network (CNI),"When I deploy a cluster, I want to define CIDR ranges and network configuration, so I can prevent IP conflicts and meet organizational requirements",,partial,modules/nw-cno-status.adoc,networking/networking_operators/cluster-network-operator.adoc,full,,"Folded in the former sub-job 'Ensure every pod gets a unique IP in a flat network' (2.1.3), which had no modules of its own. The CIDR and host-prefix modules mapped here cover how address space is carved up, but no module states the flat L3 pod network and the per-pod unique routable IP guarantee. Write a concept module covering the flat pod network and per-node host prefix allocation; modules/nw-ovn-kubernetes-features.adoc implies it but is owned by 'Understand Networking Architecture'."
