job_name,job_statement,parent_job,job_coverage,module_file,source_assembly,module_status,module_note,job_notes
Determine if the on-disk state of a node differs from what is configured in the machine config.,"When someone manually edits a file on a node that the MCO manages, I want to understand how OpenShift detects configuration drift, so I can prevent inconsistent nodes and blocked updates.",,full,modules/machine-config-drift-detection.adoc,machine_configuration/index.adoc,full,,"CSV column 4 says ""Ben is handling this in OSDOCS 22833"" -- confirm this job is not already being built there before generating a duplicate job map."
Check the status of the nodes in a machine config pool.,"When I want to see the current state of nodes in each machine config pool, I can run the `oc get mcp` command so that I can see if there are any issues on my nodes.",,full,modules/architecture-machine-config-pools.adoc,machine_configuration/index.adoc,partial,concept: explains what an MCP is; the status commands are in the checking-mco-* modules,
Check the status of the nodes in a machine config pool.,"When I want to see the current state of nodes in each machine config pool, I can run the `oc get mcp` command so that I can see if there are any issues on my nodes.",,full,modules/checking-mco-status.adoc,machine_configuration/index.adoc,full,,
Check the status of the nodes in a machine config pool.,"When I want to see the current state of nodes in each machine config pool, I can run the `oc get mcp` command so that I can see if there are any issues on my nodes.",,full,modules/checking-mco-node-status.adoc,machine_configuration/index.adoc,full,,
Check the status of a node as configuration changes are applied.,"When someone updates a node so that a new machine config is created, I can view the status of the affected nodes as they update, so I can make sure there are no issues and learn when the nodes are available.",,full,modules/checking-mco-node-status.adoc,machine_configuration/index.adoc,full,,
Check the status of a node as configuration changes are applied.,"When someone updates a node so that a new machine config is created, I can view the status of the affected nodes as they update, so I can make sure there are no issues and learn when the nodes are available.",,full,modules/checking-mco-node-status-configuring.adoc,machine_configuration/index.adoc,full,,
Check the status of a node as configuration changes are applied.,"When someone updates a node so that a new machine config is created, I can view the status of the affected nodes as they update, so I can make sure there are no issues and learn when the nodes are available.",,full,modules/checking-mco-status.adoc,machine_configuration/index.adoc,partial,pool-level status; the node-level detail is in the checking-mco-node-status modules,
Monitor Machine Config Daemon metrics,Monitor Machine Config Daemon metrics.,,full,modules/machine-config-daemon-metrics-understanding.adoc,machine_configuration/machine-config-daemon-metrics.adoc,full,,
"Add software to my nodes that I can use to track system resources such as CPU, memory, disks, and network activity.","When I want to track system resources such as CPU, memory, disks, and network activity on nodes in a specific pool, I can use a machine config object to add the RHEL sysstat package to all the nodes.",,partial,modules/rhcos-add-extensions.adoc,machine_configuration/machine-configs-configure.adoc,partial,"documents the RHCOS extensions mechanism and lists sysstat, but the worked procedure uses usbguard, not sysstat",The only worked example in rhcos-add-extensions.adoc adds usbguard. The job asks specifically for sysstat: no module shows a sysstat MachineConfig or how to read sar output on a node.
Monitor Network Performance,"When I need visibility into network behavior, I want to view networking dashboards and metrics, so I can identify and resolve connectivity issues",,partial,modules/monitoring-reviewing-monitoring-dashboards-admin.adoc,observability/monitoring/accessing-metrics/accessing-metrics-as-an-administrator.adoc,partial,generic console dashboards; not networking-specific,Parent job: served almost entirely by its 10.x children. No landing-page module frames networking observability as one workflow.
Monitor Network Performance,"When I need visibility into network behavior, I want to view networking dashboards and metrics, so I can identify and resolve connectivity issues",,partial,modules/network-observability-dashboards.adoc,observability/network_observability/network-observability-overview.adoc,partial,concept only,Parent job: served almost entirely by its 10.x children. No landing-page module frames networking observability as one workflow.
Monitor Network Performance > 10.1 View Networking Dashboards,View networking dashboards.,Monitor Network Performance,partial,modules/monitoring-reviewing-monitoring-dashboards-admin.adoc,observability/monitoring/accessing-metrics/accessing-metrics-as-an-administrator.adoc,partial,"covers reaching the Dashboards page, not the Networking dashboard contents",Missing: the built-in console *Networking* dashboards (available without the Network Observability Operator) are not documented anywhere. Only the Network Observability dashboards are.
Monitor Network Performance > 10.1 View Networking Dashboards,View networking dashboards.,Monitor Network Performance,partial,modules/network-observability-viewing-dashboards.adoc,observability/network_observability/metrics-alerts-dashboards.adoc,full,,Missing: the built-in console *Networking* dashboards (available without the Network Observability Operator) are not documented anywhere. Only the Network Observability dashboards are.
Monitor Network Performance > 10.1 View Networking Dashboards,View networking dashboards.,Monitor Network Performance,partial,modules/network-observability-dashboards.adoc,observability/network_observability/network-observability-overview.adoc,partial,concept only,Missing: the built-in console *Networking* dashboards (available without the Network Observability Operator) are not documented anywhere. Only the Network Observability dashboards are.
Monitor Network Performance > 10.2 View Operator Metrics,Monitor operator health and performance.,Monitor Network Performance,partial,modules/nw-anp-banp-metrics.adoc,networking/network_security/AdminNetworkPolicy/ovn-k-anp-banp-metrics.adoc,full,,"Missing: no module collects networking operator metrics in one place. Coverage is per-operator (ANP/BANP, MetalLB, Ingress, network metrics daemon) and there is no metrics reference for the Cluster Network Operator or DNS Operator at all."
Monitor Network Performance > 10.2 View Operator Metrics,Monitor operator health and performance.,Monitor Network Performance,partial,modules/nw-metallb-metrics.adoc,networking/ingress_load_balancing/metallb/metallb-troubleshoot-support.adoc,full,,"Missing: no module collects networking operator metrics in one place. Coverage is per-operator (ANP/BANP, MetalLB, Ingress, network metrics daemon) and there is no metrics reference for the Cluster Network Operator or DNS Operator at all."
Monitor Network Performance > 10.2 View Operator Metrics,Monitor operator health and performance.,Monitor Network Performance,partial,modules/nw-exposing-router-metrics.adoc,networking/networking_operators/ingress-operator.adoc,full,,"Missing: no module collects networking operator metrics in one place. Coverage is per-operator (ANP/BANP, MetalLB, Ingress, network metrics daemon) and there is no metrics reference for the Cluster Network Operator or DNS Operator at all."
Monitor Network Performance > 10.2 View Operator Metrics,Monitor operator health and performance.,Monitor Network Performance,partial,modules/cnf-network-metrics-daemon.adoc,networking/advanced_networking/associating-secondary-interfaces-metrics-to-network-attachments.adoc,partial,secondary-interface metrics only,"Missing: no module collects networking operator metrics in one place. Coverage is per-operator (ANP/BANP, MetalLB, Ingress, network metrics daemon) and there is no metrics reference for the Cluster Network Operator or DNS Operator at all."
Monitor Network Performance > 10.3 View Operator Logs,Troubleshoot operators through log analysis.,Monitor Network Performance,full,modules/nw-cno-logs.adoc,networking/networking_operators/cluster-network-operator.adoc,full,,
Monitor Network Performance > 10.3 View Operator Logs,Troubleshoot operators through log analysis.,Monitor Network Performance,full,modules/nw-dns-operator-logs.adoc,networking/networking_operators/dns-operator.adoc,full,,
Monitor Network Performance > 10.3 View Operator Logs,Troubleshoot operators through log analysis.,Monitor Network Performance,full,modules/nw-ingress-operator-logs.adoc,networking/networking_operators/ingress-operator.adoc,full,,
Monitor Network Performance > 10.3 View Operator Logs,Troubleshoot operators through log analysis.,Monitor Network Performance,full,modules/nw-ovn-kubernetes-logs-cli.adoc,networking/ovn_kubernetes_network_provider/ovn-kubernetes-troubleshooting-sources.adoc,full,,
Monitor Network Performance > 10.3 View Operator Logs,Troubleshoot operators through log analysis.,Monitor Network Performance,full,modules/nw-ovn-kubernetes-logs-console.adoc,networking/ovn_kubernetes_network_provider/ovn-kubernetes-troubleshooting-sources.adoc,full,,
Monitor Network Performance > 10.4 Monitor Cluster Network Operator Status,Verify CNO and DNS Operator health.,Monitor Network Performance,full,modules/nw-cluster-network-operator.adoc,networking/networking_operators/cluster-network-operator.adoc,partial,concept: what the CNO is,
Monitor Network Performance > 10.4 Monitor Cluster Network Operator Status,Verify CNO and DNS Operator health.,Monitor Network Performance,full,modules/nw-cno-view.adoc,networking/networking_operators/cluster-network-operator.adoc,full,,
Monitor Network Performance > 10.4 Monitor Cluster Network Operator Status,Verify CNO and DNS Operator health.,Monitor Network Performance,full,modules/nw-cno-status.adoc,networking/networking_operators/cluster-network-operator.adoc,full,,
